#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMErulegondor.0;Succession of the Realms;Succession des Royaumes;;;;;;;;;;;;x
EVTDESCrulegondor.0;You're the ruler of all the Dúnedain, from Northern Arnor to the South of Gondor. You know it's a heavy burden of governing a vast territory, but you've have the luck to have several sons. You should perhaps declare that at your death, the kingdom will be divided between your first two son, who will share the crowns of Arnor and Gondor. What do you say?;Vous êtes le souverain de tous les Dunedains, du Nord de l'Arnor au Sud du Gondor. Vous savez que c'est un lourd fardeau que de gouverner un si vaste territoire, et vous avez la chance d'avoir plusieurs fils. Vous devriez peut-être proclamer qu'à votre mort, le royaume sera divisé entre vos deux premiers fils, qui se partageront l'Arnor et le Gondor. Qu'en dites-vous?;;;;;;;;;;;;x
EVTOPTArulegondor.0;Split the Kingdoms at my death!;Partagez les Royaumes à ma mort!;;;;;;;;;;;;x
EVTOPTBrulegondor.0;No, the Dúnedain must remain united.;Non, les Dunedains doivent rester unis.;;;;;;;;;;;;x
EVTNAMErulegondor.2;Succession of the Realms;Succession des Royaumes;;;;;;;;;;;;x
EVTDESCrulegondor.2;After the division of the Kingdom, you inherited the crown of Arnor. If you have titles in the southern kingdom, it's time to abandon them in favor of Gondor.;Après le partage du Royaume, vous avez hérité de l'Arnor. Si vous avez des titres de Seigneur dans le royaume du sud, il est temps de les abandonner au profit du Gondor.;;;;;;;;;;;;x
EVTOPTArulegondor.2;I'm the ruler of Arnor.;Je suis le Roi d'Arnor.;;;;;;;;;;;;x
EVTNAMErulegondor.3;Succession of the Realms;Succession des Royaumes;;;;;;;;;;;;x
EVTDESCrulegondor.3;After the division of the Kingdom, you inherited the crown of Gondor. If you have titles in the northern kingdom, it's time to abandon them in favor of Arnor.;Après le partage du Royaume, vous avez hérité du Gondor. Si vous avez des titres de Seigneur dans le royaume du nord, il est temps de les abandonner au profit de l'Arnor.;;;;;;;;;;;;x
EVTOPTArulegondor.3;I'm the ruler of Gondor;Je suis le Roi du Gondor;;;;;;;;;;;;x
EVTNAMErulegondor.4;A new Lineage;Une nouvelle lignée;;;;;;;;;;;;x
EVTDESCrulegondor.4;You're Isildur, the first king of Arnor. Your line should reflect this by taking your name, for the next centuries.;Vous êtes Isildur, le premier roi d'Arnor. Votre lignée devrait refléter cela en prenant votre nom, afin que celui-ci perdure au fil des siècles.;;;;;;;;;;;;x
EVTOPTArulegondor.4;Here starts the House of Isildur!;Ici commence la maison d'Isildur!;;;;;;;;;;;;x
EVTOPTBrulegondor.4;I'll keep the heritage of my Numenorean House.;Je garde l'héritage de ma maison Numénoréenne.;;;;;;;;;;;;x
EVTNAMErulegondor.5;A new Lineage;Une nouvelle lignée;;;;;;;;;;;;x
EVTDESCrulegondor.5;You're Anarion, the first king of Gondor. Your line should reflect this by taking your name, for the next centuries.;Vous êtes Anarion, le premier roi du Gondor. Votre lignée devrait refléter cela en prenant votre nom, afin que celui-ci perdure au fil des siècles.;;;;;;;;;;;;x
EVTOPTArulegondor.5;Here starts the House of Anarion!;Ici commence la maison d'Anarion!;;;;;;;;;;;;x
EVTOPTBrulegondor.5;I'll keep the heritage of my Numenorean House.;Je garde l'héritage de ma maison Numénoréenne.;;;;;;;;;;;;x
;;;;;;;;;;;;;;
