#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCkinstrife.1;Your son, Eldacar, was born from a relationship with a Woman of the north, from a lesser blood, even if she was the daughter of the King Vidugavia. He's therefore not a purely Numenorean blood, and your vassals start talking about this. Some even say he isn't a legitimate heir to the throne of Gondor ...;Votre fils, Eldacar, est issu d'une union avec une femme du Nord, de sang moindre. Il n'a donc pas un sang purement numénoréen, et cela commence à faire parler parmi vos nobles vassaux. Certains disent même qu'il n'est pas un héritier légitime au trône du Gondor...;;;;;;;;;;;;x
EVTOPTAkinstrife.1;My son is my true heir !;Mon fils est mon véritable héritier !;;;;;;;;;;;;x
EVTDESCkinstrife.2;You are King of Gondor, but it doesn't please everyone ... Some members of the oldest families of Gondor say that you are not legitimate, and even within your family, conspiracies exist.;Vous êtes Roi du Gondor, mais cela ne plait pas à tout le monde... Certains membres des plus anciennes familles du Gondor disent que vous n'êtes pas légitime, et même au sein de votre famille, des complots existent.;;;;;;;;;;;;x
EVTOPTAkinstrife.2;I'm the heir of Anarion!;Je suis l'Héritier d'Anarion!;;;;;;;;;;;;x
EVTTITkinstrife.3;Plots for the Crown;Complots pour une Couronne;;;;;;;;;;;;x
EVTDESCkinstrife.3;Eldacar son of Valacar is now the King of Gondor. You are horrified to see a man with a non-pure Numenorean Blood on the throne. You too are the Heir of Anarion, and your blood suffers no defect. You should be King, what do you think?;Eldacar, fils de Valacar, est maintenant le Roi du Gondor. Vous êtes horrifié de voir qu'un Homme au Sang non-pur est sur le Trône. Vous êtes vous aussi l'Héritier d'Anarion, et votre sang ne souffre d'aucune tare. Vous devriez être Roi, après tout, qu'en pensez-vous?;;;;;;;;;;;;x
EVTOPTAkinstrife.3;I'll reunite all the rebellious vassals…;Je vais réunir les vassaux rebelles…;;;;;;;;;;;;x
EVTOPTBkinstrife.3;He's the True Heir.;Il est l'Héritier Légitime.;;;;;;;;;;;;x
EVTTITkinstrife.4;Plots for the Crown;Complots pour une Couronne;;;;;;;;;;;;x
EVTDESCkinstrife.4;While Eldacar, son of Valacar, is on the throne of Gondor, you know he's from a non-purely Numenorean Blood, by his mother. You receive the visit, one night, of a man. It turns out to be Castamir, of the house of Anarion, Lord of the Ships, which proposes to replace this unworthy king ... What do you say?;Alors que Eldacar, fils de Valacar, est monté sur le trône du Gondor, vous savez qu'il est issu d'un sang non purement numénoréen, de par sa mère. Vous recevez la visite, une nuit, d'un Homme. Celui-ci se révèle être Castamir, de la maison d'Anarion, Seigneur des Navires, qui vous propose de remplacer ce roi indigne... Que dites-vous?;;;;;;;;;;;;x
