#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESClesserrings.0;The Guardians of the Lesser Rings are…;Les Gardiens des Anneaux Mineurs sont…;;;;;;;;;;;;x
EVTOPTAlesserrings.0;Ok.;Ok.;;;;;;;;;;;;x
CURRENTRINGSARUMAN;Ring of Saruman;Anneau de Saruman;;;;;;;;;;;;x
CURRENTLESSERRING;Lesser Ring;Anneau Mineur;;;;;;;;;;;;x
CURRENTRINGBARAHIR;Ring of Barahir;Anneau de Barahir;;;;;;;;;;;;x
list_lesser_rings;Show the Guardians of the Lesser Rings;Montrez les Gardiens des Anneaux Mineurs;;;;;;;;;;;;x
list_lesser_rings_desc;The Lesser Rings are not as powerful as the Three, the Seven, the Nine, and obviously the One, but can give some bonuses to their holders.;Les Anneaux Mineurs sont moins puissants que les Trois, les Sept, les Neuf et bien sur l'Unique, mais peuvent apporter quelques bonus à leurs propriétaires.;;;;;;;;;;;;x
EVTTITlesserrings.1;A Lesser Ring !;Un Anneau Mineur !;;;;;;;;;;;;x
EVTDESClesserrings.1;You didn't find any trace of the One Ring, but , while searching some ruins in search of clues, your servants have found an old tomb, richly ornamented. After open the tomb, they found with the remains of an old lord a ring, apparently made ??by the Elves of Celebrimbor. After considering this ring, it appears that it isn't a Ring of Power, but of the Lesser Rings forged by the Elves of Eregion. It's much less powerful, but have an artifact of this type will increase the prestige of your home.;Vous n'avez pas trouvé la trace de l'Anneau Unique, mais en fouillant des ruines à la recherche d'indices, vos serviteurs ont trouvés une vieille tombe, richement ornée. Après avoir ouverts la tombe, ils ont trouvés sur les restes de ce seigneur un vieil anneau, apparemment fabriqué par les elfes de Celebrimbor. Après étude de cet anneau, il apparait que celui-ci n'est pas un Anneau de Pouvoir, mais un des Anneaux Mineurs forgés par les elfes d'Eregion. Il est bien moins puissant, mais posséder un artefact de ce type augmentera le prestige de votre maison.;;;;;;;;;;;;x
EVTOPTAlesserrings.1;At Least, I've got a Ring!;Au moins, j'ai un Anneau !;;;;;;;;;;;;x
EVTOPTBlesserrings.1;I don't mind.;@FIXME@ I don't mind.;;;;;;;;;;;;x
