#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
summer_fair;Hold a Lithe Fair;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
holding_summer_fair;Holding a Lithe Fair;Organiser une foire estivale;GERMAN;;SPANISH;;;;;;;;;x
peasants_upset;Villagers upset;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC74050;I have given the order that a Lithe Fair should be held in [Root.Capital.GetName] this summer!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA74050;It's been too long!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Puppets - puppet show
EVTDESC4105;The Lithe Fair brings all kinds of entertainers to [Root.Location.GetName] and a bard show got my attention when I heard the giggles, laughter and gasps from its audience. After listening to the show for a while, I realized that one of the tales was about me!;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA4105;Hey! I only stole half the donations that time!;Pas très réaliste.;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTB4105;Mockery, what else?;Comment osent-ils se moquer de moi ?;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC4105;Imitation is the sincerest flattery!;C’est vraiment très drôle !;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTD4105;Let me try it!;J’ai envie d’essayer !;GERMAN;;SPANISH;;;;;;;;;x
#Bear - prize pig auction
EVTDESC4170;A huge pink sow was brought to the Lithe Fair in [Root.Location.GetName] this year, she is being called the Prize Pig of Lithe and her auction has sparked an intsense bidding war.;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA4170;I wonder how he bred her;Je me demande comment il fait ça.;Ich möchte wissen, wie er das macht;;Me pregunto cómo lo hace;;;;;;;;;x
EVTOPTB4170;How clumsy he dances!;Qu’est-ce qu’il est pataud quand il danse !;Wie tapsig er tanzt!;;¡Qué torpe es bailando!;;;;;;;;;x
EVTOPTC4170;I'll take her!;Tenez-le bien en laisse, au cas où...;Haltet ihn an der kurzen Leine, nicht dass er irgendetwas versucht …;;Mantenle controlado, si hace algo...;;;;;;;;;x
EVTOPTD4170;I've seen bigger...;Ça ne doit pas être très difficile de dresser un ours.;Es kann ja nicht so schwer sein, einen Bären zu trainieren;;Entrenar un oso debe ser muy difícil;;;;;;;;;x
EVTOPTE4170;What a glorious animal!;Il adore danser !;Er liebt es wirklich, zu tanzen!;;¡Le encanta bailar!;;;;;;;;;x
#Monkey - pie eating contest
EVTDESC74000;The annual Lithe Fair pie eating contest is about to begin! The entrants have a stack of the finest pork pies each, and the greedy glint in their eyes say it's going to be a great occasion!;J’avais invité un dresseur de singes lors du Festival d’été et tout s’est bien passé jusqu’à ce qu’un de ses animaux refuse de monter sur le dos d’un cochon. Le dresseur a donné des coups de baguette au singe, ce à quoi les autres singes ont riposté en le frappant, à leur tour, avec sa propre baguette.;Auf das Sommerfest hatte ich einen Affendompteur eingeladen. Die Vorstellung lief so lange gut, bis sich einer der Affen weigerte, auf einem Schwein zu reiten. Der Dompteur schlug den Affen mit einem Stock, worauf ihn die anderen Affen attackierten. Sie bissen ihn und schlugen ihn mit seinem eigenen Stock.;;Había invitado a un entrenador de monos a la feria de verano, y la actuación iba bien hasta que uno de los monos se negó a subirse encima de un cerdo. El entrenador golpeó al mono con una vara y los demás monos se lanzaron a por el entrenador para golpearlo con su propia vara.;;;;;;;;;x
EVTOPTA74000;Such a waste of good pies...;Ne faudrait-il pas faire quelque chose ?;Sollte nicht jemand irgendwas unternehmen?;;¿No hay nadie que pueda hacer algo?;;;;;;;;;x
EVTOPTB74000;Go on my son! You can do one more!;Ça lui servira de leçon !;Geschieht ihm recht!;;¡Le está bien merecido!;;;;;;;;;x
EVTOPTC74000;I could do better;Portez secours à ce pauvre homme !;Rettet diesen armen Mann!;;¡Que alguien salve a ese pobre hombre!;;;;;;;;;x
EVTOPTD74000;He shouldn't have beaten that poor creature;Il n’aurait pas dû frapper cette pauvre créature.;Er hätte diesen armen Affen nicht züchtigen sollen;;No debería haber pegado a la pobre criatura.;;;;;;;;;x
EVTOPTE74000;5:1 on the hairy fella!;Voilà votre argent… Je ne veux plus jamais vous revoir ici.;Hier ist Euer Geld, und nun packt Euch hinfort!;;Toma tu dinero, no quiero volver a verte nunca más.;;;;;;;;;x
#Archery - Vegetable contest
