#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITmaiarkiller.1;Your Court;@FIXME@ Your Court;;;;;;;;;;;;x
EVTDESCmaiarkiller.1;In Barad-Dur, many of your most capable lieutenants reside. They handle the daily tasks of running your realm, and keep your unruly legions under control.;@FIXME@ In Barad-Dur, many of your most capable lieutenants reside. They handle the daily tasks of running your realm, and keep your unruly legions under control.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.1;It's good to have servants.;@FIXME@ It's good to have servants.;;;;;;;;;;;;x
EVTTITmaiarkiller.2;Your Court;@FIXME@ Your Court;;;;;;;;;;;;x
EVTDESCmaiarkiller.2;You have gathered to yourself an inner circle, loyal only to yourself. These include orcs, Uruk-Hai, Half-Orcs, and Dunlendings. They take care of all the drudgery associated with ruling a realm and building armies.;@FIXME@ You have gathered to yourself an inner circle, loyal only to yourself. These include orcs, Uruk-Hai, Half-Orcs, and Dunlendings. They take care of all the drudgery associated with ruling a realm and building armies.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.2;It's good to have servants.;@FIXME@ It's good to have servants.;;;;;;;;;;;;x
EVTTITmaiarkiller.3;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCmaiarkiller.3;Maiar characters are not supposed to be randomly spawned.;@FIXME@ Maiar characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.3;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITmaiarkiller.31;You are dunlending;@FIXME@ You are dunlending;;;;;;;;;;;;x
EVTDESCmaiarkiller.31;Maiar characters are not supposed to be randomly spawned.;@FIXME@ Maiar characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.31;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITmaiarkiller.4;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCmaiarkiller.4;Wight characters are not supposed to be randomly spawned.;@FIXME@ Wight characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.4;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITmaiarkiller.5;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCmaiarkiller.5;Wight characters are not supposed to be randomly spawned.;@FIXME@ Wight characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAmaiarkiller.5;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
