#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mine_moria_decision;Search for Mithril in Khazad-d˚m;Chercher du Mithril en Khazad-d˚m;;;;;;;;;;;;x
mine_moria_decision_desc;The Mines of Khazad-d˚m are deemed the greatest in Middle Earth as they are the only source of a unique metal, stronger than steel, Mithril. You can send miners to dig new galleries and try to find new veins of the metal.;Les Mines de Khazad-d˚m sont réputées grâce à un métal unique au monde, plus résistant que l'acier, le Mithril. Vous pouvez envoyer des mineurs dans de nouvelles galeries pour essayer de trouver des filons.;;;;;;;;;;;;x,,,,,,,,,,,
EVTDESCmoria.0;The Mines of Khazad-d˚m are considered the greatest in Middle Earth, as they are the only source of the unique metal, stronger than steel, Mithril. You can send miners to dig new galleries and try to find new veins of the metal.\n\n In what part of the mines should they dig?;Les Mines de Khazad-d˚m sont réputées grâce à un métal unique au monde, plus résistant que l'acier, le Mithril. Vous pouvez envoyer des mineurs dans de nouvelles galeries pour essayer de trouver des filons. Dans quelle partie des Mines allez-vous les envoyer? Près des anciens filons, ou dans les profondeurs?;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTAmoria.0;Dig near the upper ancient mithril veins.;Ils chercheront près des anciens filons.;;;;;;;;;;;;x
EVTOPTBmoria.0;Dig far in the depths of the mine.;Ils chercheront dans les profondeurs.;;;;;;;;;;;;x
EVTOPTCmoria.0;Nevermind...;Laissons tomber...;;;;;;;;;;;;x
EVTDESCmoria.1;Your miners have begun digging new galleries near the ancient Mithril veins in the upper parts of Moria. It's hoped that they find new veins, which are sure to make you rich...;Vos mineurs sont allé creuser de nouvelles galeries près des anciens filons de Mithril, dans les parties supérieurs de la Moria. Il faut esperer qu'ils trouvent de nouveaux filons, qui ne manqueront pas de vous enrichir...;;;;;;;;;;;;x,,,,,,,,,,,,
EVTOPTAmoria.1;I hope they'll find some Mithril!;J'espère qu'ils trouveront du Mithril !;;;;;;;;;;;;x
EVTDESCmoria.2;Your miners have returned, after digging new galleries, and in their carts you can see many lumps of Mithril ore. They found a vein, but it quickly dried up...;Vos mineurs reviennent vers vous, après avoir creusé de nouvelles galeries, et dans leurs chariots, vous pouvez voir de nombreuses pépites de Mithril. Ils ont trouvé un filon, mais celui-ci s'est rapidement tari...;;;;;;;;;;;;x,,,,,,,,
EVTOPTAmoria.2;I'll sell the ore for gold!;Je gagnerais plus d'or avec ces minerais !;;;;;;;;;;;;x
EVTOPTBmoria.2;I'll make a Mithril hauberk with the ore!;Je vais fabriquer une cotte de maille avec ces minerais!;;;;;;;;;;;;x
EVTDESCmoria.3;Your miners have returned from the Mithril veins, but their bags are empty. They found iron, copper,and coal, but not Mithril...;Vos mineurs sont revenus, mais leurs sacs sont vides. Ils ont bien trouvé du fer, du cuivre ou du charbon, mais pas de mithril...;;;;;;;;;;;;x,,,,,,,,
EVTOPTAmoria.3;Too bad...;Quel dommage...;;;;;;;;;;;;x
EVTDESCmoria.4;Your miners have returned, and brought with them bad news. Various surveys show that the Mithril veins are completely depleted in the upper parts of Moria. To find new veins, you'll have to dig in the depths of Moria...;Vos mineurs sont revenus, et apportent avec de mauvaises nouvelles. Les différentes prospections montrent que les filons de Mithril sont complètement épuisés dans les parties supérieures de la Moria. Pour en trouver, il faudra maintenant se contenter de creuser dans les profondeurs...;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.4;I see...;Je vois...;;;;;;;;;;;;x
EVTDESCmoria.5;Your blacksmiths were able to smelt the Mithril, and made a chainmail hauberk, as you requested. Who will receive this precious gift?;Vos forgerons ont réussi à fondre le mithril, et en ont fait une cotte de maille, comme vous l'avez demandé. A qui destinez-vous ce cadeau digne d'un roi?;;;;;;;;;;;;x,,,,,,,,,,,
EVTOPTAmoria.5;This chainmail is for me!;Cette cotte de maille est pour moi !;;;;;;;;;;;;x
EVTOPTBmoria.5;This chainmail is for my marshal!;Cette cotte de maille est pour mon sénéchal !;;;;;;;;;;;;x
EVTOPTCmoria.5;This chainmail is for one of my sons!;Cette cotte de maille est pour l'un de mes fils !;;;;;;;;;;;;x
EVTOPTDmoria.5;This chainmail is for one of my vassals!;Cette cotte de maille est pour l'un de mes vassaux !;;;;;;;;;;;;x
EVTOPTEmoria.5;I'll sell it for gold!;Je vais la vendre pour avoir plus d'Or!;;;;;;;;;;;;x
