#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITnewshadow.0;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
EVTDESCnewshadow.0;You're Eldarion, son of the King Elessar and Arwen Undomiel. You became King of Gondor, after the departure of your father, and you lead now the fate of almost all the lands of the West. Thy kingdom must perpetuate the friendship between your people and others, such as Hobbits, Rohirrim, Elves or Dwarves. But now that you no longer have to fear enemies, some descendants of old Numenorians families start having dark thoughts. You've heard some discussions, and some of them seem to think that our people should dominate this world, and not fraternize with decadent or inferior races. Others begin to be jealous again the immortaly of the elves, and begin to say that the Valar unfairly deny us this gift. These dark ideas recall the tragic hours of the end of Numenor, and you hope that it will pass quickly under your reign.;Vous êtes Eldarion, le fils du Roi Elessar et d'Arwen Undomiel. Vous êtes devenu Roi du Gondor à votre tour, après le départ de votre père, et vous dirigez maintenant la destinée de presque toutes les terres de l'Ouest. Votre règne doit perpetuer l'amitié entre votre peuple et les autres, comme les Hobbits, les Rohirrim, les Elfes ou les Nains. Mais maintenant que vous n'avez plus d'ennemis à craindre, certains descendants des Numénoréens de jadis commencent à avoir de sombres pensées. Vous avez eu vent de certaines discussions, et certains d'entre eux semblent penser que notre peuple devrait dominer ce monde, et non fraterniser avec des peuples décadents ou inférieurs. D'autres commencent à jalouser de nouveau l'immortalité des elfes, et commencent à dire que les Valar nous refusent injustement ce don. Ces sombres idées rappellent les heures tragiques de la fin de Numenor, et vous esperez que cela passera rapidement, sous votre règne.;;;;;;;;;;;;x
EVTOPTAnewshadow.0;I want the Peace.;Je veux la Paix.;;;;;;;;;;;;x
EVTTITnewshadow.1;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
EVTDESCnewshadow.1;You're the descendant of an ancient family of Numenorians, with a long life and great prestige. Despite the peace and prosperity of your kingdom, you start to think that your people deserve better than its current fate. You should rule the world, not fraternize with all lower or decadent races. In addition, you jealous in your heart the Immortality of the Elves, and you start to think that the Valar voluntarily refuse this gift to your kin. One day, a man, named Belegûr, who came from a Numenorian Kingdom in the very far south almost unknown to your peers, appears at the door of your palace. It offers its services, saying he's a priest of the cult of Melkor, Lord of All and Giver of Freedom. He tells you that if you turn your heart to the darkness, you can achieve a much greater purpose ...;Vous êtes le descendant d'une ancienne famille de Numénoréens, doté d'une longue vie et d'un grand prestige. Malgré la paix et la prospérité de votre royaume, vous commencez à penser que votre peuple mérite mieux que le destin qui lui est accordé. Vous devriez dominer le monde, et non pas fraterniser avec toutes les races inférieures ou décadentes. De plus, vous jalousez en votre coeur l'immortalité offerte aux elfes, et commencez à penser que les Valar vous refusent volontairement ce don. Un jour, un homme nommé Belegûr, venu d'un des Royaumes Numénoréens existants très loin au Sud, et presque inconnus de vos pairs, apparait à la porte de votre palais. Il vous propose ses services, vous disant qu'il est un prêtre du culte du Melkor, Seigneur du Tout et Donneur de Liberté. Il vous dit que si vous vous tournez vers les ténèbres, vous pourrez atteindre un but bien plus grand...;;;;;;;;;;;;x
EVTOPTAnewshadow.1;Darkness is waiting for me.;Les Ténèbres m'attendent.;;;;;;;;;;;;x
EVTOPTBnewshadow.1;I prefer the Light!;Je préfère la Lumière !;;;;;;;;;;;;x
EVTTITnewshadow.2;A Symbol of Darkness;Un Symbole Ténébreux;;;;;;;;;;;;x
EVTDESCnewshadow.2;Belegûr, the priest of the cult of Melkor, meets regularly with you, and you learn a lot about the world, its creation, and the fate of his Lord and Master Melkor. He tells you that it's time to turn the hearts of Gondorians to the Lord Melkor, as at the time of Ar-Pharazôn the Golden. To do so, you'll first need to act secretly, and create an order, a brotherhood, capable of forming disciples of this cult. To have the legitimacy to lead this order, you should find a strong symbol to gather your following. Belegûr suggest you to find the tomb of Herumor, the former Númenorean Lord of the Haradrim during the War of the Second Alliance, in order to find a sufficiently powerful emblem.;Belegûr, le prêtre du culte de Melkor, s'entretient régulièrement avec vous, et vous apprend de nombreuses choses sur le Monde, sa création, et le destin de son Seigneur et Maître. Il vous dit qu'il est temps de tourner les coeurs des Gondoriens vers le Seigneur Melkor, comme au temps d'Ar-Pharazon le Doré. Pour se faire, vous devrez d'abord agir secrètement, et créer un ordre, une confrérie, capable de former des disciples de ce culte. Pour avoir la légitimité de diriger cet ordre, vous devriez trouver un symbole fort pour rassembler vos suivants. Belegûr vous suggère de retrouver le tombeau d'Herumor, l'ancien seigneur Numénoréen des Haradrim durant la Guerre de la Seconde Alliance, afin d'y trouver un emblème suffisamment puissant.;;;;;;;;;;;;x
EVTOPTAnewshadow.2;I'll search his Tomb.;Je vais chercher sa Tombe.;;;;;;;;;;;;x
EVTOPTBnewshadow.2;This project is stupid.;Ce projet est idiot.;;;;;;;;;;;;x
