#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
search_for_numenor;Search for Numenor;Rechercher Numenor;;;;;;;;;;;;;x
search_for_numenor_desc;You know that the island of Numenor was destroyed by Eru Iluvatar himself, but some legends say that the top of Meneltarma is still visible and accessible to the most skilled sailors. Will you try this improbable journey?;Vous savez que l'île de Numenor a été détruite par Eru Iluvatar lui-même, mais certaines légendes racontent que le sommet du Meneltarma est encore visible, et accessible, pour les marins les plus aguerris. Allez-vous tenter ce voyage improbable?;;;;;;;;;;;;;x
EVTNAMEnumenor.0;The Remains of Numenor;Les Vestiges de Numenor;;;;;;;;;;;;;x
EVTDESCnumenor.0;You know that the island of Numenor was destroyed by Eru Iluvatar himself, but some legends say that the top of Meneltarma is still visible and accessible to the most skilled sailors. Will you try this improbable journey?;Vous savez que l'île de Numenor a été détruite par Eru Iluvatar lui-même, mais certaines légendes racontent que le sommet du Meneltarma est encore visible, et accessible, pour les marins les plus aguerris. Allez-vous tenter ce voyage improbable?;;;;;;;;;;;;;x
EVTOPTAnumenor.0;Yes, i'll search this holy place.;Oui, je vais rechercher ce lieu saint.;;;;;;;;;;;;;x
EVTOPTBnumenor.0;This is madness.;C'est de la folie.;;;;;;;;;;;;;x
EVTNAMEnumenor.1;A Journey to Numenor;Un Voyage vers Numenor...;;;;;;;;;;;;;x
EVTDESCnumenor.1;You have officially announced that you leave in search of the remains of Numenor, the top of Meneltarma. Many say that it is folly, and that the existence of this island is no longer a legend. However, they advise you to make a great ship if you want to complete this project ... crazy.;Vous avez annoncé officiellement que vous partiez à la recherche du vestige de Numenor, le sommet de Meneltarma. Beaucoup disent que c'est une folie, et que l'existence de cet île n'est plus qu'une légende. Ils vous conseillent cependant de fabriquer un grand vaisseau si vous voulez mener à bien ce projet ... fou.;;;;;;;;;;;;;x
EVTOPTAnumenor.1;I'll build a powerful armada.;Je vais construire une armada puissante.;;;;;;;;;;;;;x
EVTOPTBnumenor.1;I will use the vessels of the Pelargir Fleet.;Je vais utiliser les vaisseaux de Pelargir.;;;;;;;;;;;;;x
EVTNAMEnumenor.3;A large fleet;Une flotte Imposante;;;;;;;;;;;;;x
EVTDESCnumenor.3;You have armed a powerful fleet in order to reach the holy place which is the top of Meneltarma. You still do not know if this place really exists, but in any case, the trip promises to be interesting. It is now time to embark.;Vous avez armé une puissante flotte pour pouvoir atteindre le lieu saint qu'est le sommet du Meneltarma. Vous ne savez toujours pas si ce lieu existe vraiment, mais dans tout les cas, le voyage promet d'être interessant. Il est maintenant temps d'embarquer.;;;;;;;;;;;;;x
EVTOPTAnumenor.3;To the West!;Vers l'Ouest !;;;;;;;;;;;;;x
EVTNAMEnumenor.4;The Fleet of Pelargir;La Flotte de Pelargir;;;;;;;;;;;;;x
EVTDESCnumenor.4;You have gathered some of the Pelargir fleet in your quest for the top of Meneltarma. Many captains refused to follow you, they prefer to keep their forces to defend the coasts of Gondor. You still do not know if this place really exists, but in any case, the trip promises to be interesting. It is now time to embark.;Vous avez réuni une partie de la flotte de Pelargir, dans votre quête du sommet du Meneltarma. De nombreux capitaines ont refusé de vous suivre, préférent garder leurs forces pour défendre les côtes du Gondor. Vous ne savez toujours pas si ce lieu existe vraiment, mais dans tout les cas, le voyage promet d'être interessant. Il est maintenant temps d'embarquer.;;;;;;;;;;;;;x
EVTOPTAnumenor.4;To the West!;Vers l'Ouest !;;;;;;;;;;;;;x
EVTNAMEnumenor.5;Tempest!;Tempête !;;;;;;;;;;;;;x
EVTDESCnumenor.5;While you are away from Middle Earth by sailing west, you see in the distance what looks like an island. You don't have the time to know if it was a mirage or not, and a storm suddenly descends on you and your ships. The wind seems to take you back to the east, but you can still keep your cap ... for now.;Alors que vous vous êtes éloigné de la Terre du Milieu en naviguant vers l'Ouest, vous apercevez au loin ce qui ressemble à une île. Vous n'avez pas le temps de savoir si c'était un mirage ou non, et une tempête s'abat soudainement sur vous et vos navires. Le vent semble vous ramener vers l'Est, mais vous pouvez encore garder votre cap... pour le moment.;;;;;;;;;;;;;x
EVTOPTAnumenor.5;We'll try to reach this island !;Nous allons tenter de rejoindre cette île !;;;;;;;;;;;;;x
EVTOPTBnumenor.5;This tempest is too dangerous.;Cette tempête est trop dangereuse.;;;;;;;;;;;;;x
EVTNAMEnumenor.6;Tempest!;Tempête !;;;;;;;;;;;;;x
EVTDESCnumenor.6;"While the storm was in full swing, you get the idea to brandish the sword of Elendil, to show the Ring of Barahir, and to shout in the winds : ""I am the heir of Elendil the Faithful, and I would like to make a pilgrimage on the place where my ancestors worshiped the Valar, and Eru lluvatar, Father of All."" A ray of sunshine comes reverberate on your sword, and the storm stops as suddenly as she was coming. In front of you lies a pristine island of every inhabitant, flown by eagles.";"Alors que la tempête battait son plein, vous avez l'idée de brandir l'épée d'Elendil, et de montrer l'Anneau de Barahir, en clâmant : ""Je suis l'héritier d'Elendil le Fidèle, et je souhaite me rendre en pélerinage, sur la terre où mes ancêtres vénéraient les Valar, et Eru Iluvatar, le Père de Toutes Choses"". Un rayon de soleil vint alors se reverberer sur votre épée, et la tempête s'arrête aussi soudainement qu'elle n'était venue. Devant vous, s'étend une île vierge de tout habitant, survolée par des aigles.";;;;;;;;;;;;;x
EVTOPTAnumenor.6;This is the Meneltarma.;C'est le Meneltarma.;;;;;;;;;;;;;x
EVTNAMEnumenor.7;Tempest!;Tempête !;;;;;;;;;;;;;x
EVTDESCnumenor.7;While the storm was in full swing, you've continued to sail to the West. The more you advance, the more the storm was terrible, destroying your ships one by one. Suddenly, a huge wave seems to rise in front of you. You close your eyes, waiting for it will come upon you.;Alors que la tempête battait son plein, vous avez continué à naviguer vers l'Ouest. Plus vous avancez, et plus la tempête est terrible, détruisant un par un vos navires. Soudain, une vague immense semble s'élever devant vous. Vous fermez les yeux, attendant que celle-ci ne s'abatte sur vous.;;;;;;;;;;;;;x
EVTOPTAnumenor.7;It was madness…;C'était de la folie…;;;;;;;;;;;;;x
EVTNAMEnumenor.8;Death!;Mort !;;;;;;;;;;;;;x
EVTDESCnumenor.8;One of your vassals had gone sailing westward, apparently too far. His body was found by fishermen, surrounded by debris of his ship. He certainly had to face a powerful storm.;Un de vos vassaux était parti naviguer vers l'Ouest, beaucoup trop loin apparemment. Son corps a été retrouvé par des pêcheurs, entouré de débris de son navire. Il a certainement du affronter une puissante tempête.;;;;;;;;;;;;;x
EVTOPTAnumenor.8;The West is closed.;L'Ouest ne nous est plus accessible.;;;;;;;;;;;;;x
EVTNAMEnumenor.9;Tempest!;Tempête !;;;;;;;;;;;;;x
EVTDESCnumenor.9;While the storm was in full swing, you've continued to sail to the West. The more you advance, the more the storm was terrible, destroying your ships one by one. After some days, it seems that the tempest is now over, and you now face an island, flown by eagles.;Alors que la tempête battait son plein, vous avez continué à naviguer vers l'Ouest. Plus vous avancez, et plus la tempête est terrible, détruisant un par un vos navires. Après de nombreux jours, vous avez finalement pu survivre à la tempête, et vous vous retrouvez face à une île déserte, survolée par de grands aigles.;;;;;;;;;;;;;x
EVTOPTAnumenor.9;This is the Meneltarma.;C'est le Meneltarma.;;;;;;;;;;;;;x
EVTDESCnumenor.10;The Meneltarma is a sacred land where no man could walk, except the True King of the Numenoreans. No construction is authorized, and the place should remain empty of any building.;Le Meneltarma est une terre sacrée, où nul homme ne pouvait fouler le pied, hormis le Roi de Numenor. Aucune construction n'y est autorisée, et l'endroit doit rester vierge de tout batiment.;;;;;;;;;;;;;x
EVTOPTAnumenor.10;We honor Eru Iluvatar.;Nous y honorons Eru Iluvatar.;;;;;;;;;;;;;x
