#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCORCINVASION.1201;You hear word that an orc raid is being prepared against you. Strengthen the defenses!; You hear word that an orc raid is being prepared against you. Strengthen the defenses!;;;;;;;;;;;;x
EVTOPTAORCINVASION.1201;I hate orcs!; I hate orcs!;;;;;;;;;;;;x
EVTDESCORCINVASION.1203;An orc warlord from your court is preparing an army to invade a foreign realm.; An orc warlord from your court is preparing an army to invade a foreign realm.;;;;;;;;;;;;x
EVTOPTAORCINVASION.1203; OK; OK;;;;;;;;;;;;x
EVTDESCORCINVASION.1204; OK; OK;;;;;;;;;;;;x
EVTOPTAORCINVASION.1204; OK; OK;;;;;;;;;;;;x
EVTDESCORCINVASION.1211;You receive word that a massive orc horde is preparing to march against your lands. Let us hope we have the strength to repel them!; You receive word that a massive orc horde is preparing to march against your lands. Let us hope we have the strength to repel them!;;;;;;;;;;;;x
EVTOPTAORCINVASION.1211;I hate orcs!; I hate orcs!;;;;;;;;;;;;x
EVTDESCORCINVASION.1213;One of your warlords has gathered a large horde, and is preparing to lead it out for pillage and slaughter.; One of your warlords has gathered a large horde, and is preparing to lead it out for pillage and slaughter.;;;;;;;;;;;;x
EVTOPTAORCINVASION.1213;We need more of his kind!; We need more of his kind!;;;;;;;;;;;;x
EVTDESCORCINVASION.1214; OK; OK;;;;;;;;;;;;x
EVTOPTAORCINVASION.1214; OK; OK;;;;;;;;;;;;x
EVTTITorcmarriage.1;You've married a Monster; You've married a Monster;;;;;;;;;;;;x
EVTDESCorcmarriage.1;By all that is holy, your new wife is a monster! Not the fair maid you were promised... what cruel joke is this?; By all that is holy, your new wife is a monster! Not the fair maid you were promised... what cruel joke is this?;;;;;;;;;;;;x
EVTOPTAorcmarriage.1;Kill it! Kill it with fire!; Kill it! Kill it with fire!;;;;;;;;;;;;x
EVTOPTBorcmarriage.1;Actually, I kind of like her...; Actually, I kind of like her...;;;;;;;;;;;;x
EVTTITorcmarriage.2;Brides of Melkor; Brides of Melkor;;;;;;;;;;;;x
EVTDESCorcmarriage.2;A few women have joined your inner circle, and have become devout worshippers of the Dark Lord!; A few women have joined your inner circle, and have become devout worshippers of the Dark Lord!;;;;;;;;;;;;x
EVTOPTAorcmarriage.2;Excellent...; Excellent...;;;;;;;;;;;;x
EVTOPTBorcmarriage.2;Excellent...; Excellent...;;;;;;;;;;;;x
