#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTpalantir_use.1;The Seeing Stones;Utiliser le Palantír?;;;;;x
EVTDESCpalantir_use.1;You are the holder of one of the Palantíri, the Seeing Stones. Only a strong spirit is able to use them without being corrupted by Sauron, but war is coming. Will you look into the Palantír and see what perils may be awaiting you?;Vous possédez l'une des Pierres de Visions, les Palantír. Seul un esprit fort sera capable de l'utiliser, mais les rumeurs de la guerre arrivent jusqu'à vous. Voulez-vous regarder dans le Palantír malgré tout les dangers?;;;;;x
EVTOPTApalantir_use.1;Yes, it is my right!;Oui, c'est mon droit !;;;;;x
EVTOPTBpalantir_use.1;No, it's too dangerous...;Non, il y a trop de risques.;;;;;x
EVTpalantir_use.2;Using the Stone;Vous Utilisez le Palantír;;;;;x
EVTDESCpalantir_use.2;You are in your secret room, and the Palantír sits on it's pedestal in front of you. Slowly, you put your hand upon it, and look deep into the Stone...;Vous êtes dans votre haute Tour, faisant face au Palantír. Lentement, vous vous approchez de la pierre, posez votre main dessus, et commencez à regarder…;;;;;x
EVTOPTApalantir_use.2;I... see something...;Je vois quelquechose …;;;;;x
EVTpalantir_use.3;Great Visions;Vous voyez le Monde !;;;;;x
EVTDESCpalantir_use.3;Slowly, forms appear in the Stone, dancing and changing. Little by little, you see different parts of the world appear within the stone, you can see the lands of your enemies, and their plans against you appear more clearly...;Lentement, des formes apparaissents dans la pierre, et petit à petit, vous finissez par voir des parties proches et éloignées du monde. Les complots contre vous semblent plus clairs…;;;;;x
EVTOPTApalantir_use.3;I can understand all the mechanisms of this world!;Je peux comprendre les rouages de ce Monde !;;;;;x
EVTpalantir_use.4;Deathly Visions;Vous voyez la Mort !;;;;;x
EVTDESCpalantir_use.4;Slowly, forms appear in the Stone, dancing and changing. Little by little, you see dark lands appear, destruction, war, fire and death!;Lentement, des formes apparaissents dans la pierre, et petit à petit, vous finissez par voir des parties proches et éloignées du monde. Mais vous ne voyez que mort et désolation …;;;;;x
EVTOPTApalantir_use.4;There is no hope!;Il n'y a plus d'espoir !;;;;;x
EVTOPTApalantir_use.;I can understand all the mechanisms of the World!;Je peux comprendre les rouages de ce Monde !;;;;;x
EVTpalantir_use.5;Visions of War;Vous voyez la Guerre !;;;;;x
EVTDESCpalantir_use.5;Slowly, forms appear in the Stone, dancing and changing. Little by little, you see dark lands appear, destruction, war and a huge army marching against your realm!;Lentement, des formes apparaissents dans la pierre, et petit à petit, vous finissez par voir des parties proches et éloignées du monde. De nombreuses armées apparaissent, mais pas sous votre commandement…;;;;;x
EVTOPTApalantir_use.5;We must flee!;Je devrais m'enfuir…;;;;;x
EVTpalantir_use.6;Terrible Visions;Vous voyez l'Œil !;;;;;x
EVTDESCpalantir_use.6;Slowly, forms appear in the Stone, dancing and changing. Little by little, you see different parts of the world appear within the stone. Suddenly, everything disappears, and there is only a Great Eye, looking right at you!;Lentement, des formes apparaissents dans la pierre, et petit à petit, vous finissez par voir des parties proches et éloignées du monde. Soudain, tout s'arrête, et il ne reste plus qu'un Grand Œil, qui vous fixe …;;;;;x
EVTOPTApalantir_use.6;No! I can't resist!;Non! Je ne peux pas résister !;;;;;x
EVTpalantir_use.7;Using the Palantír?;Utiliser le Palantír?;;;;;x
EVTDESCpalantir_use.7;You have already looked into the Palantír once... and it was so fascinating! In your dreams, you are looking again, and again. You are becoming obsessed. Can you resist it's powers of temptation?;Vous avez déjà regardé dans le Palantír, et c'était … si fascinant… Dans vos rêves, vous vous voyez regarder encore et encore, découvrir le monde entier. C'est devenu une véritable obsession… Allez-vous y résister?;;;;;x
EVTOPTApalantir_use.7;I want to see... I must see again!;Je veux regarder … encore!;;;;;x
EVTOPTBpalantir_use.7;I must control myself...;Non, je dois me controler.;;;;;x
obsessed_by_Palantír;Obsessed by Palantír;Obsédé par le Palantír;;;;;x
obsessed_by_Palantír_desc;You have already looked several times into the Palantír. You are obsessed by it, and you can't resist looking at it. Every day, again and again, your court pity you and your family weep.;;;;;;x
EVTpalantir_use.8;Palantír Obsession;Utiliser le Palantír?;;;;;x
EVTDESCpalantir_use.8;You've already looked several times into the Palantír. You are now obsessed by it, and you can't resist looking into it again and again... One of your courtiers is trying to help you, and has told you to stop this madness!;Vous avez déjà regardé dans le Palantír de nombreuses fois, et vous êtes devenu totalement obsédé par la Pierre. Vous n'arrivez plus à résister, et devez toujours plus regarder… Un de vos conseillers essaie de vous aider, et de vous faire renoncer à cette folie !;;;;;x
EVTOPTApalantir_use.8;It is my Stone! Mine!;Je regarderais MA Pierre !;;;;;x
EVTOPTBpalantir_use.8;Maybe... I should stop...;Peut-être… devrais-je arrêter?;;;;;x
EVTpalantir_use.9;A Hidden Stone;Enfermer le Palantír ?;;;;;x
EVTDESCpalantir_use.9;You know that looking into the Palantír again is asking for madness. Will you make the right choice, and hide the Palantír somewhere, never to speak of or use it again?;Vous comprenez maintenant que regarde encore dans le Palantír vous rendra fou. Ferez-vous le bon choix, et enfermerez-vous cette Pierre dans un lieu où vous ne l'utiliserez plus?;;;;;x
EVTOPTApalantir_use.9;Yes. It is time to free my mind.;Oui. Il est temps de libérer mon esprit.;;;;;x
EVTOPTBpalantir_use.9;It is my right to use it, no one can take it from me!;C'EST MON DROIT DE L'UTILISER !;;;;;x
EVTDESCpalantir.0;You are the protector of the Tower of Amon Sûl, and as such, you need to guard the Stone of Amon Sûl, one of the seven palantíri brought to Middle-earth by Elendil and the survivors of Numenor.;Vous êtes le protecteur de la Tour d'Amon Sûl, et en tant que tel, vous devez garder la Pierre d'Amon Sûl, l'un des sept Palantiri amenés en Terre-du-Milieu par Elendil et les survivants de Numenor.;;;;;x
EVTOPTApalantir.0;My House will guard this Stone.;Ma Maison protégera cette Pierre.;;;;;x
