#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMEpowers.1;Vilya;Vilya;;;;;;;;;;;;x
EVTDESCpowers.1;You're the holder of Vilya, and with the most powerful of the Three Rings of the Elves, you should protect your demesne. Use the Ring, and stronger your defenses against your ennemies!;Vous portez Vilya, le plus puissant des Trois Anneaux Elfiques. Vous devriez l'utiliser pour protéger votre domaine. Utilisez l'Anneau, et améliorez vos défenses contre vos ennemis!;;;;;;;;;;;;x
EVTOPTApowers.1;I'll use the Ring!;Je vais utiliser l'anneau!;;;;;;;;;;;;x
EVTOPTBpowers.1;I won't use it.;Je ne l'utiliserais pas.;;;;;;;;;;;;x
EVTNAMEpowers.2;Vilya;Vilya;;;;;;;;;;;;x
EVTDESCpowers.2;You're now ready to use Vilya, an you're waiting for the ennemy army. If they come up to you, they'll have a little surprise…;Vous êtes prêt à utiliser Vilya, et attendez l'attaque de l'armée ennemie. S'ils entrent sur vos terres, ils risquent d'avoir une surprise…;;;;;;;;;;;;x
EVTOPTApowers.2;I'm waiting for them.;Je les attends.;;;;;;;;;;;;x
EVTNAMEpowers.3;Release the Power of Vilya;Lachez le Pouvoir de Vilya!;;;;;;;;;;;;x
EVTDESCpowers.3;Your ennemy is now in your lands, and he'll now besiege you. You should release the Power of Vilya, and strike your ennemies! But if you use it now, you won't be able to do it again before a long time…;L'ennemi est sur vos terres, et vous assiège. Il est temps de lâcher le Pouvoir de Vilya sur eux ! Si vous le faites maintenant, vous n'aurez cependant plus assez de forces pour recommencer avant une longue période.;;;;;;;;;;;;x
EVTOPTApowers.3;For my peoples!;Pour mon Peuple!;;;;;;;;;;;;x
EVTOPTBpowers.3;No, my strength will be enough.;Non, ma force suffira.;;;;;;;;;;;;x
EVTNAMEpowers.4;A Sudden Storm;Une Tempête Soudaine;;;;;;;;;;;;x
EVTDESCpowers.4;While your strengths were preparing the siege, a storm broke so suddenly. In the clouds and the wind, forms appear and disappear ... Once cleared, you realize that many of your forces have disappeared ...;Alors que vos forces préparaient le siège de la cité, une tempête éclata de manière subite. Dans les nuages et le vent, des formes apparaissent et disparaissent... Une fois dissipé, vous vous rendez compte qu'un grand nombre de vos forces ont disparues...;;;;;;;;;;;;x
EVTOPTApowers.4;Curses ! Elven Sorcery !;La Sorcellerie des Elfes !;;;;;;;;;;;;x
EVTOPTBpowers.4;The Power of Vilya…;Le Pouvoir de Vilya…;;;;;;;;;;;;x
use_vilya_war;Use the Power of Vilya;Utiliser le Pouvoir de Vilya;;;;;;;;;;;;x
use_vilya_war_desc;@FIXME@ Use the Power of Vilya;@FIXME@ Utiliser le Pouvoir de Vilya;;;;;;;;;;;;x
release_power_vilya;Release the Power of Vilya;Relâcher le Pouvoir de Vilya;;;;;;;;;;;;x
release_power_vilya_desc;@FIXME@ Release the Power of Vilya;@FIXME@ Relâcher le Pouvoir de Vilya;;;;;;;;;;;;x
use_nenya_war;Use the Power of Nenya;Utiliser le Pouvoir de Nenya;;;;;;;;;;;;x
use_nenya_war_desc;Use the Power of Nenya;Utiliser le Pouvoir de Nenya;;;;;;;;;;;;x
release_power_nenya;@FIXME@ Release the Power of Nenya;@FIXME@ Relâcher le Pouvoir de Nenya;;;;;;;;;;;;x
release_power_nenya_desc;@FIXME@ Release the Power of Nenya;@FIXME@ Relâcher le Pouvoir de Nenya;;;;;;;;;;;;x
EVTNAMEpowers.6;Nenya;Nenya;;;;;;;;;;;;x
EVTDESCpowers.6;You're the holder of Nenya, the Ring of Water, one of the Three Elvish Rings. With it, you should protect your demesne. Use the Ring, and stronger your defenses against your ennemies!;Vous portez Nenya, l'Anneau de Mithril, l'un des Trois Anneaux Elfiques. Vous devriez l'utiliser pour protéger votre domaine. Utilisez l'Anneau, et améliorez vos défenses contre vos ennemis!;;;;;;;;;;;;x
EVTOPTApowers.6;I'll use the Ring!;Je vais utiliser l'anneau!;;;;;;;;;;;;x
EVTOPTCpowers.6;@FIXME@ I'll use the Ring!;@FIXME@ Je vais utiliser l'anneau!;;;;;;;;;;;;x
EVTOPTBpowers.6;I won't use it.;Je ne l'utiliserais pas.;;;;;;;;;;;;x
EVTNAMEpowers.7;Nenya;Nenya;;;;;;;;;;;;x
EVTDESCpowers.7;You're now ready to use Nenya, and with it, you'll hide a lot of your troops near to Caras Galadhon. When the ennemy will come in your demesne, he'll fall in your trap!;Vous êtes prêt à utiliser Nenya, et grâce à cet anneau, vous avez réussi à cacher à la vue de vos ennemis une partie de vos troupes près de Caras Galadhon. S'ils entrent sur vos terres, ils tomberont dans votre piège !;;;;;;;;;;;;x
EVTOPTApowers.7;I'm waiting for them.;Je les attends.;;;;;;;;;;;;x
EVTNAMEpowers.8;The Trap of Nenya;Le Piège de Nenya !;;;;;;;;;;;;x
EVTDESCpowers.8;Your ennemy is now in your lands, and he'll now besiege you. You should release the Power of Nenya, and strike your ennemies! But if you use it now, you won't be able to do it again before a long time…;L'ennemi est sur vos terres, et vous assiège. Il est temps de lâcher le Pouvoir de Nenya sur eux ! Si vous le faites maintenant, vous n'aurez cependant plus assez de forces pour recommencer avant une longue période.;;;;;;;;;;;;x
EVTOPTApowers.8;Go, my hidden army !;Allez, mon armée cachée!;;;;;;;;;;;;x
EVTOPTBpowers.8;No, my strength will be enough.;Non, ma force suffira.;;;;;;;;;;;;x
EVTNAMEpowers.9;A Sudden Storm;Une Tempête Soudaine;;;;;;;;;;;;x
EVTDESCpowers.9;While your strengths were preparing the siege, a storm broke so suddenly. In the clouds and the wind, forms appear and disappear ... And then, an army appears around your troops! You fell in a trap, and your men will need to fight now!;Alors que vos forces préparaient le siège de la cité, une tempête éclata de manière subite. Dans les nuages et le vent, des formes apparaissent et disparaissent... Vous vous rendez alors compte qu'une armée elfe vous encercle ! Votre armée n'est pas en état, mais elle devra se battre néanmoins !;;;;;;;;;;;;x
EVTOPTApowers.9;Curses ! Elven Sorcery !;La Sorcellerie des Elfes !;;;;;;;;;;;;x
EVTOPTBpowers.9;The Power of Vilya…;Le Pouvoir de Vilya…;;;;;;;;;;;;x
black_fume;The Black Fume;La Fumée Noire;;;;;;;;;;;;x
black_fume_desc;The Black Fume, from Mordor, hides the sun and plunge the province into a perpetual night. The people are scared, and the troops are demotivated.;La Fumée Noire, en provenance du Mordor, cache le Soleil et plonge la province dans une nuit perpetuelle. Les habitants sont effrayés, et les troupes sont démotivées.;;;;;;;;;;;;x
create_fumes;Release the Black Fume;Relâcher la Fumée Noire;;;;;;;;;;;;x
create_fumes_desc;Release black fume that will hide the sun and darkened the hearts of enemies inhabitants.;Relâchez une fumée noire qui cachera le Soleil, et obscurcira les coeurs des habitants ennemis.;;;;;;;;;;;;x
EVTNAMEpowers.11;The Black Fume;La Fumée Noire;;;;;;;;;;;;x
