#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITconflict.1;War and Death;Guerre et Mort!;;;;;;;;;;;;x
EVTDESCconflict.1;The people of this province flee from the approaching armies of the dark lord!;Les habitants de cette province sont en train de fuir les armées qui approchent!;;;;;;;;;;;;x
EVTOPTAconflict.1;Kill them all!;Tuez les tous!;;;;;;;;;;;;x
EVTOPTBconflict.1;Flee!;Fuyez!;;;;;;;;;;;;x
EVTTITconflict.2;War and Death;Guerre et Mort!;;;;;;;;;;;;x
EVTDESCconflict.2;The people of this province flee from your armies, Great Lord!;Les habitants de cette province sont en train de fuir vos armées, monseigneur!;;;;;;;;;;;;x
EVTOPTAconflict.2;Kill them all!;Tuez les tous!;;;;;;;;;;;;x
EVTTITconflict.3;War and Death;Guerre et Mort!;;;;;;;;;;;;x
EVTDESCconflict.3;The people of this province flee from the approaching orc armies!;Les habitants de cette province fuient les armées orques !;;;;;;;;;;;;x
EVTOPTAconflict.3;Kill them all!;Tuez les tous!;;;;;;;;;;;;x
EVTOPTBconflict.3;Flee!;Fuyez!;;;;;;;;;;;;x
EVTTITconflict.4;War and Death;Guerre et Mort!;;;;;;;;;;;;x
EVTDESCconflict.4;The people of this province flee from your orc armies!;Les habitants cette province fuient vos armées!;;;;;;;;;;;;x
EVTOPTAconflict.4;Fresh lands to plunder!;Des Terres prêtes à piller!;;;;;;;;;;;;x
EVTTITconflict.5;Liberation of a Province;Libération d'une Province;;;;;;;;;;;;x
EVTDESCconflict.5;The orcs of this province flee before your victories armies!;Les orques vivant dans cette province s'enfuient devant vos armées!;;;;;;;;;;;;x
EVTOPTAconflict.5;Pursue and slay!;Poursuivez-les!;;;;;;;;;;;;x
EVTTITconflict.6;Liberation of a Province;Libération d'une Province;;;;;;;;;;;;x
EVTDESCconflict.6;The orcs of this province flee before your victories armies!;Les orques vivant dans cette province s'enfuient devant vos armées!;;;;;;;;;;;;x
EVTOPTAconflict.6;Pursue and slay!;Poursuivez-les!;;;;;;;;;;;;x
EVTTITconflict.7;Hostile Nobles in Your realm;Des Nobles Hostiles dans votre Province;;;;;;;;;;;;x
EVTDESCconflict.7;With new conquests, some hostile nobles remain at-large in your realm. What shall be done with them?;Après vos dernières conquêtes, certains nobles hostiles sont toujours présents dans votre territoire. Que devons-nous faire d'eux?;;;;;;;;;;;;x
EVTOPTAconflict.7;Slay them all.;Tuez les tous.;;;;;;;;;;;;x
EVTTITconflict.8;Terrible Defeat;Défaite terrible;;;;;;;;;;;;x
EVTDESCconflict.8;Orcish armies approach, and your people flee. Sauron has proclaimed a sentence of death to all who fought against him. You are defeated. You must run as well before it is too late!;Les Armées Orques approchent, et le peuple a fui. Sauron a condamné à mort tous ceux qui se sont dressés face à lui. Vous êtes battu. Vous devriez fuir avant qu'il ne soit trop tard…;;;;;;;;;;;;x
EVTOPTAconflict.8;Curses! I must try to escape with the others.;Malédiction! Je vais fuir comme les autres!;;;;;;;;;;;;x
EVTOPTBconflict.8;I will fight to the death for my lands!;Je me battrais jusqu'à la mort pour mes terres!;;;;;;;;;;;;x
EVTOPTCconflict.8;Flee;Fuyons!;;;;;;;;;;;;x
EVTTITconflict.9;Hostile Nobles in Your realm;Des Nobles Hostiles dans votre Province;;;;;;;;;;;;x
EVTDESCconflict.9;With new conquests, some hostile nobles remain at-large in your realm. What shall be done with them?;Après vos dernières conquêtes, certains nobles hostiles sont toujours présents dans votre territoire. Que devons-nous faire d'eux?;;;;;;;;;;;;x
EVTOPTAconflict.9;Slay them all.;Tuez les tous.;;;;;;;;;;;;x
EVTTITconflict.10;Terrible Defeat;Défaite terrible;;;;;;;;;;;;x
EVTDESCconflict.10;Orcish armies approach, and your people flee. Sauron has proclaimed a sentence of death to all who fought against him. You are defeated. You must run as well before it is too late!;Les Armées Orques approchent, et le peuple a fui. Sauron a condamné à mort tous ceux qui se sont dressés face à lui. Vous êtes battu. Vous devriez fuir avant qu'il ne soit trop tard…;;;;;;;;;;;;x
EVTOPTAconflict.10;Curses! I must try to escape with the others.;Malédiction! Je vais fuir comme les autres!;;;;;;;;;;;;x
EVTOPTBconflict.10;I will fight to the death for my lands!;Je me battrais jusqu'à la mort pour mes terres!;;;;;;;;;;;;x
EVTOPTCconflict.10;Flee;Fuyons!;;;;;;;;;;;;x
EVTTITconflict.11;Orcs in Your realm;Des Orques!;;;;;;;;;;;;x
EVTDESCconflict.11;One or more openly hostile rulers are in your lands - you should immediately root them out of their foul lairs before they cause any more trouble!;Des troupes d'orques sont sur vos terres, malgré votre victoire. Vous devriez immédiatement les expulser de votre territoire avant qu'ils ne causent des troubles.;;;;;;;;;;;;x
EVTOPTAconflict.11;Slay them all.;Tuez les tous.;;;;;;;;;;;;x
EVTTITconflict.12;Terrible Defeat;Défaite terrible;;;;;;;;;;;;x
EVTDESCconflict.12;Enemy armies approach, and your people flee. You are defeated. You must run as well before it is too late!;Les Armées ennemies approchent, et votre peuple a fui. Vous êtes battu. Vous devriez fuir avant qu'il ne soit trop tard…;;;;;;;;;;;;x
EVTOPTAconflict.12;Curses! I must try to escape with the others.;Malédiction! Je vais fuir comme les autres!;;;;;;;;;;;;x
EVTOPTBconflict.12;I will fight to the death for my lands!;Je me battrais jusqu'à la mort pour mes terres!;;;;;;;;;;;;x
EVTOPTCconflict.12;Flee;Fuyons!;;;;;;;;;;;;x
