#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;;;;;;;;x
EVTNAMEracetrait.1;Race Trait;;;;;;;;;;;;;x
EVTDESCracetrait.1;Race Trait;;;;;;;;;;;;;x
EVTOPTAracetrait.1;Race Trait;;;;;;;;;;;;;x
EVTDESCracetrait.10;Race Trait;;;;;;;;;;;;;x
EVTNAMEracetrait.10;Race Trait;;;;;;;;;;;;;x
EVTNAMEracetrait.2;Elven or Dwarvish;;;;;;;;;;;;;x
EVTDESCracetrait.2;Which will you choose?;;;;;;;;;;;;;x
EVTOPTAracetrait.2;I am Elven;;;;;;;;;;;;;x
EVTOPTBracetrait.2;I am Dwarvish;;;;;;;;;;;;;x
EVTTITracetrait.20;Unkillable;;;;;;x
EVTDESCracetrait.20;It has come to your attention that [mep_immortal_victim_target.GetTitledName] is not mortal and cannot be slain by normal means. Your plot to kill [mep_immortal_victim_target.GetHerHim] is over.;;;;;;x
EVTOPTAracetrait.20;Now I know;;;;;;x

