#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
#dunedain
EVTTITdunedaincourtier.0;A courtier wins a victory;@FIXME@ A courtier wins a victory;;;;;;;;;;;;;x
EVTDESCdunedaincourtier.0;While on a border patrol, a courtier won a great victory against when cornered by a dozen enemies. He slew half of them, and the rest fled. The court is hailing him as a great warrior!;@FIXME@ While on a border patrol, a courtier won a great victory against when cornered by a dozen enemies. He slew half of them, and the rest fled. The court is hailing him as a great warrior!;;;;;;;;;;;;;x
EVTOPTAdunedaincourtier.0;We shall honor him!;@FIXME@ We shall honor him!;;;;;;;;;;;;;x
EVTOPTBdunedaincourtier.0;I could have done just as well.;@FIXME@ I could have done just as well.;;;;;;;;;;;;;x
EVTTITdunedaincourtier.1;A courtier disgraces himself;@FIXME@ A courtier disgraces himself;;;;;;;;;;;;;x
EVTDESCdunedaincourtier.1;While on a border patrol, a courtier was ambushed, but fled and left his men to die! His name is in disgrace.;@FIXME@ While on a border patrol, a courtier was ambushed, but fled and left his men to die! His name is in disgrace.;;;;;;;;;;;;;x
EVTOPTAdunedaincourtier.1;That was ill-done.;@FIXME@ That was ill-done.;;;;;;;;;;;;;x
EVTOPTBdunedaincourtier.1;Imprison him for cowardice!;@FIXME@ Imprison him for cowardice!;;;;;;;;;;;;;x
EVTOPTCdunedaincourtier.1;Banish him for cowardice!;@FIXME@ Banish him for cowardice!;;;;;;;;;;;;;x
EVTTITdunedaincourtier.3;Wights;@FIXME@ Wights;;;;;;;;;;;;;x
EVTDESCdunedaincourtier.3;Wights have been spotted on some nights at some isolated hills. Your people beg you to drive them out, but what can men do against such dark magic?;@FIXME@ Wights have been spotted on some nights at some isolated hills. Your people beg you to drive them out, but what can men do against such dark magic?;;;;;;;;;;;;;x
EVTOPTAdunedaincourtier.3;Send a small force to end the threat.;@FIXME@ Send a small force to end the threat.;;;;;;;;;;;;;x
EVTOPTBdunedaincourtier.3;I'll handle this myself!;@FIXME@ I'll handle this myself!;;;;;;;;;;;;;x
EVTOPTCdunedaincourtier.3;There's nothing we can do...;@FIXME@ There's nothing we can do...;;;;;;;;;;;;;x
#rohirrimcourtier
EVTTITrohirrimcourtier.0;A courtier wins a victory;@FIXME@ A courtier wins a victory;;;;;;;;;;;;;x
