#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITring.0;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.0;It came to me, and it will stay with me forever. But the others... can't trust them... they want to steal my ring!;@FIXME@ It came to me, and it will stay with me forever. But the others... can't trust them... they want to steal my ring!;;;;;x
EVTOPTAring.0;I must keep a close eye on them...;@FIXME@ I must keep a close eye on them...;;;;;x
EVTOPTBring.0;No, I will not get paranoid!;@FIXME@ No, I will not get paranoid!;;;;;x
EVTTITring.1;An Outrage;@FIXME@ An Outrage;;;;;x
EVTDESCring.1;This person was staring at me, as if trying to catch a glimpse of the ring. I will not tolerate plots to steal what is mine!;@FIXME@ This person was staring at me, as if trying to catch a glimpse of the ring. I will not tolerate plots to steal what is mine!;;;;;x
EVTOPTAring.1;To the dungeon with this cretin!;@FIXME@ To the dungeon with this cretin!;;;;;x
EVTOPTBring.1;Execute them immediately!;@FIXME@ Execute them immediately!;;;;;x
EVTOPTCring.1;Banish them, on pain of death!;@FIXME@ Banish them, on pain of death!;;;;;x
EVTTITring.2;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.2;The ring is so pretty, so powerful. But it makes me so angry that other people may try to take it from me!;@FIXME@ The ring is so pretty, so powerful. But it makes me so angry that other people may try to take it from me!;;;;;x
EVTOPTAring.2;It's mine, mine alone!;@FIXME@ It's mine, mine alone!;;;;;x
EVTOPTBring.2;I won't give in to these thoughts!;@FIXME@ I won't give in to these thoughts!;;;;;x
EVTTITring.3;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.3;Everything I want, I have the power to take. Why should I deny myself anything? I am the Wielder of the Ring!;@FIXME@ Everything I want, I have the power to take. Why should I deny myself anything? I am the Wielder of the Ring!;;;;;x
EVTOPTAring.3;I deserve only the finest things.;@FIXME@ I deserve only the finest things.;;;;;x
EVTTITring.4;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.4;Good me doesn't want to hurt prisoners, but evil me... evil me wants to see them suffer an excruciating death! They want my ring! They'll suffer, they will all suffer...;@FIXME@ Good me doesn't want to hurt prisoners, but evil me... evil me wants to see them suffer an excruciating death! They want my ring! They'll suffer, they will all suffer...;;;;;x
EVTOPTAring.4;It's their own fault for opposing me.;@FIXME@ It's their own fault for opposing me.;;;;;x
EVTTITring.5;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.5;I'm not... strong willed... or wise... enough... to wield this ring! Aggghhh! I can feel my mind cracking! It's cracking open, and the ring is reaching into my skull! It's telling me to ... to...;@FIXME@ I'm not... strong willed... or wise... enough... to wield this ring! Aggghhh! I can feel my mind cracking! It's cracking open, and the ring is reaching into my skull! It's telling me to ... to...;;;;;x
EVTOPTAring.5;Precious wants me to do terrible things!;@FIXME@ Precious wants me to do terrible things!;;;;;x
EVTTITring.6;You must expand;@FIXME@ You must expand;;;;;x
EVTDESCring.6;Your enemies will not stand still and wait. You must expand your borders and grow your armies, and finally one day you will be strong enough to challenge Sauron himself!;@FIXME@ Your enemies will not stand still and wait. You must expand your borders and grow your armies, and finally one day you will be strong enough to challenge Sauron himself!;;;;;x
EVTOPTAring.6;I could take that kingdom...;@FIXME@ I could take that kingdom...;;;;;x
EVTTITring.7;My Precious...;@FIXME@ My Precious...;;;;;x
EVTDESCring.7;The ring and I are becoming attuned. I see clearly now for the first time ever - I must rule this Middle-Earth, and nothing will stand in my way!;@FIXME@ The ring and I are becoming attuned. I see clearly now for the first time ever - I must rule this Middle-Earth, and nothing will stand in my way!;;;;;x
EVTOPTAring.7;I can't deny it any longer!;@FIXME@ I can't deny it any longer!;;;;;x
EVTTITring.8;Corrupted by Darkness;@FIXME@ Corrupted by Darkness;;;;;x
EVTDESCring.8;The ruler who wields the ring has been corrupted by it, as would inevitably happen. The wielder is apparently bare recognizable from his or her true self now...;@FIXME@ The ruler who wields the ring has been corrupted by it, as would inevitably happen. The wielder is apparently bare recognizable from his or her true self now...;;;;;x
EVTOPTAring.8;I'm not surprised.;@FIXME@ I'm not surprised.;;;;;x
