#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
EVTTITrings.0;Holders of the Rings;Gardiens des Anneaux;;;;;x
EVTDESCrings.0;You can see the holders of all Rings of Power currently in Middle-earth.;Vous pouvez chercher après les différents gardiens des Anneaux présents en Terre du Milieu.;;;;;x
EVTOPTArings.0;Holders of the Elven Rings;Montrez moi les Gardiens des Anneaux Elfiques;;;;;x
EVTOPTBrings.0;Holders of the Dwarven Rings;Montrez moi les Gardiens des Anneaux des Nains;;;;;x
EVTOPTCrings.0;Holders of the Lesser Rings;Montrez moi les Gardiens des Anneaux Mineurs;;;;;x
EVTDESCrings.1;The Holders of the Elven Rings are...;Les Gardiens des Anneaux Elfiques sont :;;;;;x
EVTOPTArings.1;Ok.;Ok.;;;;;x
CURRENTNARYA;Guardian of Narya;Gardien de Narya;;;;;x
CURRENTNENYA;Guardian of Nenya;Gardien de Nenya;;;;;x
CURRENTVILYA;Guardian of Vilya;Gardien de Vilya;;;;;x
EVTTITrings.2;Guardians of Artefacts;Gardiens des Artefacts;;;;;x
EVTDESCrings.2;You can see the holders of all major Artefacts currently in Middle-earth.;Vous pouvez chercher après différents gardiens d'Artefacts présents en Terre du Milieu.;;;;;x
EVTOPTArings.2;Show the holders of the Rings of Power;Montrez-moi les Porteurs d'Anneaux.;;;;;x
EVTOPTBrings.2;Show the Guardians of the Palantíri;Montrez moi les Gardiens des Palantiri.;;;;;x
EVTOPTCrings.2;Show the wielders of Great Blades;Montrez-moi les Propriétaires des Armes Célèbres.;;;;;x
EVTOPTDrings.2;Nevermind...;Montrez-moi les Propriétaires d'Artefacts divers.;;;;;x
EVTTITrings.3;Wielders of Legendary Weapons;Propriétaires des Armes Légendaires;;;;;x
EVTDESCrings.3;Here is a list of the wielders of the most famous weapons in Middle-Earth.;Voici une liste des plus célèbres armes de la Terre du Milieu, à cet instant.;;;;;x
EVTOPTArings.3;Legendary Swords;Propriétaires des Epées Légendaires;;;;;x
EVTOPTBrings.3;Famous Swords;Propriétaires des Epées Célèbres;;;;;x
EVTOPTCrings.3;Other Legendary Weapons;Propriétaires d'autres Armes Légendaires;;;;;x
EVTOPTDrings.3;Broken and Craftable Weapons;Propriétaires d'Armes Fabriquées et Brisées;;;;;x
CURRENTNARSIL;Narsil;Narsil;;;;;x
CURRENTANDURIL;Anduril;Anduril;;;;;x
CURRENTGLAMDRING;Glamdring;Glamdring;;;;;x
CURRENTORCRIST;Orcrist;Orcrist;;;;;x
CURRENTDAGMOR;Dagmor;Dagmor;;;;;x
CURRENTANGRIST;Angrist;Angrist;;;;;x
CURRENTARANRUTH;Aranruth;Aranruth;;;;;x
CURRENTRINGIL;Ringil;Ringil;;;;;x
CURRENTGURTHANG;Gurthang;Gurthang;;;;;x
CURRENTANGUIREL;Anguirel;Anguirel;;;;;x
CURRENTANGLACHEL;Anglachel;Anglachel;;;;;x
CURRENTSTING;Sting;Dard;;;;;x
CURRENTHERUGRIM;Herugrim;Herugrim;;;;;x
CURRENTGUTWHINE;Gutwhine;Gutwhine;;;;;x
CURRENTSWORDMAEDHROS;Sword of Maedhros;Epée de Maedhros;;;;;x
CURRENTSWORDAMROTH;Sword of Amroth;Epée d'Amroth;;;;;x
CURRENTMORGULBLADE;Morgul's Blade;Lame de Morgul;;;;;x
CURRENTDAGGERWESTERNESSE;Dagger of Westernesse;Dague de l'Ouest;;;;;x
CURRENTSTAFFGANDALF;Staff of Gandalf;Bâton de Gandalf;;;;;x
CURRENTSTAFFSARUMAN;Staff of Saruman;Bâton de Saruman;;;;;x
CURRENTSTAFFRADAGAST;Staff of Radagast;Bâton de Radagast;;;;;x
CURRENTDURINAXE;Durin's Axe;Hache de Durin;;;;;x
CURRENTDRAMBORLEG;Dramborleg;Dramborleg;;;;;x
CURRENTAEGLOS;Aeglos;Aeglos;;;;;x
CURRENTBELTHRONDING;Belthronding;Belthronding;;;;;x
CURRENTNARSILS;Shards of Narsil;Fragments de Narsil;;;;;x
CURRENTGURTHANGS;Shards of Gurthang;Fragments de Gurthang;;;;;x
CURRENTDWARVISHSWORD;Dwarvish Sword;Epée Naine;;;;;x
CURRENTELVISHSWORD;Elvish Sword;Epée Elfique;;;;;x
CURRENTANCELVISHSWORD;Ancient Elvish Sword;Ancienne Epée Elfique;;;;;x

