#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITrohanisengard.0;Time for the Betrayal;Le Temps de la Trahison;;;;;;;;;;;;x
EVTDESCrohanisengard.0;You're Saruman, the first of the Istari and the leader of the White Council. Since you settled in Isengard, in the mighty Tower of Orthanc, your eyes haven't stopped trying to unlock the secrets of the Rings of Power, to take control of them. You tried to build one yourself, but it seems to lack power. You're one of the most powerful of Middle-earth characters, and it may be time for you to take the place that belongs to you, and to control the destiny of these lands forgotten by the Valar. Will you continue the mission that is yours, or will you attempt to dominate the world, at Sauron's side?;Vous êtes Saruman, le chef des Istari, et le leader du Conseil Blanc. Depuis que vous vous êtes installé en Isengard, dans la puissante Tour d'Orthanc, votre regard n'a cessé de tenter de percer les secrets des Anneaux de Pouvoir, afin d'en prendre le contrôle. Vous avez tenté d'en forger un vous-même, mais celui-ci semble manquer de pouvoir. Vous êtes l'un des personnages les plus puissants de la Terre du Milieu, et il est peut-être temps pour vous de prendre la place qui vous revient, et de contrôler la destinée de ces terres oubliées par les Valar. Allez-vous continuer la mission qui est la votre, ou tenter de dominer ce monde?;;;;;;;;;;;;x
EVTOPTArohanisengard.0;I should be the Lord of Middle-Earth.;Je devrais être le Seigneur de la Terre du Milieu.;;;;;;;;;;;;x
EVTOPTBrohanisengard.0;"I""m a servant of the Valar.";Je suis un Serviteur des Valar.;;;;;;;;;;;;x
EVTTITrohanisengard.1;Gandalf the Grey;Gandalf le Gris;;;;;;;;;;;;x
EVTDESCrohanisengard.1;Gandalf the Grey, a member of the Istari, comes to the Tower of Orthanc to ask your advice in these troubled times. It tells you that the One Ring, the symbol of the power of Sauron the Great, has been found and is in the hands of an insignificant hobbit! It's now time to reveal your choice: Will you help the Hobbits in their quest, at the Free Peoples side? Or will you ask Gandalf the Grey to join you, and lead this world with Sauron the Great?;;;;;;;;;;;;;x
EVTOPTArohanisengard.1;Gandalf, you shall join me!;Gandalf, vous devez me rejoindre!;;;;;;;;;;;;x
EVTOPTBrohanisengard.1;We should helps the Ringbearer !;Nous devons aider le Porteur de l'Anneau.;;;;;;;;;;;;x
EVTTITrohanisengard.2;The Choice of Gandalf;Le Choix de Gandalf;;;;;;;;;;;;x
EVTDESCrohanisengard.2;@FIXME@ Gandalf will choose to follow Saruman, or not;@FIXME@ Gandalf will choose to follow Saruman, or not;;;;;;;;;;;;x
EVTOPTArohanisengard.2;You're an idiot, Saruman!;@FIXME@ You're an idiot, Saruman !;;;;;;;;;;;;x
EVTTITrohanisengard.3;The Choice of Gandalf;Le Choix de Gandalf;;;;;;;;;;;;x
EVTDESCrohanisengard.3;Gandalf the Grey looks at you with awe and amazement, when you make your proposal. He refuses to join the forces of Sauron, and judge you harshly. You will never make him an ally, as he prefers to remain faithful to the Valar.;Gandalf le Gris vous regarde avec effroi et stupéfaction, alors que vous lui faites votre proposition. Il refuse de joindre les forces de Sauron, et vous juge avec sévérité. Vous ne ferez jamais de lui un allié, lui qui préfère rester fidèle aux Valar.;;;;;;;;;;;;x
EVTOPTArohanisengard.3;So, you choose to suffer…;Alors, vous avez choisi la souffrance…;;;;;;;;;;;;x
EVTTITrohanisengard.4;The Choice of Gandalf;Le Choix de Gandalf;;;;;;;;;;;;x
EVTDESCrohanisengard.4;Your words have had an effect on Gandalf the Grey, who seems to hesitate a moment. You take advantage of this reluctance to make him a speech on the future of the world, and what you can do to preserve it, allying today. It seems to waver, then, in a flat voice, accept your proposal. He joined your camp.;Vos paroles ont eu de l'effet sur Gandalf le Gris, qui semble hésiter un instant. Vous en profitez de cette hésitation pour lui faire un discours sur l'avenir du monde, et sur ce que vous pourriez faire pour le préserver en vous alliant dès aujourd'hui. Il semble vaciller, puis, d'une voix blanche, accepte votre proposition. Il rejoint votre camp.;;;;;;;;;;;;x
EVTOPTArohanisengard.4;So… Where's the Ringbearer?;Alors, où est le Porteur de l'Anneau?;;;;;;;;;;;;x
EVTTITrohanisengard.5;Gandalf the Grey;Gandalf le Gris;;;;;;;;;;;;x
