#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sauron_call_allies;@FIXME@ Command Your Allies;@FIXME@ Command Your Allies;;;;;;;;;;;;x
sauron_call_allies_desc;@FIXME@ Command Your Allies;@FIXME@ Command Your Allies;;;;;;;;;;;;x
EVTTITsauron.1;Command Your Allies;@FIXME@ Command Your Allies;;;;;;;;;;;;x
EVTDESCsauron.1;You can send your agents to instruct your allies to attack certain targets. They may refuse if the targets are too strong, however.;@FIXME@ You can send your agents to instruct your allies to attack certain targets. They may refuse if the targets are too strong, however.;;;;;;;;;;;;x
EVTOPTAsauron.1;Command the Orcs of Gundabad;@FIXME@ Command the Orcs of Gundabad;;;;;;;;;;;;x
EVTOPTBsauron.1;Command the men of the East;@FIXME@ Command the men of the East;;;;;;;;;;;;x
EVTOPTCsauron.1;Command the men of the South;@FIXME@ Command the men of the South;;;;;;;;;;;;x
EVTOPTDsauron.1;No, now is not the time.;@FIXME@ No, now is not the time.;;;;;;;;;;;;x
EVTTITsauron.2;Command the Orcs of Gundabad;@FIXME@ Command the Orcs of Gundabad;;;;;;;;;;;;x
EVTDESCsauron.2;Who shall the Orcs of Gundabad attack?;@FIXME@ Who shall the Orcs of Gundabad attack?;;;;;;;;;;;;x
EVTOPTAsauron.2;Destroy Imladris!;@FIXME@ Destroy Imladris!;;;;;;;;;;;;x
EVTOPTBsauron.2;Conquer Rhudaur!;@FIXME@ Conquer Rhudaur!;;;;;;;;;;;;x
EVTOPTCsauron.2;Destroy the men of Anduin Vale!;@FIXME@ Destroy the men of Anduin Vale!;;;;;;;;;;;;x
EVTOPTDsauron.2;No, now is not the time.;@FIXME@ No, now is not the time.;;;;;;;;;;;;x
EVTTITsauron.3;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.3;Too long has little Rivendell stood against us. Now they are few, and weak - gather your forces and leave none alive!;@FIXME@ Too long has little Rivendell stood against us. Now they are few, and weak - gather your forces and leave none alive!;;;;;;;;;;;;x
EVTOPTAsauron.3;Death to all elves!;@FIXME@ Death to all elves!;;;;;;;;;;;;x
EVTTITsauron.4;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.4;Expand into Rhudaur, and build up this region as a base for further attacks into Eriador. Failure will not be tolerated. The Eye is on you!;@FIXME@ Expand into Rhudaur, and build up this region as a base for further attacks into Eriador. Failure will not be tolerated. The Eye is on you!;;;;;;;;;;;;x
EVTOPTAsauron.4;As you command, Lord!;@FIXME@ As you command, Lord!;;;;;;;;;;;;x
EVTTITsauron.5;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.5;Go East across the mountains, and destroy the new realm that has arisen there!;@FIXME@ Go East across the mountains, and destroy the new realm that has arisen there!;;;;;;;;;;;;x
EVTOPTAsauron.5;As you command, Lord!;@FIXME@ As you command, Lord!;;;;;;;;;;;;x
EVTTITsauron.6;Command the men of the East;@FIXME@ Command the men of the East;;;;;;;;;;;;x
EVTDESCsauron.6;Who shall the Easterlings be commanded to attack?;@FIXME@ Who shall the Easterlings be commanded to attack?;;;;;;;;;;;;x
EVTOPTAsauron.6;Destroy Rhovanion!;@FIXME@ Destroy Rhovanion!;;;;;;;;;;;;x
EVTOPTBsauron.6;Conquer Dale!;@FIXME@ Conquer Dale!;;;;;;;;;;;;x
EVTOPTCsauron.6;Attack the Dwarves of the North!;@FIXME@ Attack the Dwarves of the North!;;;;;;;;;;;;x
EVTOPTDsauron.6;No, now is not the time.;@FIXME@ No, now is not the time.;;;;;;;;;;;;x
EVTTITsauron.7;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.7;Assemble the tribes, and attack Dorwinion. Enslave these fools, and destroy all who oppose you!;@FIXME@ Assemble the tribes, and attack Dorwinion. Enslave these fools, and destroy all who oppose you!;;;;;;;;;;;;x
EVTOPTAsauron.7;As you command, Lord!;@FIXME@ As you command, Lord!;;;;;;;;;;;;x
EVTTITsauron.8;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.8;Assemble the tribes, and attack Dale. Enslave these fools, and keep those dwarves under siege in their mountain stronghold!;@FIXME@ Assemble the tribes, and attack Dale. Enslave these fools, and keep those dwarves under siege in their mountain stronghold!;;;;;;;;;;;;x
EVTOPTAsauron.8;As you command, Lord!;@FIXME@ As you command, Lord!;;;;;;;;;;;;x
EVTTITsauron.9;Sauron commands you;@FIXME@ Sauron commands you;;;;;;;;;;;;x
EVTDESCsauron.9;Assemble the tribes, and attack the Dwarves of the North.;@FIXME@ Assemble the tribes, and attack the Dwarves of the North.;;;;;;;;;;;;x
EVTOPTAsauron.9;As you command, Lord!;@FIXME@ As you command, Lord!;;;;;;;;;;;;x
EVTTITsauron.10;Command the men of the South;@FIXME@ Command the men of the South;;;;;;;;;;;;x
EVTDESCsauron.10;Who shall your southern servants be commanded to attack?;@FIXME@ Who shall your southern servants be commanded to attack?;;;;;;;;;;;;x
EVTOPTAsauron.10;I grant them Belfalas if they can take it.;@FIXME@ I grant them Belfalas if they can take it.;;;;;;;;;;;;x
EVTOPTBsauron.10;I grant them Anfalas if they can take it.;@FIXME@ I grant them Anfalas if they can take it.;;;;;;;;;;;;x
EVTOPTCsauron.10;I grant them Andrast if they can take it.;@FIXME@ I grant them Andrast if they can take it.;;;;;;;;;;;;x
EVTOPTDsauron.10;No, now is not the time.;@FIXME@ No, now is not the time.;;;;;;;;;;;;x
