#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###SHIRE TO RIVENDELL
##Frodo decides to stay or leave
EVTNAMEshiretorivendell.0;The Shadow of the Past;;;;;;;;;;;;;x
EVTDESCshiretorivendell.0;After being left the One Ring by Bilbo, Gandalf told me that I must leave on a quest to take it to Rivendell with all haste, but I have been putting it off. I am to move discreetly, firstly to Buckland, under the pretence of having sold Bag End and bought a new house at Crickhollow across the Brandywine. \n\nSam has agreed to accompany me and knows about the quest, but still, I am not sure I am ready to go just yet...;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.0;We must go to Buckland!;;;;;;;;;;;;;x
EVTOPTBshiretorivendell.0;I'm not ready for an adventure...;;;;;;;;;;;;;x
#Frodo stays and is caught
EVTNAMEshiretorivendell.01;A Black Rider;;;;;;;;;;;;;x
EVTDESCshiretorivendell.01;One night after returning from the Green Dragon, you sit dozing by your fireplace. A violent knock at the door stirs you. "Just a moment." Before you know it, the door is blasted aside and a great coldness enters the room. The candles and lanterns fall dark. The fire dies. A great skeletal hand leads the black form towards you... "Baggins...!";;;;;;;;;;;;;x
EVTOPTAshiretorivendell.01;Noooo!;;;;;;;;;;;;;x	
#Remove d_ringbearer from non-ringbearer
EVTNAMEshiretorivendell.03;No Longer Ringbearer;;;;;;;;;;;;;x
EVTDESCshiretorivendell.03;Only the holder of the One Ring may keep the Ringbearer title.;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.03;Okay.;;;;;;;;;;;;;x
#give ring to sauron if nazgul successful
EVTNAMEshiretorivendell.04;The Ring is Found;;;;;;;;;;;;;x
EVTDESCshiretorivendell.04;Your Nazgûl have finally found the ring, and have killed it's previous bearer. They ceremoniously return it to your grasp.;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.04;At long last!;;;;;;;;;;;;;x
#give ring to sauron if nazgul successful
EVTNAMEshiretorivendell.05;The Ring of Power;;;;;;;;;;;;;x
EVTDESCshiretorivendell.05;Your Lord has sent you to search for the One Ring. The creature Gollum has given you the name: Baggins of the Shire.;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.05;I will find it.;;;;;;;;;;;;;x
#Aragorn leaves for Bree
EVTNAMEshiretorivendell.06;The Ring of Power;;;;;;;;;;;;;x
EVTDESCshiretorivendell.06;Your trusted friend Gandalf the Grey has asked you travel to Bree and watch for the arrival of a hobbit, Mr. Baggins, who carries the One Ring and is headed for Rivendell. You had pressing business in the north and were unable to leave sooner, and Gandalf has gone on in his own errand. Once there you will watch the roads for signs of the enemy, keep the hobbits safe, and wait for Gandalf to return.;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.06;I will leave immediately.;;;;;;;;;;;;;x
EVTOPTBshiretorivendell.06;I don't have time for this.;;;;;;;;;;;;;x
#Frodo, Sam and Pippin leave Bag End and have a chance to be caught by a Black Rider
EVTNAMEshiretorivendell.1;Three is Company;;;;;;;;;;;;;x
EVTDESCshiretorivendell.1;You are ready to leave. Pippin and Sam have helped pack all your things and will accompany you to Crickhollow. You plan to meet Merry and Fatty Bolger in Buckland after walking cross country. Only Sam knows about the quest, and you hope Pippin does not find out, although he seems quietly suspicious. \n\nAs you look on Bag End one last time, you overhear a stranger talking to your neighbour the Old Gaffer in harsh tones. Sam's father sounds quite frightened but gives no details of your location away, you can only hope the stranger will not come in your direction...;;;;;;;;;;;;;x
EVTOPTAshiretorivendell.1;I hope we were quick enough.;;;;;;;;;;;;;x
#Frodo, Sam and Pippin leave Hobbiton
EVTNAMEshiretorivendell.11;On the Road;;;;;;;;;;;;;x
EVTDESCshiretorivendell.11;The rider moves off, the slow clopping of hooves moving further and further away. With some relief you get Sam and Pippin ready and set off to leave Bag End and Hobbiton, perhaps forever. You remember your Uncle Bilbo's walking song... 'The road goes ever on and on, down to the door where it began...';;;;;;;;;;;;;x
EVTOPTAshiretorivendell.11;Hum hum!;;;;;;;;;;;;;x
#Frodo, Sam and Pippin are killed leaving Hobbiton
EVTNAMEshiretorivendell.12;A Black Rider;;;;;;;;;;;;;x
EVTDESCshiretorivendell.12;To your horror, the black rider approaches. You stand petrified in the middle of the road. The rider towers over you, "Baggins!". Your lips tremble and no words come to you. Suddenly, Pippin comes bounding down from the house, claps you on the back and says, "Baggins? Why here's Mr. Baggins! What's wrong, Frodo?";;;;;;;;;;;;;x
EVTOPTAshiretorivendell.12;...!;;;;;;;;;;;;;x
#On the way to Buckland
EVTNAMEshiretorivendell.2;On the way to Buckland;;;;;;;;;;;;;x
EVTDESCshiretorivendell.2;Hobbiton > Tookland > Greenhill Country > Woody End;;;;;;;;;;;;x
EVTOPTAshiretorivendell.2;I hope those riders don't find us...;;;;;;;;;;;;;x
#Frodo, Sam and Pippin meet Gildor and are safe
EVTNAMEshiretorivendell.21;Gildor;;;;;;;;;;;;;x
EVTDESCshiretorivendell.21;Elves!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.21;Yummy...;;;;;;;;;;;;;x
#Frodo, Sam and Pippin are caught on the road
EVTNAMEshiretorivendell.22;Caught;;;;;;;;;;;;;x
EVTDESCshiretorivendell.22;Darn;;;;;;;;;;;;x
EVTOPTAshiretorivendell.22;Damn...;;;;;;;;;;;;;x
#Frodo, Sam and Pippin travel to the Marish
EVTNAMEshiretorivendell.3;Travel to the Marish;;;;;;;;;;;;;x
EVTDESCshiretorivendell.3;Woody End > Marish;;;;;;;;;;;;x
EVTOPTAshiretorivendell.3;We are so close...;;;;;;;;;;;;;x
#Frodo, Sam and Pippin make it to Maggot's Farm
EVTNAMEshiretorivendell.31;A Short Cut to Mushrooms;;;;;;;;;;;;;x
EVTDESCshiretorivendell.31;Mushroom party!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.31;Yes;;;;;;;;;;;;;x
#Frodo, Sam and Pippin are caught in the wilderness
EVTNAMEshiretorivendell.32;Caught;;;;;;;;;;;;;x
EVTDESCshiretorivendell.32;Nooo;;;;;;;;;;;;x
EVTOPTAshiretorivendell.32;Ouch;;;;;;;;;;;;;x
#Frodo, Sam and Pippin travel to the Ferry and meet Merry
EVTNAMEshiretorivendell.4;The Ferry;;;;;;;;;;;;;x
EVTDESCshiretorivendell.4;Merry!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.4;Woop;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin make it to the ferry and cross
EVTNAMEshiretorivendell.41;We Made It;;;;;;;;;;;;;x
EVTDESCshiretorivendell.41;YESS!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.41;Woop;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin are caught catching the ferry
EVTNAMEshiretorivendell.42;NOOOO;;;;;;;;;;;;;x
EVTDESCshiretorivendell.42;NOOOO!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.42;NOOOO;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin reach Crickhollow
EVTNAMEshiretorivendell.5;A Conspiracy Unmasked;;;;;;;;;;;;;x
EVTDESCshiretorivendell.5;You have finally reached Crickhollow, your new home in Buckland. Fatty Bolger and Merry have prepared it for your arrival and tried to make it as homely as possible. After hot baths and a meal you sit down around the fire. Merry and Pippin are understandably suspicious of your moving, and of the Black Riders who have clearly been tracking you. After some prying, you reluctantly admit that you are on a quest to take the One Ring to Rivendell, and not just moving home. You tell you them are sorry for putting them in harms way and you will go on alone, but to your surprise they vow they will come with you! You will all leave tomorrow for Rivendell, but there is debate over which route to take... The Forest is dangerous in and of itself, but the Black Riders may be watching the Road...;;;;;;;;;;;;x
EVTOPTAshiretorivendell.5;The Old Forest will be safer.;;;;;;;;;;;;;x
EVTOPTBshiretorivendell.5;The Road is the quickest way!;;;;;;;;;;;;;x
#Frodo takes road and is caught...
EVTNAMEshiretorivendell.51;The East Road;;;;;;;;;;;;;x
EVTDESCshiretorivendell.51;You set off from Crickhollow at dawn and make your way as discreetly as possible through Buckland to the borders on the East Road. After a few close shaves avoiding Merry's neighbours and kinsmen. You take the road East, and walk for a few miles. In the distance you hear a great pounding of horses of hooves. Startled, you look for somewhere to hide, but the road at this point is surrounded by open meadow on both sides. Terrified, you can only watch as the rider approaches ahead of you, and another from behind...;;;;;;;;;;;;x
EVTOPTAshiretorivendell.51;No!;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin travel through the Old Forest
EVTNAMEshiretorivendell.6;The Old Forest;;;;;;;;;;;;;x
EVTDESCshiretorivendell.6;Such a dark place, constantly shifting and changing... it is playing with us!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.6;We must keep going!;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin make it to the Withywindle
EVTNAMEshiretorivendell.61;The Withywindle River;;;;;;;;;;;;;x
EVTDESCshiretorivendell.61;Out of the forest at last, a clearing on the bank of the River Withywindle!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.61;We are saved!;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin are lost to the forest
EVTNAMEshiretorivendell.62;Lost in the Forest;;;;;;;;;;;;;x
EVTDESCshiretorivendell.62;We cannot get out...;;;;;;;;;;;;x
EVTOPTAshiretorivendell.62;So hungry...;;;;;;;;;;;;;x
#Frodo, Sam, Merry and Pippin fall asleep by the willow
EVTNAMEshiretorivendell.7;Old Man Willow;;;;;;;;;;;;;x
EVTDESCshiretorivendell.7;Such a peaceful clearing, the river bubbles and sings peacefully, and the willows lining it stir and whisper in the breeze... you sit on the bank leaning against a willow and fall asleep. Before you know it, Sam is pulling you out of the river, you surely would have drowned without him! You look for Merry and Pippin, but they have been ensnared by the roots of the tree, which they slept upon!;;;;;;;;;;;;x
EVTOPTAshiretorivendell.7;Help! Help!;;;;;;;;;;;;;x
#Tom saves the day - Frodo
EVTNAMEshiretorivendell.71;Tom Bombadil;;;;;;;;;;;;;x
EVTDESCshiretorivendell.71;As you cry for help and almost come to tears over the fate of Merry and Pippin, a jolly man with bright red cheeks, a blue hat and yellow boots skips into the clearing. "I am Tom Bombadil.", he says with a friendly grin. He sings to the tree and it gradually releases its hold on the hobbits.;;;;;;;;;;;;x
EVTOPTAshiretorivendell.71;Thank you! Thank you!;;;;;;;;;;;;;x
#Tom saves the day - Tom
EVTNAMEshiretorivendell.72;Goldberry's Lillies;;;;;;;;;;;;;x
