#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITsubjugate.0;A Dark Threat;Une Terrible Menace;;;;;;;;;;;;x
EVTDESCsubjugate.0;You sent your emissary in a weakier kingdom than yours, to impose on him a terrible threat. He will accept your asking, or you'll kill every member of his family, destroy his kingdom, and erase of the history of Middle Earth his name. Several options are available to you though. Will you ask him to send you slaves and wealth? Or, if you are powerful enough for that, will you ask him to recognize you as his lord and master?;Vous avez envoyé votre émissaire au sein d'un royaume plus faible que le vôtre, afin de faire peser sur lui une terrible menace. Il lui faudra accepter votre demande, ou vous tuerez chacun des membres de sa famille, détruirez son royaume, et effacerez de l'histoire de la Terre du Milieu son nom. Plusieurs possibilités s'offrent à vous cependant. Allez-vous réclamer des esclaves et des richesses? Ou, si vous êtes assez puissant pour cela, allez-vous réclamer qu'il vous reconnaisse comme son seigneur et maître?;;;;;;;;;;;;x
EVTOPTAsubjugate.0;He'll give me slaves and wealth.;Il m'enverra des esclaves et de la richesse.;;;;;;;;;;;;x
EVTOPTBsubjugate.0;He'll become my vassal.;Il deviendra mon vassal.;;;;;;;;;;;;x
EVTOPTCsubjugate.0;He's too weak… I don't mind.;Il est trop faible… Je ne m'en occupe pas.;;;;;;;;;;;;x
EVTTITsubjugate.1;A Dark Threat;Une Terrible Menace;;;;;;;;;;;;x
EVTDESCsubjugate.1;"An emissary arrives at the door of your palace. Without addressing protocols, he advanced straight at you and looking at you, straight in the eyes, proclaims: ""My Lord and Master [From.GetFirstName], Lord of [From.GetHighestTitles], demands that you recognize his great power among these lands. As a proof of your faith, you'll send him some of your men and your women as slaves, and you will pay him a share of your income. If you access this askings, you'll be protected, and Darkness will now be your Master. If you refuse, you'll be exterminated to the last.""  The threat is serious, and you should accept it ... What will you do?";"Un émissaire se présente à la porte de votre palais. Sans s'occuper des protocoles, il s'avance droit vers vous, et vous regardant droit dans les yeux, proclame: ""Mon Seigneur et Maître [From.GetFirstName], Seigneur de [From.GetHighestTitles], réclame que vous reconnaissiez son grand pouvoir. En gage de bonne foi, vous lui enverrez une partie de vos hommes et de vos femmes en tant qu'esclaves, et vous lui verserez une part de vos revenus. Si vous accédez à cette demande, vous serez épargnés, et les Ténèbres seront désormais vos Maîtres. Si vous refusez, vous serez exterminés, jusqu'au dernier."" La menace semble sérieuse, et vous devriez accepter... Que ferez-vous?";;;;;;;;;;;;x
EVTOPTAsubjugate.1;I need to accept…;Je dois accepter…;;;;;;;;;;;;x
EVTOPTBsubjugate.1;I'll resist !;Je résiterais !;;;;;;;;;;;;x
EVTDESCsubjugate.2;Your emissary returns with a long caravan, filled with slaves and wealth. Others will follow, for a while. This freak has accepted your offer, as a craven lord he is. During this time, your power is increasing.;Votre émissaire revient avec une longue caravane, remplie d'esclaves et de richesses. D'autres suivront, pendant un certain temps. Cet avorton a accepté votre offre, lâche qu'il est. Votre puissance ne cesse d'augmenter.;;;;;;;;;;;;x
EVTOPTAsubjugate.2;Great.;Parfait.;;;;;;;;;;;;x
EVTDESCsubjugate.3;Your emissary returns with nothing more than this empty hands. This lord was more brave that what you were thinking, and he refused your offers. You should make an exemple with him.;Votre émissaire revient, avec rien de plus que ses mains vides. Ce seigneur a refusé votre offre généreuse, et s'est montré plus brave que ce que vous ne pensiez. Vous devriez en faire un exemple.;;;;;;;;;;;;x
EVTOPTAsubjugate.3;I'll slain him !;Je vais détruire son Royaume !;;;;;;;;;;;;x
EVTTITsubjugate.4;A Dark Threat;Une Terrible Menace;;;;;;;;;;;;x
EVTDESCsubjugate.4;"An emissary arrives at the door of your palace. Without addressing protocols, he advanced straight at you and looking at you, straight in the eye, proclaims: ""My Lord and Master [From.GetFirstName], Lord of [From.GetHighestTitles], requires that you recognize his great power. As a token of good faith, you will kneel before him and recognize him as the Master of your miserable land. If you refuse, you will be exterminated to the last."" The threat is serious, and you should accept it ... What will you do?";"Un émissaire se présente à la porte de votre palais. Sans s'occuper des protocoles, il s'avance droit vers vous, et vous regardant droit dans les yeux, proclame: ""Mon Seigneur et Maître [From.GetFirstName], Seigneur de [From.GetHighestTitles], réclame que vous reconnaissiez son grand pouvoir. En gage de bonne foi, vous devrez vous agenouiller devant lui, et le reconnaître comme le Maître de vos misérables terres. Si vous refusez, vous serez exterminés, jusqu'au dernier."" La menace semble sérieuse, et vous devriez accepter... Que ferez-vous?";;;;;;;;;;;;x
EVTOPTAsubjugate.4;I need to accept…;Je dois accepter…;;;;;;;;;;;;x
EVTOPTBsubjugate.4;I'll resist !;Je résiterais !;;;;;;;;;;;;x
EVTDESCsubjugate.5;Your emissary returns with few slaves, but especially with a good new. This lord, this craventhing, has agreed to bend the knee in front of your power, and recognizes you as his suzerain. Your territory expands, just like your power ...;Votre émissaire revient avec quelques esclaves, mais surtout une excellente nouvelle. Ce seigneur, lâche comme il est, a accepté de plier le genou devant votre pouvoir, et vous reconnait comme son suzerain. Votre territoire s'agrandit, tout comme votre puissance...;;;;;;;;;;;;x
EVTOPTAsubjugate.5;Great.;Parfait.;;;;;;;;;;;;x
EVTDESCsubjugate.6;Your emissary returns with nothing more than this empty hands. This lord was more brave that what you were thinking, and he refused your offers. You should make an exemple with him.;Votre émissaire revient, avec rien de plus que ses mains vides. Ce seigneur a refusé votre offre généreuse, et s'est montré plus brave que ce que vous ne pensiez. Vous devriez en faire un exemple.;;;;;;;;;;;;x
EVTOPTAsubjugate.6;I'll slain him !;Je vais détruire son Royaume !;;;;;;;;;;;;x
