#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITvariags.1;The Variags of Khand;Les Variags de Khand;;;;;;;;;;;;x
EVTDESCvariags.1;You are at war, and one of your allies, the tribes of Variags of Khand, can send you more resources, as well as many horses for your troops. This will definitely help you, and you won't have to use your own men for raising horses and growing fields while they should fight !;Vous êtes en guerre, et l'un de vos alliés, le peuple des Variags de Khand, peut vous envoyer plus de ressources, ainsi que de nombreuses montures pour vos troupes. Cela vous sera certainement utile, et vous évitera d'utiliser vos propres hommes pour élever des chevaux et cultiver des champs... ;;;;;;;;;;;;x
EVTOPTAvariags.1;I command them to give more supplies and horses !;Je leur ordonne de me fournir tout cela !;;;;;;;;;;;;x
EVTOPTBvariags.1;I don't need them.;Je n'ai guère besoin d'eux.;;;;;;;;;;;;x
EVTTITvariags.2;A command from Mordor;Une commande du Mordor;;;;;;;;;;;;x
EVTDESCvariags.2;A messenger of Mordor comes to the door of your palace. His master, Sauron the Great, bids you to provide supplies and horses to his troops. If you refuse, The Dark Lord will not forgive you.;Un messager du Mordor se présente à la porte de votre palais. Son maître, Sauron le Grand, vous ordonne de fournir à ses troupes ravitaillements et chevaux. Si vous refusez, Le Seigneur Noir ne vous le pardonnera pas.;;;;;;;;;;;;x
EVTOPTAvariags.2;Yes, my Lord, my supplies are yours.;Bien, Seigneur, mes ressources sont votres.;;;;;;;;;;;;x
EVTOPTBvariags.2;I serve only my own strength !;Je ne sers que ma seule force !;;;;;;;;;;;;x
EVTTITvariags.3;Supplies from Khand;Des Ressources de Khand;;;;;;;;;;;;x
EVTDESCvariags.3;The Lord of the Variags responded to your call, and sent you horses and supplies. He will never dare to challenge you, and you've got with him a faithful ally, even if he's craven.;Le Seigneur des Variags a répondu à votre appel, et vous a envoyé chevaux et ravitaillement. Il n'osera jamais vous défier, et vous avez avec lui un allié fidèle, bien que lâche. ;;;;;;;;;;;;x
EVTOPTAvariags.3;These supplies will be helpfull.;Ces ressources nous seront utiles.;;;;;;;;;;;;x
EVTTITvariags.4;Supplies of Khand;Les Ressources de Khand;;;;;;;;;;;;x
EVTDESCvariags.4;The Dark Lord Sauron took most of your resources and horses, and your people find themselves lacking. It'll take some time before you can rebuild all of that...;Le Seigneur Noir Sauron a pris la plupart de vos ressources, et de vos chevaux, et vos habitants se retrouvent dépourvus. Il faudra du temps avant que vous ne puissiez retrouver votre niveau de vie...;;;;;;;;;;;;x
EVTOPTAvariags.4;At least we're alive…;Au moins nous sommes vivants…;;;;;;;;;;;;x
EVTTITvariags.5;@FIXME@ Sauron can ask a new time;@FIXME@ Des Variags rebelles;;;;;;;;;;;;x
EVTDESCvariags.5;@FIXME@ Sauron can ask a new time;@FIXME@ Des Variags rebelles;;;;;;;;;;;;x
EVTOPTAvariags.5;Perfect;Parfait;;;;;;;;;;;;x
EVTTITvariags.6;Rebellious Variags;Des Variags rebelles;;;;;;;;;;;;x
EVTDESCvariags.6;Lord of Variags rejected your request, arguing that it serves no other authority than his own one. He clearly insulted you, sir ... What will you do with these wretches?;Le Seigneur des Variags a rejeté votre demande, arguant qu'il ne sert nul autre Pouvoir que le sien. Il vous a clairement insulté, monseigneur... Qu'allez-vous faire de ces misérables ?;;;;;;;;;;;;x
EVTOPTAvariags.6;I'll kill them all !;Je les tuerais tous !;;;;;;;;;;;;x
EVTOPTBvariags.6;I don't need them by the way.;Je n'ai pas besoin d'eux de toute manière.;;;;;;;;;;;;x
EVTTITvariags.7;The Wrath of Sauron;La Colère de Sauron;;;;;;;;;;;;x
EVTDESCvariags.7;Sauron has received your message, and went into a rage as dark as him. He vowed to destroy your people, to make you pay for your treachery.;Sauron a reçu votre message, et est entré dans une colère aussi sombre que lui. Il a juré de détruire votre peuple, afin de vous faire payer cette trahison.;;;;;;;;;;;;x
EVTOPTAvariags.7;I'm sorry my lord, here's your supplies…;Je suis désolé monseigneur, voila vos ressources…;;;;;;;;;;;;x
EVTOPTBvariags.7;"I don't fear, this... "Dark Lord".;"Je n'ai pas peur de ce … ""Seigneur Noir"".";;;;;;;;;;;;x
EVTTITvariags.8;The Wrath of Sauron;La Colère de Sauron;;;;;;;;;;;;x
EVTDESCvariags.8;Despite your warning, the Lord of Variags continues to challenge you. It's time to punish this abortion, and show the extent of your strength to these farmers from the East.;Malgré votre avertissement, le Seigneur des Variags continue de vous défier. Il est temps de punir cet avorton, et de montrer l'étendue de votre force à ses paysans venus de l'Est.;;;;;;;;;;;;x
EVTOPTAvariags.8;Death ! Death for the Variags !;Mort ! Mort pour les Variags !;;;;;;;;;;;;x
EVTTITvariags.9;@FIXME@ Sauron will be able to get the event a new time;@FIXME@ Sauron will be able to get the event a new time;;;;;;;;;;;;x
EVTDESCvariags.9;@FIXME@ Sauron will be able to get the event a new time;@FIXME@ Sauron will be able to get the event a new time;;;;;;;;;;;;x
EVTOPTAvariags.9;Ok;Ok;;;;;;;;;;;;x
