#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
colonisation_de1;Some of your subjects want to colonize one of the wilderness lands under your dominion. The ruins of ancient cities and castles seems to be inhabited by wolves, trees and earth, but your men are ready to work. Will you support their efforts?;Certains de vos sujets souhaitent coloniser une des terres abandonnées appartenant à votre domaine. Les ruines des anciennes cités et forteresses sont maintenant habitées par les loups, la végétation, et la poussière, mais vos hommes sont prêts à travailler d'arrache-pied. Voulez-vous les envoyer maintenant?;;;;;;;;;;;;x
colonisation0opt1;Civilazation shall rise from the ruins!;Un nouveau Royaume s'élevera des ruines!;;;;;;;;;;;;x
colonisation0opt2;Wolves and ruins? No way, it's too dangerous!;Loups et Ruines? C'est trop dangereux!;;;;;;;;;;;;x
colonisation_wilderness;Colonise [Root.job_treasurer.Location.GetName];Coloniser [Root.job_treasurer.Location.GetName];;;;;;;;;;;;x
colonisation_wilderness_desc;Send your steward to encourage settlement in this wilderness.;Coloniser [Root.job_treasurer.Location.GetName];;;;;;;;;;;;x
colonisation_de4;While your men were recently installed in the abandoned land, a mysterious disease began to spread among them. Their herald begs you to help by sending medical supplies. What do you say?;Alors que vos hommes se sont installés depuis peu dans les terres abandonnées, une mystérieuse maladie a commencé à se répandre parmi eux. Leur messager vous supplie de les aider, en envoyant plus de ressources, afin qu'ils puissent se soigner correctement. Que répondez-vous?;;;;;;;;;;;;x
colonisation4optA;I'll send more supplies to help them !;Je vais leur envoyer de quoi se soigner !;;;;;;;;;;;;x
colonisation4optB;I've got nothing to send…;Je n'ai rien à envoyer !;;;;;;;;;;;;x
colonisation_de5;Your medication arrived just in time to save your settlers. They begin to regain strength, and will soon work again.;Vos médicaments sont arrivés juste à temps, et vos colons commencent à reprendre des forces. Bientôt, ils pourront reprendre le travail.;;;;;;;;;;;;x
colonisation5optA;I'm relieved ...;Je suis soulagé…;;;;;;;;;;;;x
colonisation_de6;Despite all the efforts of your settlers, your lack of support doomed them. One of your soldiers on patrol discovered the empty camp, and buried the corpses of the last of them. The colony is lost.;Malgré tout les efforts de vos colons, le manque de soutien de votre part n'a pas permis de les sauver. L'un de vos soldats, en patrouille, a découvert le campement vide, et les cadavres abandonnés des derniers d'entre eux. La colonie est perdue.;;;;;;;;;;;;x
colonisation6optA;This is all my fault…;C'est entièrement ma faute…;;;;;;;;;;;;x
colonisation_de7;You have not helped your men, but still, the epidemic has ended. The last patients are recovering, and there are only a few casualties among your men. However, the settlers recall how you abandoned them, and spread word to your other vassals.;Vous n'avez pas aidé vos hommes, mais malgré tout, l'épidémie a pris fin. Les derniers malades sont en train de guérir, et l'on ne compte que peu de pertes parmi vos hommes. Néanmoins, les colons se souviennent de votre abandon, et le font savoir à vos autres sujets.;;;;;;;;;;;;x
colonisation7optA;They should focus on their work!;Ils devraient se concentrer sur leur travail!;;;;;;;;;;;;x
colonisation_de8;While your men were recently installed in abandoned lands, they're subject to numerous attacks by wolves. Some of them have already been killed, and the few soldiers accompanying them don't have adequate numbers to protect the settlers. What will you do?;Alors que vos hommes se sont installés depuis peu dans les terres abandonnées, ils sont sujets de nombreuses attaques de loups. Certains d'entre eux ont déjà été tués, et les quelques soldats qui les accompagnent ne semblent pas assez forts pour les protéger. Que faire?;;;;;;;;;;;;x
