#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITrotk.46;Boromir returns!;Boromir est de retour!;;;;;;;;;;;;x
EVTDESCrotk.46;Boromir has brought you a Kingly Gift! Of course, he wants to hang on to it for a little while, to make a trial of his plans, but that is fine by me!;Boromir a ramené pour vous un cadeau digne d'un Roi! Bien sur, il veut le garder encore un peu, pour faire un test de ces plans, mais ça m'est égal!;;;;;;;;;;;;x
EVTOPTArotk.46;I knew he would make it!;Je savais qu'il réussirait!;;;;;;;;;;;;x
EVTTITrotk.47;Osgiliath;Osgiliath;;;;;;;;;;;;x
EVTDESCrotk.47;Your men bravely hold the east side of Osgiliath still, against all the armies of Mordor! This gives you hope, Gondor is stronger than the enemy supposed!;Vos hommes tiennent courageusement la rive Est d'Osgiliath contre les armées du Mordor! Cela vous donne de l'espoir, le Gondor est plus fort que ce que l'ennemi supposait!;;;;;;;;;;;;x
EVTOPTArotk.47;Yet in the end...;Pourtant, à la fin…;;;;;;;;;;;;x
EVTTITrotk.48;Osgiliath;Osgiliath;;;;;;;;;;;;x
EVTDESCrotk.48;The enemy is gathering on the east side of the river, building siege engines and vast stores of supplies and equipment. Soon, Sauron will be ready to strike...;L'ennemi s'est installé sur la rive est du fleuve, construisant des engins de sièges et d'immenses entrepots d'armes et de ravitaillement. Bientôt, Sauron sera prêt à attaquer…;;;;;;;;;;;;x
EVTOPTArotk.48;We need more men...;Il nous faut plus d'hommes…;;;;;;;;;;;;x
EVTTITrotk.49;Corsairs of Umbar;Les Corsaires d'Umbar;;;;;;;;;;;;x
EVTDESCrotk.49;My spies inform me that the cursed heirs of Castamir are readying the black fleet for a massive invasion of southern Gondor. That will draw away much help we hoped to get from there, against Mordor...;Mes espions m'informent que les héritiers raudits de Castamir ont levé leur flotte noire pour une invasion massive du Sud du Gondor. Cela va mobiliser des renforts dont j'aurais eu bien besoin ici, contre le Mordor…;;;;;;;;;;;;x
EVTOPTArotk.49;Curses.;Malédiction...;;;;;;;;;;;;x
