#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
on_pilgrimage;Questing;En pèlerinage;Auf Pilgerfahrt;;De peregrinación;;;;;;;;;x
on_pilgrimage_desc;The character is currently away from home on a great quest.;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is on a Quest;§Y$NAME$§! est en Quête;§Y$NAME$§! ist auf Suche;;§Y$NAME$§! está búsqueda;;;;;;;;;x
title_shirrifs;Shiriff;Shiriff;Shiriff;;Shiriff;;;;;;;;;x
title_postmaster;Postmaster;;;;;;;;;;;;;x
is_not_wilderness;is NOT Wilderness;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
waning1title;You are not a true Dúnedian;;;;;;x
waning1desc;The Blood of Numenor is waning, and though your family once counted itself among the high men of the West, you no longer have any real connection to that heritage.;;;;;;x
waning1A;Alas, for the lost glory of Numenor;;;;;;x
GENERIC_OK;Okay;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Cultural (and Race) conversion in provinces by random event is blocked.;;;;;;x
# Deaths;;;;;;;x
DEATH_BY_LEFTTODIE;was abandoned to die by $KILLER$;;;;;;x
DEATH_BY_DEST_ONERING;was destroyed when the One Ring was destroyed by $KILLER$;;;;;;x
# Game Rules
RULE_GROUP_MEP;MEP;;;;;;x
RULE_OPTION_NORMAL_DEFAULT;Normal (Default);;;;;;x
RULE_OPTION_OFF_DEFAULT;Off (Default);;;;;;x
RULE_OPTION_ON_DEFAULT;On (Default);;;;;;x
RULE_WOTR;War of the Ring;;;;;;x
RULE_OPTION_CANON;Canon;;;;;;x
RULE_WOTR_CANON_DESC;The War of the Ring events will happen (circa 11360).;;;;;;x
RULE_OPTION_SANDBOX;Sandbox;;;;;;x
RULE_WOTR_SANDBOX_DESC;War of the Ring events will not occur.;;;;;;x
RULE_COLONIZATION_DIFFICULTY;Colonization Difficulty;;;;;;x
RULE_COLON_DIFF_NORMAL_DESC;Colonizing wilderness will be slow and costly.;;;;;;x
RULE_OPTION_CQUICK;Quick;;;;;;x
RULE_COLON_DIFF_QUICK_DESC;Colonizing will take half the normal time.;;;;;;x
RULE_OPTION_CCHEAP;Cheap;;;;;;x
RULE_COLON_DIFF_CHEAP_DESC;Colonizing costs will be half normal.;;;;;;x
RULE_OPTION_CQUICKCHEAP;Quick and Cheap;;;;;;x
RULE_COLON_DIFF_QUICKCHEAP_DESC;Both the time and the cost of colonizing will be half normal.;;;;;;x
RULE_BIASE;Good/Evil Bias;;;;;;x
RULE_BIASE_OFF_DESC;Nothing is done to try and boost Good or Evil sides.;;;;;;x
RULE_OPTION_GOOD;Good (Not Implemented);;;;;;x
RULE_BIASE_GOOD_DESC;Good side rulers get bonuses;;;;;;x
RULE_OPTION_EVIL;Evil (Not Implemented);;;;;;x
RULE_BIASE_EVIL_DESC;Evil side rulers get bonuses;;;;;;x
RULE_FALL_OF_ARNOR;Fall of Arnor;;;;;;x
RULE_FALL_OF_ARNOR_ON_DESC;Events circa 9650 will launch the fall of Rhudaur, Carlodan, and Arthedian.;;;;;;x
RULE_OPTION_FA_OFF;Off (Not Implemented);;;;;;x
RULE_FALL_OF_ARNOR_OFF_DESC;No events will happen to trigger the downfall of Rhudaur, Carlodan, or Arthedian.;;;;;;x
RULE_GREAT_PLAGUE;The Great Plague;;;;;;x
RULE_GREAT_PLAGUE_ON_DESC;Between 9978 and 10180, the Great Plague will appear in the East.;;;;;;x
RULE_GREAT_PLAGUE_OFF_DESC;The Great Plague will not happen.;;;;;;x
