#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_WAR_OF_THE_RING;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_WAR_OF_THE_RING_DESC;Middle-Earth, 3018th Year of the Third Age. I amar prestar aen, The world is changed. Han mathon ne nen, I feel it in the water. Han mathon ne chae, I feel it in the earth.  A han noston ned 'wilith, I smell it in the air. Much that once was is lost, for none now live who remember it. These are dark times for Middle-Earth, large shadows spread in the East. Sauron, the Dark Lord, desperately looks for his Ring and is gathering all evil to him. Soon he will be ready to strike the Free Peoples. The kingdoms of Men are weak and in decline. Gondor seems to be the last realm with any chance of defending Middle-Earth. The Dwarves hide in the depths of their mountains, while the Elves flee to West. While Mordor prepares in the east, the traitor Saruman expands his domain into a weak Rohan, the Land of Horses. In these dark times the fates of all Middle-Earth lie with a single Hobbit, charged with a very dangerous mission.;Terre du Milieu, 1 Narwain 3018 du Tiers Âge.;;;;;;;;;;;;x
BM_KIN_STRIFE;The Kin-Strife;La Guerre Fratricide;;;;;;;;;;;;x
BM_KIN_STRIFE_DESC;Middle-Earth, 1427th Year of the Third Age. The peaceful kingdom of Gondor is approaching a perilous time in it's history. Valacar, son of Romendacil II of Gondor, married a non-Numenorean wife. Despite her being daughter of the mighty King of Rhovanion, Vidugavia, most of the lords of Gondor think that her son, Eldacar, is not a true Numenorean, and so cannot be king. Civil war threatens to tear apart the great Southern kingdom of men. In Eriador, both Rhudaur and Cardolan have been defeated by Angmar, and Arthedain seems the only realm that can stop a full invasion of Eriador. Will you play as the Witch-King, and complete the conquest of the North? Or will you play as Araphor of Arthedain, and try to save the last remnants of the Kingdom of Arnor from darkness?;Terre du Milieu, 1 Narwain 1427 du Tiers Âge.;;;;;;;;;;;;x
BM_FALL_OF_ARNOR;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
BM_FALL_OF_ARNOR_DESC;Middle-Earth, 1308th Year of the Third Age. This bookmark takes place roughly 1700 years before the events of the Lord of the Rings trilogy. It is a turbulent time for the successor kingdoms of Arnor, and the last light of the Dúnedain seems near to being extinguished. The three kingdoms of Arthedain, Cardolan and Rhudaur, split from Arnor upon the death Eärendur have had a relatively peaceful period, but this is set to change with the rise of the Witch-King of Angmar in the north. His strength is growing and soon he will be ready to strike at Rhudaur, the weakest of the three kingdoms and, if successful, perhaps begin to bring the age of the Dúnedain to a close.;Terre du Milieu, 1 Narwain 1308 du Tiers Age.;;;;;;;;;;;;x
BM_WAINRIDERS_INVASION;The Wainriders Invasion;L'invasion des Wainriders;;;;;;;;;;;;x
BM_WAINRIDERS_INVASION_DESC;Middle Earth, 1 Narwain 1847, the Third Age of this world.;Terre du Milieu, 1 Narwain 1847 du Tiers Age.;;;;;;;;;;;;x
BM_NEW_SHADOW;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
BM_NEW_SHADOW_DESC;Middle Earth, 1 Narwain 36, the Fourth Age of this world.;Terre du Milieu, 1 Narwain 36 du Quatrième Âge.;;;;;;;;;;;;x
BM_LAST_ALLIANCE;The Last Alliance;La Dernière Alliance;;;;;;;;;;;;x
BM_LAST_ALLIANCE_DESC;Middle-Earth, 1 Narwain 3418, the Second Age of this World.;Terre du Milieu, 1 Narwain 3418 du Second Âge.;;;;;;;;;;;;x
ERA_CHAR_INFO_4097;The Dwarves of Khazad-Dum are the most glorious and most powerful of their race. With their mines of Mithrils, they acquired an huge wealth and unrivaled prestige. But since the fall of Eregion in the Second Age, they are locked in their powerful city and dig ever and ever deeper.;Les Nains de Khazad-Dum sont les plus glorieux et les plus puissants de toute leur race. Grâce à leurs mines de Mithrils, ils ont acquis une richesse et un prestige sans égal. Mais depuis la chute de l'Eregion au Second-Âge, ils se sont enfermés dans leur puissante cité et creusent toujours plus profondément. ;;;;;;;;;;;;x
