#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;x
#CULTURE GROUPS;;;;;;;x
culture_group_edain;Edain;Edain;;;Edain;;x
culture_group_numenorean;Númenóreans;Númenóreen;;;Númenóreani;;x
culture_group_middlemen;Men of Twilight;Hommes Communs;;;Uomini di Mezzo;;x
culture_group_northmen;Northmen;Hommes du Nord;Nordmänner;;Nordroni;;x
culture_group_forodwaith;Forodwaith;Forodwaith;;;Forodwaith;;x
culture_group_haldadian;Haladin;Haladin;;;Haladin;;x
culture_group_southron;Southrons;Hommes du Sud;;;Sudroni;;x
culture_group_easterling;Easterlings;Easterlings;;;Esterling;;x
culture_group_halfling;Hobbits;Hobbits;;;Hobbit;;x
culture_group_dwarves;Khazâd;Khazâd;;;Khazâd;;x
culture_group_quendi;Quendi;Quendi;;;Quendi;;x
culture_group_amanyar;Amanyar;Amanyar;;;Amanyar;;x
culture_group_umanyar;Umanyar;Umanyar;;;Umanyar;;x
culture_group_aumanyar;Wood Elves;Elfes du Bois;Waldelfen;;Elfos del bosque;;x
culture_group_moriquendi;Moriquendi;Moriquendi;;;Moriquendi;;x
culture_group_onodrim;Onodrim;Onodrim;;;Onodrim;;x
culture_group_eru;Ainur;Ainur;;;Ainur;;x
culture_group_melkor;Creatures of Melkor;Créatures de Melkor;;;;;x
culture_group_wilderness;Wilderness;Vie Sauvage;;;Terre Selvagge;;x
#CULTURES;;;;;;;x
# Númenórean Cultures;;;;;;;x
culture_numenorean;Númenóreans;Númenóreen;;;Númenóreani;;x
culture_adunaic;Adûnaic;Adûnaic;;;Adûnaici;;x
culture_arnorian;Arnorians;Arnorien;;;Arnoriani;;x
culture_gondorian;Men of Gondor;Gondorien;;;Uomini di Gondor;;x
culture_black_numenorean;Black Númenóreans;Númenóreen Noir;;;N. Neri;;x
culture_dunedain;Dúnedain;Dúnedain;;;Dúnedain;;x
# Old First/Second age cultures;;;;;;;x
culture_druedain;Drûghu;Drughu;;;Drughu;;x
culture_haladin;Folk of Haleth;Peuple d'Haleth;;;Popolo di Haleth;;x
culture_maradin;Folk of Marach;Peuple de Marach;;;Popolo di Marach;;x
culture_beodin;Folk of Bëor;Peuple de Bëor;;;Popolo di Bëor;;x
culture_baradhrim;Baradhrim;;;;;;x
culture_edain_eraidor;Beregrim;;;;;x
culture_edain_eraidor_desc;The Beregrim were the Edain of Eraidor. They gave rise to those of the Houses of Bëor and Hador, and remained in Eraidor well into the Second Age.;;;;;x
culture_edain_wilderland;Nenedain;;;;;;x
culture_edain_wilderland_desc;The Nenedian were relatives to the Edain who never crossed the Misty Mountains. Early in the Second age, they became close allies of the Longbeards. They were mostly destroyed during the War of the Elves and Sauron, but the Dwarves have carried their names ever since.;;;;;x
culture_arvandor;Arvandhrim;;;;;;x
culture_arvandor_desc;Arvandor, later known as Rhudaur, was settled in the early Second Age by a people who were relatives to the Beregrim to the west and the Nenedain to the east.;;;;;;x
# Northmen cultures;;;;;;;x
culture_northmen;Northrons;Hommes du Nord;;;Nordroni;;x
culture_woodsmen;Woodsmen;Hommes des Bois;;;Boscaioli;;x
culture_barding;Bardings;Barding;;;Bardini;;x
culture_eotheod;Éothéod;Éothéod;;;Éothéod;;x
culture_rohirrim;Rohirrim;Rohirrim;;;Rohirrim;;x
culture_beorning;Beornings;Beornides;;;Beorniani;;x
culture_dorwinrim;Dorwinrim;Dorwinrim;;;Dorwinrim;;x
# Middlemen Cultures;;;;;;;x
culture_gondorian_middlemen;Gondorian Middlemen;Gondorien Commun;;;Gondoriani Comuni;;x
culture_gondorian_middlemen_desc;Gondorian middle men are of mixed ancestry, with both hillmen ancestors and traces of numenorean blood, though they no longer have the strength and long life of their dunedain ancestors.;Les Gondoriens communs descendent de deux peuples différents qui se sont mélangés au fil du temps. Les Numénoréens ont ainsi dilués leur sang parmi les peuples originaux de la région.;;;;;x
culture_arnorian_middlemen;Arnorian Middlemen;Arnorien Commun;;;Gondoriani Comuni;;x
culture_arnorian_middlemen_desc;Arnorian middle men are of mixed ancestry, with both hillmen and Haladin ancestors and traces of numenorean blood, though they no longer have the strength and long life of their dunedain ancestors.;Les Arnoriens communs descendent de deux peuples différents qui se sont mélangés au fil du temps. Les Numénoréens ont ainsi dilués leur sang parmi les peuples originaux de la région.;;;;;x
culture_ishmalogim;Ishmalogim;Ishmalogim;;;Ishmalogim;;x
# Easterling Cultures;;;;;;;x
culture_easterling;Easterlings;Easterling;;;Esterling;;x
culture_balchoth;Balchoths;Balchoth;;;Balchoth;;x
culture_wainriders;Wainriders;Wainrider;;;Carrieri;;x
culture_nurnim;Núrniags;Núrniags;;;Núrniag;;x
culture_variags;Variags;Variags;;;Variag;;x
culture_nuriags;Nûriags;Nûriag;;;Nûriag;;x
culture_khundolars;Khundolars;Khundolar;;;Khundolar;;x
culture_jangovars;Jangovars;Jangovar;;;Jangovar;;x
# Haladian Cultures;;;;;;;x
culture_dunlending;Dunlendings;Hommes du Pays de Dun;;;Dunlandiani;;x
culture_calending;Calendings;Calending;;;Calendiani;;x
