#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
d_swan_knights;the Swan Knights;les Chevaliers au Cygne;;;;;x
d_swan_knights_adj;Swan;les Chevaliers au Cygne;;;;;
d_iron_guard;the Iron Guard;;;;;;x
d_iron_guard_adj;the Iron Guardian;;;;;;x
d_blackwolds;Blackwolds;Blackwolds;;;Landanera;;x
d_blackwolds_adj;Blackwoldian;Blackwoldian;;;dei Landanera;;x
d_ruffians;Ruffians;Ruffians;;;Ruffiani;;x
d_ruffians_adj;Ruffian;Ruffian;;;dei Ruffiani;;x
d_nargubraz;Axes of Nargubraz;Haches de Nargubraz;;;Asce di Nargubraz;;x
d_nargubraz_adj;Nargubraz;Nargubraz;;;di Nargubraz;;x
d_mornaugrim;Mornaugrim Clans;Clan des Mornaugrim;;;Clan Mornaugrim;;x
d_mornaugrim_adj;Mornaugrim;Mornaugrim;;;Mornaugrim;;x
d_dourhands;Dourhands Clans;Clan des Dourhands;;;Clan Palmiduri;;x
d_dourhands_adj;Dourhands;Dourhands;;;dei Palmiduri;;x
d_airund;Airund-Shegan Company;Compagnie d'Airund-Shegan;;;Compagnia d'Airund-Shegan ;;x
d_airund_adj;Airund-Sheganrim;Airund-Sheganrim;;;Airund-Sheganrim;;x
d_rivermen_clans;Rivermen Clans;Clan des Hommes de la Rivière;;;Clan degli Uomini dei Fiumi;;x
d_rivermen_clans_adj;Rivermannish;Rivermannish;;;dei Fiumi;;x
d_circinn_clans;Circinn Clans;Clan de Circinn;;;Clan Circinn;;x
d_circinn_clans_adj;Circinnrim;Circinnrim;;;Circinnrim;;x
d_caerinn_clans;Caerinn Clans;Clan de Caerinn;;;Clan Caerinn;;x
d_caerinn_clans_adj;Caerinnrim;Caerinnrim;;;Caerinnrim;;x
d_fortriu_clans;Fortriu Clans;Clan de Fortriu;;;Clan Fortriu;;x
d_fortriu_clans_adj;Fortriurim;Fortriurim;;;Fortriurim;;x
d_smertiu_clans;Smertiu Clans;Clan de Smertiu;;;Clan Smertiu;;x
d_smertiu_clans_adj;Smertiurim;Smertiurim;;;Smertiurim;;x
d_lugiu_clans;Lugiu Clans;Clan de Lugiu;;;Clan Lugiu;;x
d_lugiu_clans_adj;Lugiurim;Lugiurim;;;Lugiurim;;x
d_gadrauhteis;Gadrauhteis Company;Compagnie de Gadrauhteis;;;Compagnia Gadrauhteis;;x
d_gadrauhteis_adj;Gadrauhteis;Gadrauhteis;;;Gadrauhteis;;x
d_snaga_clans;Snaga Clans;Hordes Snaga;;;Clan Snaga;;x
d_snaga_clans_adj;Snaga;Snaga;;;Snaga;;x
d_avari_wandering;Avari Wandering Tribes;Tribu Nomade Avari;;;Tribù Vaganti Avari;;x
d_avari_wandering_adj;Avari;Avari;;;degli Avari;;x
d_silvan_tribes;Silvan Tribes;Nomades Sylvains;;;Tribù Silvane;;x
d_silvan_tribes_adj;Silvan;Silvan;;;Silvana;;x
d_sakalai_peoples;Sakalai Coast-Peoples;Tribu de Sakalai;;;Popoli Costieri Sakalai;;x
d_sakalai_peoples_adj;Sakalai;Sakalai;;;Sakali;;x
d_eredrim_peoples;Eredrim of White Mountains;Eredrim des Montagnes Blanches;;;Eredrim dei Monti Bianchi;;x
d_eredrim_peoples_adj;Eredrim;Eredrim;;;Eredrim;;x
d_ninniden_peoples;Ninniden Marshmen;Hommes des Marais de Ninniden;;;Ninniden delle Paludi;;x
d_ninniden_peoples_adj;Ninniden;Ninniden;;;Ninniden;;x
d_healfblodas;Healfblodas Clans;Clans des Healfblodas;;;Clan Healfblodas;;x
d_healfblodas_adj;Healfblod;Healfblod;;;Healfblod;;x
d_hobbit_bands;Hobbit Armed Bands;Bande Armée Hobbit;;;Bande Armate Hobbit;;x
d_hobbit_bands_adj;Hobbit;Hobbit;;;Hobbit;;x
d_umlir_tribes;Umlir Tribes;Tribu d'Umlir;;;Tribù Umlir;;x
d_umlir_tribes_adj;Umlir;Umlir;;;Umlir;;x
d_eraguk_tribes;Eraguk Tribes;Tribu d'Eraguk;;;Tribù Eraguk;;x
d_eraguk_tribes_adj;Eraguk;Eraguk;;;Eraguk;;x
d_kibic_tribes;Kibic Clans;Clans de Kibic;;;Clan Kibic;;x
d_kibic_tribes_adj;Kibic;Kibic;;;Kibic;;x
d_urdwan_nomads;Urdwan Nomads;Nomades d'Urdwan;;;Nomadi Urdwan;;x
d_urdwan_nomads_adj;Urdwan;Urdwan;;;Urdwan;;x
d_men_bozisha;Men of Bozisha-Miraz;Hommes de Bozisha-Miraz;;;Uomini del Bozisha-Miraz;;x
d_men_bozisha_adj;Bozisharim;Bozisharim;;;Bozisharim;;x
d_koanoze_peoples;Koanoze Peoples;Tribu de Koanoze;;;Popoli Koanoze;;x
d_koanoze_peoples_adj;Koanoze;Koanoze;;;Koanoze;;x
d_mardruak_men;Men of Mardruak;Hommes du Marduak;;;Uomini del Mardruak;;x
d_mardruak_men_adj;Mardruakrim;Mardruakrim;;;Mardruakrim;;x
d_ayten_clans;Ayten Clans;Clans d'Ayten;;;Clan Ayten;;x
d_ayten_clans_adj;Ayten;Ayten;;;Ayten;;x
d_aukuag_clans;Aukuag Tribes;Tribus d'Aukuag;;;Tribù Aukuag;;x
d_aukuag_clans_adj;Aukuag;Aukuag;;;Aukuag;;x
d_snaga_gundabad;Snaga of Gundabad;Hordes Snaga de Gundabad;;;Snaga di Gundabad;;x
