#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
nick_the_imp;the Imp;;;;;;x
nick_the_slayer;the Slayer;;;;;;x
nick_the_scarred;the Scarred;;;;;;x
nick_the_butcher;the Butcher;;;;;;x
nick_the_savior;the Savior;;;;;;x
nick_lelaith;Lelaith;;;;;;x
nick_elven_fair;The Elven-Fair;;;;;;x
nick_the_dark_lord;the Dark Lord;Seigneur Ténébreux;;;l'Oscuro Signore;;x
nick_ghost_wing;Ghost-Wing;;;;;;x
nick_the_red;the Red;;;;;;x
nick_the_white;the White;le Blanc;;;il Bianco;;x
nick_the_young;the Young;le Jeune;;;il Giovane;;x
nick_the_hapless;the Hapless;le Malchanceux;;;lo Sfortunato;;x
nick_the_old;the Old;le Vieux;;;il Vecchio;;x
nick_hammerhand;Hammerhand;Hammerhand;;;Mandimartello;;x
nick_leofa;Léofa;Léofa;;;Léofa;;x
nick_ednew;Ednew;Ednew;;;Ednew;;x
nick_eadig;Éadig;Eadig;;;Éadig;;x
nick_the_fair;the Fair;le Beau;;;il Bello;;x
nick_great_goblin;the Great Goblin;Le Grand Gobelin;;;il Grande Goblin;;x
nick_the_grey;the Grey;le Gris;;;il Grigio;;x
nick_the_brown;the Brown;le Brun;;;il Bruno;;x
nick_oakenshield;Oakenshield;Ecu-de-Chêne;;;Scudodiquercia;;x
nick_stonehelm;Stonehelm;Heaume-de-Pierre;;;Elminpietra;;x
nick_ironfoot;Ironfoot;Pied-d'Acier;;;Piediferro;;x
nick_wolfhunter;Wolfhunter;Chasseur-de-Loups;;;il Caccialupi;;x
nick_the_deathless;the Deathless;Trompe-la-Mort;;;il Senzamorte;;x
nick_nibs;Nibs;Nibs;;;Nibs;;x
nick_the_cold;the Cold;;;;;;x
nick_the_tower;the Tower;;;;;;x
nick_jolly;Jolly;Jolly;;;Jolly;;x
nick_the_nick;Nick;Nick;;;Nick;;x
nick_long_hom;Long Hom;Long Hom;;;il Lungo;;x
nick_angmardacil;Angmardacil;Angmardacil;;;Angmardacil;;x
nick_galadhir;Galadhîr;Galadhîr;;;Galadhîr;;x
nick_wormtongue;Wormtongue;Langue-de-Serpent;;;Vermilinguo;;x
nick_the_black;the Black;le Noir;;;il Nero;;x
nick_the_faithful;the Faithful;le Fidèle;;;il Fedele;;x
nick_bullroarer;Bullroarer;Taureau Mugissant;;;Ruggibrante;;x
nick_the_frightened;the Frightened;l'Apeuré;;;il Terrorizzato;;x
nick_witch_king;the Witch-King;le Roi-Sorcier;;;il Re Stregone;;x
nick_the_easterling;the Easterling;l'Oriental;;;l'Esterling;;x
nick_strider;Strider;Grands-Pas;;;Grampasso;;x
nick_father_dragons;the Father of Dragons;le Père des Dragons;;;il Padre dei Draghi;;x
nick_the_golden;the Golden;le Doré;;;il Dorato;;x
nick_the_worm;the Worm;le Ver;;;il Verme;;x
nick_the_terrible;the Terrible;le Terrible;;;il Terribile;;x
nick_the_numenorean;the Numenorean;le Numénoréen;;;il Númenóreano;;x
nick_the_tall;the Tall;le Grand;;;l'Alto;;x
nick_fire_hammer;Fire-Hammer;Marteau-de-Feu;;;Mazzafuoco;;x
nick_golden_hands;Golden-Hands;Mains-Dorées;;;Manidoro;;x
nick_sparkling_beard;Sparkling-Beard;Barbe-Etincelante;;;Barbaluce;;x
nick_emerald_hairs;Emerald-Hairs;Coiffe-d'Emeraude;;;Capeldismeraldo;;x
nick_ruby_belt;Ruby-Belt;Ceinture-de-Rubis;;;Cinturadirubini;;x
nick_diamond_hands;Diamond-Hands;Mains-de-Diamants;;;Mandidiamante;;x
nick_golden_shield;Goldenshield;Ecu-d'Or;;;Scudorato;;x
nick_ironpick;Ironpick;Pioche-d'Acier;;;Picconferroso;;x
nick_silverhelm;Silverhelm;Casque-d'Argent;;;Argentelmo;;x
nick_silveraxe;Silveraxe;Hache-d'Argent;;;Asciargentea;;x
nick_firestone;Firestone;Pierre-de-Feu;;;Rocciafuoco;;x
nick_fireaxe;Fireaxe;Hache-de-Feu;;;Asciadifuoco;;x
nick_stonehead;Stonehead;Tête-de-Pierre;;;Testadipietra;;x
nick_stonebeard;Stonebeard;Barbe-de-Pierre;;;Barbapietra;;x
