#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
towerguardcompany;Tower Guard Company;;;;;;;;;;;;;x
gondorianheavycavalry;Gondorian Heavy Cavalry;;;;;;;;;;;;;x
swanknights;Swan Knights;;;;;;;;;;;;;x
blackvalearchers;Blackvale Archers;;;;;;;;;;;;;x
dunedainelitecompany;Dunedain Elite Company;;;;;;;;;;;;;x
knightsofannuminas;Knights of Annúminas;;;;;;;;;;;;;x
knightsofdolamroth;Knights of Dol Amroth;;;;;;;;;;;;;x
royalguardcompany;Royal Guard Company;;;;;;;;;;;;;x
sindarroyalguard;Sindar Royal Guard;;;;;;;;;;;;;x
noldoreliteguard;Noldor Elite Guard;;;;;;;;;;;;;x
noldorhorsearchers;Noldor Horse Archers;;;;;;;;;;;;;x
dwarvengatewardens;Dwarven Gate-Wardens;;;;;;;;;;;;;x
gatewardens;Gate Wardens;;;;;;;;;;;;;x
redserpentguard;Red Serpent Guard;;;;;;;;;;;;;x
blacknumenoreanknights;Black Numenorean Knights;;;;;;;;;;;;;x
blacknumenoreanpalaceguards;Black Numenorean Palace Guards;;;;;;;;;;;;;x
haradrimmumakil;Haradrim Mûmakil;;;;;;;;;;;;;x
tookarchers;Took Archers;;;;;;;;;;;;;x
halflingsheriffs;Halflings Shiriffs;;;;;;;;;;;;;x
knightsofdale;Knights of Dale;;;;;;;;;;;;;x
bardingmenatarms;Barding Men-at-Arms;;;;;;;;;;;;;x
greenwaysentinels;Greenway Sentinels;;;;;;;;;;;;;x
breemenatarms;Bree Men-at-Arms;;;;;;;;;;;;;x
guardsofthegates;Guards of the Gates;;;;;;;;;;;;;x
northmenskirmishers;Northmen Skirmishers;;;;;;;;;;;;;x
northmenroyalguard;Northmen Royal Guard;;;;;;;;;;;;;x
forestwardens;Forest Wardens;;;;;;;;;;;;;x
dorwinionguards;Dorwinion Guards;;;;;;x
beorningguards;Beorning Guards;;;;;;;;;;;;;x
beorningskinchangers;Beorning Skin-Changers;;;;;;;;;;;;;x
balchothchiefguard;Balchoth Bodyguards;;;;;;;;;;;;;x
chieftainsguard;Chieftain's Guard;;;;;;;;;;;;;x
eoredofeotheod;Eored of Éothéod;;;;;;;;;;;;;x
eotheodguard;Éothéod Guard;;;;;;;;;;;;;x
eoredofrohan;Eored of Rohan;;;;;;;;;;;;;x
rohaneliteguard;Rohan Elite Guard;;;;;;;;;;;;;x
morgulguards;Morgul Guards;;;;;;;;;;;;;x
ologhaielite;Olog-hai Elite;;;;;;;;;;;;;x
isengardguards;Isengard Guards;;;;;;;;;;;;;x
urukhaipikes;Uruk-hai Pikemen;;;;;;;;;;;;;x
arnorianmenatarms;Arnorian Men-at-Arms;;;;;;;;;;;;;x
annuminasroyalguard;Annúminas Royal Guard;;;;;;;;;;;;;x
avariroyalguard;Avari Royal Guard;;;;;;;;;;;;;x
avarihorsearchers;Avari Horse Archers;;;;;;;;;;;;;x
orcspikes;Orc Pikemen;;;;;;;;;;;;;x
orcsarchers;Orc Archers;;;;;;;;;;;;;x
wargriders;Elite Warg Riders;;;;;;;;;;;;;x
urukpikes;Uruk Pikemen;;;;;;;;;;;;;x
urukarchers;Uruk Archers;;;;;;;;;;;;;x
urukwargriders;Uruk Warg Riders;;;;;;;;;;;;;x
variagslightcavalry;Variag Light Cavalry;;;;;;;;;;;;;x
HORDE_RETTYPE_ARCHERS;Archer Band;;;;;;;;;;;;x
HORDE_RETTYPE_INF1;Light Infantry Band;;;;;;;;;;;;x
HORDE_RETTYPE_INF2;Infantry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_INF3;Infantry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_INF4;Infantry Band III;;;;;;;;;;;;x
HORDE_RETTYPE_INF5;Elite Infantry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_INF6;Elite Infantry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_INF7;Heavy Infantry Band;;;;;;;;;;;;x
HORDE_RETTYPE_CAV1;Light Cavalry Band;;;;;;;;;;;;x
HORDE_RETTYPE_CAV2;Mounted Skirmisher Band I;;;;;;;;;;;;x
HORDE_RETTYPE_CAV3;Mounted Skirmisher Band II;;;;;;;;;;;;x
HORDE_RETTYPE_CAV4;Mounted Skirmisher Band III;;;;;;;;;;;;x
HORDE_RETTYPE_CAV5;Cavalry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_CAV6;Cavalry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_CAV7;Horse Archer Band;;;;;;;;;;;;x

