#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
trolls;Trolls;Trolls;;;;;;;;;;;;x
trolls_offensive;Trolls Offensive;Attaque des Trolls;;;;;;;;;;;;x
trolls_defensive;Trolls Defensive;Défense des Trolls;;;;;;;;;;;;x
trolls_morale;Trolls Morale;Moral des Trolls;;;;;;;;;;;;x
trolls_modifier;Combat Modifier boost to Trolls Troops: $PERC$;Bonus de combat pour les Trolls $PERC$;;;;;;;;;;;;x
eagles;Great Eagles;Grands Aigles;;;;;;;;;;;;x
eagles_offensive;Great Eagles Offensive;Attaque des Grands Aigles;;;;;;;;;;;;x
eagles_defensive;Great Eagles Defensive;Défense des Grands Aigles;;;;;;;;;;;;x
eagles_morale;Great Eagles Morale;Moral des Grands Aigles;;;;;;;;;;;;x
eagles_modifier;Combat Modifier boost to Great Eagles: $PERC$;Bonus de combat pour les Grands Aigles : $PERC$;;;;;;;;;;;;x
dragons;Dragons;Dragons;;;;;;;;;;;;x
dragons_offensive;Dragons Offensive;Attaque des Dragons;;;;;;;;;;;;x
dragons_defensive;Dragons Defensive;Défense des Dragons;;;;;;;;;;;;x
dragons_morale;Dragons Morale;Moral des Dragons;;;;;;;;;;;;x
dragons_modifier;Combat Modifier boost to Dragons: $PERC$;Bonus de combat pour les Dragons : $PERC$;;;;;;;;;;;;x
balrog_offensive;Balrog Offensive;Attaque du Balrog;;;;;;;;;;;;x
balrog_defensive;Balrog Defensive;Défense du Balrog;;;;;;;;;;;;x
balrog_morale;Balrog Morale;Moral du Balrog;;;;;;;;;;;;x
balrog_modifier;Combat Modifier boost to Balrog: $PERC$;Bonus de combat pour les Balrogs : $PERC$;;;;;;;;;;;;x
knights_dol_amroth;Knights of Dol Amroth;Chevaliers de Dol Amroth;;;;;;;;;;;;x
knights_dol_amroth_offensive;Knights of Dol Amroth Offensive;Attaque des Chevaliers de Dol Amroth;;;;;;;;;;;;x
knights_dol_amroth_defensive;Knights of Dol Amroth Defensive;Défense des Chevaliers de Dol Amroth;;;;;;;;;;;;x
knights_dol_amroth_morale;Knights of Dol Amroth Morale;Moral des Chevaliers de Dol Amroth;;;;;;;;;;;;x
knights_dol_amroth_modifier;Combat Modifier boost to Knights of Dol Amroth: $PERC$;Bonus de combat pour les Chevaliers de Dol Amroth : $PERC$;;;;;;;;;;;;x
