#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;x
#Palantiri;;;;;;;x
palantir;Palantír;;;;;;x
artifact_palantir_anor;The Anor-Stone;La Pierre d'Anor;;;;;;;x
artifact_palantir_anor_desc;This is a Palantír, also known as a Seeing-Stone. When one looks into a palantír, one can communicate with other such stones and anyone who might be looking into them. The Anor-stone was the Gondorian palantír kept at Minas Tirith, taking its name from the older title of that city, Minas Anor. It was kept an unused secret by the Ruling Stewards after the Fall of the Last King.;Ce personnage tient un des Palantíri, aussi connus commes les Pierres de Visions ou les Sept Pierres. Quand on regarde dans un Palantír, on peut communiquer avec une autre de ces pierres et tous ceux qui pourraient s'en servir. La Pierre d'Anor était l'un des Palantíri du Gondor, localisé à Minas Tirith, prenant son nom de l'ancienne dénomination de cette ville, Minas Anor. Il a été gardé en secret, inutilisé, par les Intendants du Gondor après la chute du dernier roi.;;;;;x
artifact_palantir_ithil;The Ithil-Stone;La Pierre d'Ithil;;;;;;;x
artifact_palantir_ithil_desc;This is a Palantír, also known as a Seeing-Stone. When one looks into a palantír, one can communicate with other such stones and anyone who might be looking into them. The Ithil-stone was the palantír that stood in Isildur's ancient fortress of Minas Ithil placed there soon after the founding of the city.;Ce personnage tient un des Palantíri, aussi connus commes les Pierres de Visions ou les Sept Pierres. Quand on regarde dans un Palantír, on peut communiquer avec une autre de ces pierres et tous ceux qui pourraient s'en servir. La Pierre d'Ithil était le palantír qui se trouvait dans l'ancienne forteresse d'Isildur, à Minas Ithil, et placé là peu de temps après la fondation de la ville.;;;;;x
artifact_palantir_osgiliath;The Osgiliath-Stone;La Pierre d'Osgiliath;;;;;;;x
artifact_palantir_osgiliath_desc;The Stone of Osgiliath, the greatest of the seven palantíri of Middle-earth, was the Stone that stood in Osgiliath, the ancient capital of Gondor. For 1,500 years or more, it was held beneath the Dome of Stars that gave the city its name. While most of the palantíri were small and portable, the Stone of Osgiliath was much larger, and could not be lifted by a Man.;La Pierre d'Osgiliath, le plus grand des sept palantíri la Terre du Milieu, était la pierre qui se trouvait dans Osgiliath, l'ancienne capitale de Gondor. Pendant 1500 ans ou plus, la pierre est restée placée sous le dôme des étoiles qui a donné à la ville son nom. Alors que la plupart des palantíri étaient de petite taille et portable, la Pierre d'Osgiliath était beaucoup plus grande, et ne pouvait être portée par un seul homme.;;;;;x
artifact_palantir_elostirion;The Elendil-Stone;La Pierre d'Elendil;;;;;;;x
artifact_palantir_elostirion_desc;The Palantír of Elostirion, also known as the Elendil Stone was one of the Palantíri brought by the Faithful from Númenor. It was stored in the tower Elostirion on the Emyn Beraid by Elendil, and in later years was guarded by Círdan and the Elves of Lindon. The stone was aligned westwards towards the Master-stone in the Tower of Avallonë, along the length of the Straight Road. Because of this, it could not communicate with the other six of Middle-earth. Only Elendil was able to use it to look west across the Sea and see the Undying Lands. Elendil also tried to see the fallen Númenor with the stone but failed.;Le Palantir d'Elostirion, également connu sous le nom Pierre d'Elendil était l'un des Palantíri apportée par les fidèles de Númenor. Il a été placé dans la tour d'Elostirion sur les Emyn Beraid par Elendil, et plus tard a été gardé par Círdan et les Elfes de Lindon. La pierre était alignée à l'ouest vers la maître-pierre dans la tour de Avallonë. De ce fait, il ne pouvait pas communiquer avec les six autres de la Terre du Milieu. Seulement Elendil a pu l'utiliser pour regarder à l'ouest à travers la mer et voir les Terres Immortelles. Elendil a également essayé de voir le Númenor tombé avec la pierre, mais a échoué.;;;;;x
artifact_palantir_sul;The Amon Sûl-stone;La Pierre d'Amon Sûl;;;;;;;x
artifact_palantir_sul_desc;The Amon Sûl-stone was a palantír that rested in the Arnorian Tower of Amon Sûl. Like the other seeing-stones it was a deep black crystal, spherical, and perfectly smooth. However, the stones were not all alike and the Amon Sûl-stone, like the Osgiliath-stone, was too large to be lifted by one man.;La Pierre d'Amon Sûl était un Palantír qui était gardé dans la Tour d'Amon Sul, en Arnor. Comme les autres Pierres de Visions, c'était un cristal d'un noir profond, de forme sphérique, et parfaitement lisse. Cependant, les pierres ne sont pas toutes identiques et la Pierre d'Amon Sul, comme celle d'Osgiliath, était trop grande pour être portée par un seul homme.;;;;;x
artifact_palantir_annuminas;The Stone of Annúminas;La Pierre d'Annúminas;;;;;;;x
artifact_palantir_annuminas_desc;The Stone of Annúminas was one of the three palantíri of Arnor, the North-kingdom of the Dúnedain. Though it was counted one of the lesser of the seven Seeing-stones brought into Middle-earth, it was nonetheless the one used most often by the King in the north, and was preserved at Annúminas through the history of the realms of Arnor and its successor Arthedain.;La Pierre d'Annúminas était l'un des trois Palantíri d'Arnor, le Royaume du Nord des Dúnedain. Bien qu'elle ait été considérée comme l'une des moins importantes des sept pierres amenées en Terre du Milieu, elle n'en est pas moins le plus souvent utilisée par le Roi du Nord, et a été conservée à Annúminas à travers l'histoire des royaumes d'Arnor et d'Arthedain.;;;;;x
artifact_palantir_orthanc;The Stone of Orthanc;La Pierre d'Orthanc;;;;;;;x
artifact_palantir_orthanc_desc;The Stone of Orthanc was one of the seven Palantíri brought to Middle-earth by Elendil and his sons at the end of the Second Age. The Exiles of Númenor built the Tower of Orthanc on what were then the northern borders of the realm of Gondor, and set the palantír in the unbreachable fortress.;La pierre d'Orthanc était l'un des sept Palantíri apporté en Terre du Milieu par Elendil et ses fils à la fin du Second Age. Les exilés de Númenor construisirent la tour d'Orthanc sur ce qui était alors les frontières septentrionales du royaume de Gondor, et gardèrent le Palantír dans cette forteresse infranchissable.;;;;;x
# Rings
finger;Finger;Doigt;Finger;;Dedo;;x
artifact_ring;The One Ring;Anneau de Pouvoir;;;;;x
artifact_ring_desc;This is the One Ring, the greatest of the Rings of Power and the most powerful artifact in Middle-Earth. The One Ring was forged by Sauron in the fires of Orodruin during the Second Age. The Ring's primary power is the control over the other Rings and domination of the wills of their users. A mortal wearing the Ring is made invisible except to those able to perceive the non-physical world. The Ring also extends a mortal possessor's life indefinitely by preventing natural aging. It is said that Sauron poured his very soul into the Ring, using it as a conduit for his power, and that only it's destruction can destroy him forever. When placed in fire, the Ring reveals an Elvish poem engraved in fire  One ring to rule them, one to find them, one to to bring them all, and in the darkness bind them.;L'Anneau de Pouvoir, forgé par Sauron dans les flammes de la Montagne du Destin, mais qu'il perdit lors de la Guerre de la Dernière Alliance. Perdu après la mort d'Isildur aux Champs-aux-Iris, il fut retrouvé par un être du nom de Gollum.;;;;;x
