#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;x
finger;Finger;Doigt;Finger;;Dedo;;x
artifact_ring;The One Ring;Anneau de Pouvoir;;;;;x
artifact_ring_desc;This is the One Ring, the greatest of the Rings of Power and the most powerful artifact in Middle-Earth. The One Ring was forged by Sauron in the fires of Orodruin during the Second Age. The Ring's primary power is the control over the other Rings and domination of the wills of their users. A mortal wearing the Ring is made invisible except to those able to perceive the non-physical world. The Ring also extends a mortal possessor's life indefinitely by preventing natural aging. It is said that Sauron poured his very soul into the Ring, using it as a conduit for his power, and that only it's destruction can destroy him forever. When placed in fire, the Ring reveals an Elvish poem engraved in fire  One ring to rule them, one to find them, one to to bring them all, and in the darkness bind them.;L'Anneau de Pouvoir, forgé par Sauron dans les flammes de la Montagne du Destin, mais qu'il perdit lors de la Guerre de la Dernière Alliance. Perdu après la mort d'Isildur aux Champs-aux-Iris, il fut retrouvé par un être du nom de Gollum.;;;;;x
#Elvish Rings
nenya;Nenya;Nenya;;;;;x
nenya_desc;This is Nenya, also named the White Ring, the Ring of Adamant, or the Ring of Water. It is one of the three Elven Rings of Power. It was forged of Mithril by Celebrimbor in the Second Age and given to Galadriel. Nenya's power is preservation, protection, and concealment from evil.;Nenya, l'Anneau d'Eau, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor et détenu par Galadriel.;;;;;x
narya;Narya;Narya;;;;;x
narya_desc;This is Narya, also named the Ring of Fire or Red Ring. It is one of the three Elven Rings of Power. It was forged by Celebrimbor for Gil-Galad in the Second Age. It has the power to inspire others to resist tyranny, domination and despair, as well as having the power to hide the wielder from remote observation and giving resistance to the weariness of time.;Narya, l'Anneau de Feu, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad, qui le donna par la suite à Cirdan, le charpentier. Gandalf se le verra offrir par ce dernier à son arrivée sur la Terre du Milieu.;;;;;x
vilya;Vilya;Vilya;;;;;x
vilya_desc;This is Vilya, also named the Ring of Sapphire, the Blue Ring, or the Ring of Air. It is one of the three Elven Rings of Power, and mightiest of the Three. It possesses the power of controlling natural elements and to heal and to preserve life.;Nenya, l'Anneau de Mithril, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad. Elrond en pris possession à la mort de ce dernier.;;;;;x
#Other Rings
barahir;Ring of Barahir;Anneau de Barahir;;;;;;;x
barahir_desc;This character holds the Ring of Barahir; it is an ornate silver ring given to Barahir by the Elven Lord Finrod Felagund, in reward for saving his life in Dagor Bragollach. It was a sign of eternal friendship between Finrod and the House of Barahir. The ring has the likeliness of two serpents intertwined with emerald eyes. It was held by Finrod, Barahir, Beren, Dior, Elwing, Elros, and then by the Kings of Numenor, the Princes of Andunië. It is now a symbol of the heritage of the house of Isildur.;L'Anneau de Barahir fur forgé jadis par les Noldor en Valinor. Porté par Finarfin, il passa dans les mains d'augustes personnages : Finrod, Beren, Barahir, Dior, Elros, les premiers Rois de Numénor, les Princes d'Andunië. Il est aujourd'hui l'héritage de la maison d'Isildur.;;;;;;x
durin_ring;Ring of Durin;Anneau de Durin;;;;;;;x
durin_ring_desc;This character holds the Ring of Durin, the most powerful of the Seven Rings of the Dwarves, once offered to Durin III by Celebrimbor himself.;Ce personnage porte l'Anneau de Durin, le plus puissant des Sept Anneaux des Nains, offert jadis à Durin III par Celebrimbor lui-même. ;;;;;;;x
