# Population Mechanics localizations;;;;;;;x
# Moved from BR_localisations to make it easier to find;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;x
### New Population Level Modifier Stuff --------------------------------------------------;;;;;;;x
one_population_human;I Sparsely populated;;;;;;;;;;;;x
one_population_human_desc;Population level (1/7). ;;;;;;;;;;;;x
two_population_human;II Thinly populated;;;;;;;;;;;;x
two_population_human_desc;Population level (2/7).;;;;;;;;;;;;x
three_population_human;III Lightly populated;;;;;;;;;;;;x
three_population_human_desc;Population level (3/7).;;;;;;;;;;;;x
four_population_human;IV Moderately populated;;;;;;;;;;;;x
four_population_human_desc;Population level (4/7).;;;;;;;;;;;;x
five_population_human;V Broadly populated;;;;;;;;;;;;x
five_population_human_desc;Population level (5/7).;;;;;;;;;;;;x
six_population_human;VI Substantially populated;;;;;;;;;;;;x
six_population_human_desc;Population level (6/7).;;;;;;;;;;;;x
seven_population_human;VII Greatly populated;;;;;;;;;;;;x
seven_population_human_desc;Population level (7/7).;;;;;;;;;;;;x
one_population_dunedain;I Sparsely populated by Dúnedain;;;;;;;;;;;;x
one_population_dunedain_desc;Population level (1/7).;;;;;;;;;;;;x
two_population_dunedain;II Thinly populated by Dúnedain;;;;;;;;;;;;x
two_population_dunedain_desc;Population level (2/7).;;;;;;;;;;;;x
three_population_dunedain;III Lightly populated by Dúnedain;;;;;;;;;;;;x
three_population_dunedain_desc;Population level (3/7).;;;;;;;;;;;;x
four_population_dunedain;IV Moderately populated by Dúnedain;;;;;;;;;;;;x
four_population_dunedain_desc;Population level (4/7).;;;;;;;;;;;;x
five_population_dunedain;V Broadly populated by Dúnedain;;;;;;;;;;;;x
five_population_dunedain_desc;Population level (5/7).;;;;;;;;;;;;x
six_population_dunedain;VI Substantially populated by Dúnedain;;;;;;;;;;;;x
six_population_dunedain_desc;Population level (6/7).;;;;;;;;;;;;x
seven_population_dunedain;VII Greatly populated by Dúnedain;;;;;;;;;;;;x
seven_population_dunedain_desc;Population level (7/7).;;;;;;;;;;;;x
one_population_elves;I Sparsely populated by Elves;;;;;;;;;;;;x
one_population_elves_desc;Population level (1/7).;;;;;;;;;;;;x
two_population_elves;II Thinly populated by Elves;;;;;;;;;;;;x
two_population_elves_desc;Population level (2/7).;;;;;;;;;;;;x
three_population_elves;III Lightly populated by Elves;;;;;;;;;;;;x
three_population_elves_desc;Population level (3/7).;;;;;;;;;;;;x
four_population_elves;IV Moderately populated by Elves;;;;;;;;;;;;x
four_population_elves_desc;Population level (4/7).;;;;;;;;;;;;x
five_population_elves;V Broadly populated by Elves;;;;;;;;;;;;x
five_population_elves_desc;Population level (5/7).;;;;;;;;;;;;x
six_population_elves;VI Substantially populated by Elves;;;;;;;;;;;;x
six_population_elves_desc;Population level (6/7).;;;;;;;;;;;;x
seven_population_elves;VII Greatly populated by Elves;;;;;;;;;;;;x
seven_population_elves_desc;Population level (7/7).;;;;;;;;;;;;x
one_population_dwarves;I Sparsely populated by Dwarves;;;;;;;;;;;;x
one_population_dwarves_desc;Population level (1/7).;;;;;;;;;;;;x
two_population_dwarves;II Thinly populated by Dwarves;;;;;;;;;;;;x
two_population_dwarves_desc;Population level (2/7).;;;;;;;;;;;;x
three_population_dwarves;III Lightly populated by Dwarves;;;;;;;;;;;;x
three_population_dwarves_desc;Population level (3/7).;;;;;;;;;;;;x
four_population_dwarves;IV Moderately populated by Dwarves;;;;;;;;;;;;x
four_population_dwarves_desc;Population level (4/7).;;;;;;;;;;;;x
five_population_dwarves;V Broadly populated by Dwarves;;;;;;;;;;;;x
five_population_dwarves_desc;Population level (5/7).;;;;;;;;;;;;x
six_population_dwarves;VI Substantially populated by Dwarves;;;;;;;;;;;;x
six_population_dwarves_desc;Population level (6/7).;;;;;;;;;;;;x
seven_population_dwarves;VII Greatly populated by Dwarves;;;;;;;;;;;;x
seven_population_dwarves_desc;Population level (7/7).;;;;;;;;;;;;x
# non player-caused population changes -------------------------------;;;;;;;x
