#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
April;Gwirith (4);Gwirith (4);Gwirith (4);Gwirith (4);Gwirith;Gwirith;Gwirith;Gwirith;;;;;;x
August;Urui (8);Urui (8);Urui (8);Urui (8);Urui;Urui;Urui;Urui;;;;;;x
December;Girithron (12);Girithron (12);Girithron (12);Girithron (12);Girithron;Girithron;Girithron;Girithron;;;;;;x
February;Nínui (2);Nínui (2);Nínui (2);Nínui (2);Nínui;Nínui;Nínui;Nínui;;;;;;x
Friday;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;;;;;;x
January;Narwain (1);Narwain(1);Narwain(1);Narwain(1);Narwain;Narwain;Narwain;Narwain;;;;;;x
July;Cerveth (7);Cerveth (7);Cerveth (7);Cerveth (7);Cerveth;Cerveth;Cerveth;Cerveth;;;;;;x
June;Nórui (6);Nórui (6);Nórui (6);Nórui (6);Nórui;Nórui;Nórui;Nórui;;;;;;x
March;Gwaeron (3);Gwaeron (3);Gwaeron (3);Gwaeron (3);Gwaeron;Gwaeron;Gwaeron;Gwaeron;;;;;;x
May;Lothron (5);Lothron (5);Lothron (5);Lothron (5);Lothron;Lothron;Lothron;Lothron;;;;;;x
Monday;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;;;;;;x
November;Hithui (11);Hithui (11);Hithui (11);Hithui (11);Hithui;Hithui;Hithui;Hithui;;;;;;x
October;Narbeleth (10);Narbeleth (10);Narbeleth (10);Narbeleth (10);Narbeleth;Narbeleth;Narbeleth;Narbeleth;;;;;;x
Saturday;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;;;;;;x
September;Ivanneth (9);Ivanneth (9);Ivanneth (9);Ivanneth (9);Ivanneth;Ivanneth;Ivanneth;Ivanneth;;;;;;x
Sunday;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;;;;;;x
Thursday;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;;;;;;x
Tuesday;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;;;;;;x
Wednesday;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;;;;;;x
