#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAMEgoodside.1;Free Peoples;Peuples Libres;;;;;;;;;;;;x
EVTDESCgoodside.1;You are a member of the Free Peoples of Middle-Earth,and work with others to hold the Shadow at bay.;Vous êtes un membres des Peuples Libres de la Terre du Milieu, et vous tentez de banir Sauron hors de ce monde.;;;;;;;;;;;;x
EVTOPTgoodside.1;OK;OK;;;;;;;;;;;;x
EVTNAMEgoodside.2;Switching Sides;@FIXME@ Switching Sides;;;;;;;;;;;;x
EVTDESCgoodside.2;Elves are leaving, and there is no strength left in men. Perhaps, it would be wise to ... join the winning side and serve Sauron willingly?;@FIXME@ Elves are leaving, and there is no strength left in men. Perhaps, it would be wise to ... join the winning side and serve Sauron willingly?;;;;;;;;;;;;x
EVTOPTAgoodside.2;It might indeed be wise...;@FIXME@ It might indeed be wise...;;;;;;;;;;;;x
EVTOPTBgoodside.2;That would be madness!;@FIXME@ That would be madness!;;;;;;;;;;;;x
EVTNAMEgoodside.3;Corrupted Ruler;@FIXME@ Corrupted Ruler;;;;;;;;;;;;x
EVTDESCgoodside.3;Your liege-lord has submitted to Sauron! Do you declare independence, or keep to your oaths?;@FIXME@ Your liege-lord has submitted to Sauron! Do you declare independence, or keep to your oaths?;;;;;;;;;;;;x
EVTOPTAgoodside.3;I will not serve this traitor!;@FIXME@ I will not serve this traitor!;;;;;;;;;;;;x
EVTOPTBgoodside.3;Perhaps my liege is right...;@FIXME@ Perhaps my liege is right...;;;;;;;;;;;;x
EVTNAMEgoodside.4;Vassal rejects you;@FIXME@ Vassal rejects you;;;;;;;;;;;;x
EVTDESCgoodside.4;Ally with Sauron? Your will has turned to madness, and you are faithless and accursed! I declare my bond to you broken.;@FIXME@ Ally with Sauron? Your will has turned to madness, and you are faithless and accursed! I declare my bond to you broken.;;;;;;;;;;;;x
EVTOPTAgoodside.4;I'll see you dead for this!;@FIXME@ I'll see you dead for this!;;;;;;;;;;;;x
EVTOPTBgoodside.4;None can withstand the will of Sauron.;@FIXME@ None can withstand the will of Sauron.;;;;;;;;;;;;x
EVTNAMEgoodside.5;Corrupted Ruler;@FIXME@ Corrupted Ruler;;;;;;;;;;;;x
EVTDESCgoodside.5;Your liege-lord has submitted to Sauron! Do you leave his court, or follow him into darkness?;@FIXME@ Your liege-lord has submitted to Sauron! Do you leave his court, or follow him into darkness?;;;;;;;;;;;;x
EVTOPTAgoodside.5;I will not serve this traitor!;@FIXME@ I will not serve this traitor!;;;;;;;;;;;;x
EVTOPTBgoodside.5;I will stay loyal.;@FIXME@ I will stay loyal.;;;;;;;;;;;;x
EVTNAMEgoodside.6;Courtier supports you;@FIXME@ Courtier supports you;;;;;;;;;;;;x
