#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COLLEGE_OF_CARDINALS;The White Council;Le Conseil Blanc;;;;;;;;;;;;x
expected_next_title_cardinal;Expected Next Member;Prochain membre prévu;;;;;;;;;;;;x
expected_next_title_cardinal_tooltip;This character is powerful among the Free Peoples, and can pretend to a place in the White Council.;Ce personnage est puissant parmi les Peuples Libres, et peut pretendre à une place au Conseil Blanc.;;;;;;;;;;;;x
best_candidate_title_cardinal;My Best Candidate;Mon meilleur Candidat;;;;;;;;;;;;x
best_candidate_title_cardinal_tooltip;Of all my subjects, it is best placed to represent me to the White Council.;De tous mes sujets, celui-ci est le mieux placé pour me représenter au Conseil Blanc.;;;;;;;;;;;;x
PREFERATI;Next Head;Prochain Chef;;;;;;;;;;;;x
PREFERATI_TOOLTIP;This character will be the next head of the White Council, if the current one die.;Ce personnage sera le prochain Chef du Conseil Blanc, si le Chef actuel meurt.;;;;;;;;;;;;x
POPE;Head;Chef;;;;;;;;;;;;x
title_cardinal;Member of the White Council;Membre du Conseil Blanc;;;;;;;;;;;;x
CURRENT_CHOICE_DESC;This is the Member's current choice for the next Head of the White Council.;Voici pour qui compte voter ce membre.;;;;;;;;;;;;x
d_white_council;White Council;Conseil Blanc;;;;;;;;;;;;x
d_white_council_adj;White Council's;Conseil Blanc;;;;;;;;;;;;x
