#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
search_for_meneltarma;search for meneltarma;;;;;;x
search_for_meneltarma_desc;Some legends say that the top of Meneltarma is still visible and accessible to the most skilled sailors. Will you try this improbable journey?;;;;;;x
fell_beast;Fellbeast;;;;;;x
fell_beast_desc;This character rides a fellbeast into battle. The fell beasts were described as large, winged creatures without feathers.;;;;;;x
religion_group_eldar_opinion;Elven Opinion;;;;;;x
religion_group_periannath_opinion;Hobbit Opinion;;;;;;x
religion_group_khazad_opinion;Dwarven Opinion;;;;;;x
religion_group_melkor_opinion;Opinion from Evil Races;;;;;;x
religion_group_ungoliant_opinion;Spider Opinion;;;;;;x
religion_group_dragon_opinion;Draconic Opinion;;;;;;x
religion_group_eruhini_opinion;Opinion from Ainur (and Eagles);;;;;;x
religion_group_enyd_opinion;Entish Opinion;;;;;;x
religion_group_edain_opinion;Edain Opinion;;;;;;x
religion_group_hildor_opinion;Opinion from Men of Darkness;;;;;;x
religion_druedain_opinion;Drúedain Opinion;;;;;;x
religion_edain_opinion;Original Edain Opinion;;;;;;x
religion_dunedain_opinion;Dúnedain Opinion;;;;;;x
religion_numenorean_opinion;Númenórean Opinion;;;;;;x
religion_rhovanion_opinion;Northmen Opinion;;;;;;x

