#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
EVTDESC318;A bastard child is born, but is not recognized as such by the spouse of the mother;;;;;;x
EVTDESC312;A child of the consort is born;;;;;;x
EVTOPTA12;OK;;;;;;x
EVTDESC414;The consort's liege suspects something ain't right;;;;;;x
EVTOPTA414;I know who is the father!;;;;;;x
EVTTOOLTIP414;I know who is the father!;;;;;;x
EVTOPTA8050;OK;;;;;;x
EVTOPTB_REP_304_tooltip;OK;;;;;;x
EVTOPTC4115;What! Are you kidding...;;;;;;;;;;;;;x
EVTDESC64145;Your lover becomes pregnant.;;;;;;;;;;;;;x
EVTOPTA64145;OK then...;;;;;;;;;;;;;x
EVTTOOLTIP64132;Your spouse is ill no more.;;;;;;;;;;;;;x
EVTDESC64132;Your spouse is ill no more.;;;;;;;;;;;;;x
EVTOPTA64132;OK then...;;;;;;;;;;;;;x
EVTTOOLTIP64131;Your spouse is stressed no more.;;;;;;;;;;;;;x
EVTDESC64131;Your spouse is stressed no more.;;;;;;;;;;;;;x
EVTOPTA64131;OK then...;;;;;;;;;;;;;x
EVTDESC64095;Your wife is pregnant, but you are not the father.;;;;;;;;;;;;;x
EVTOPTA64095;Behead her.;;;;;;;;;;;;;x
EVTOPTC64095;Forgive her.;;;;;;;;;;;;;x
EVTDESC30094;Failed Activity.;;;;;;;;;;;;;x
EVTOPTA30094;Too bad!;;;;;;;;;;;;;x
EVTOPTB30094;Let's try again!;;;;;;;;;;;;;x
EVTDESC30093;Perfect Activity.;;;;;;;;;;;;;x
EVTOPTA30093;Friends forever!;;;;;;;;;;;;;x
EVTOPTB30093;Let's try again!;;;;;;;;;;;;;x
EVTDESC30087;A new courtier friend.;;;;;;;;;;;;;x
EVTOPTA30087;Great!;;;;;;;;;;;;;x
EVTOPTD3602;OK;;;;;;;;;;;;;x
NotShown;NotShown;;;;;;;;;;;;;x
EVTDESC45340;Death of a dynasty member.;;;;;;;;;;;;;x
EVTOPTA45340;OK;;;;;;;;;;;;;x
EVTDESC209;A gift is sent.;;;;;;;;;;;;;x
A;A;;;;;;;;;;;;;x
B;B;;;;;;;;;;;;;x
#that's a cool event debug thingy imo
DEBUGDESC;EVENT = $EVENT$,\nROOT = [Root.GetBestName] ([Root.GetID]),\nTHIS = [This.GetBestName] ([This.GetID]),\nFROM = [From.GetBestName] ([From.GetID]),\nFROMFROM = [FromFrom.GetBestName] ([FromFrom.GetID]);;;;;;x
