# New Localizations for the post 0.7 buildings, for Black Numenoreans/Adûnaic;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;x
# City starts on line 87#;;;;;;;x
# Specials start on line 162;;;;;;;x
#;;;;;;;x
# Castle Buildings;;;;;;;x
ca_BNwalltower_1;Wooden Observation Tower;;;;;;x
ca_BNwalltower_1_desc;A well fortified fortress includes towers, often as part of the walls.;;;;;;x
ca_BNwalltower_2;Basic Wall Towers;;;;;;x
ca_BNwalltower_3;Small Guard Towers;;;;;;x
ca_BNwalltower_4;Adûnâim Guard Towers;;;;;;x
ca_BNwalltower_5;Large Adûnâim Guard Towers;;;;;;x
ca_BNwalltower_6;Mighty Adûnâim Guard Towers;;;;;;x
#Walls, gives fortlevel, garrison size and income;;;;;x
ca_BNwall_1;Wooden Pallisade;;;;;;x
ca_BNwall_1_desc;Those of Anadûnê build the Best Walls, which protect so well from foreigners.;;;;;;x
ca_BNwall_2;Basic Stone Wall;;;;;;x
ca_BNwall_3;Small Stone Wall;;;;;;x
ca_BNwall_4;Adûnâim Stone Wall;;;;;;x
ca_BNwall_5;Large Adûnâim Wall;;;;;;x
ca_BNwall_6;Mighty Adûnâim Wall;;;;;;x
#Keeps, slight levy and garrison increase, but extra money and tech growth;;;;;x
ca_BNkeep_1;Garrison House;;;;;;x
ca_BNkeep_1_desc;Those of Anadûnê build the Best Keeps, giving wealth and skill.;;;;;;x
ca_BNkeep_2;Basic Adûnâim Keep;;;;;;x
ca_BNkeep_3;Small Adûnâim Keep;;;;;;x
ca_BNkeep_4;Adûnâim Keep;;;;;;x
ca_BNkeep_5;Large Adûnâim Keep;;;;;;x
ca_BNkeep_6;Mighty Adûnâim Keep;;;;;;x
#Training grounds, gives morale and reinforce rate;;;;;x
ca_BNtraining_grounds_1;Practice Area;;;;;;x
ca_BNtraining_grounds_1_desc;Soldiers build their skills at the Training Grounds, giving morale and reinforcements.;;;;;;x
ca_BNtraining_grounds_2;Basic Training Grounds;;;;;;x
ca_BNtraining_grounds_3;Small Training Grounds;;;;;;x
ca_BNtraining_grounds_4;Training Grounds;;;;;;x
ca_BNtraining_grounds_5;Extensive Training Grounds;;;;;;x
ca_BNtraining_grounds_6;Massive Training Grounds;;;;;;x
#Castle town, gives income;;;;;x
ca_BNtown_1;Small Castle Hamlet;;;;;;x
ca_BNtown_1_desc;There are some families living in the castle.;;;;;;x
ca_BNtown_2;Large Castle Hamlet;;;;;;x
ca_BNtown_2_desc;There are a substantial amount of people living by the castle;;;;;;x
ca_BNtown_3;Small Castle Town;;;;;;x
ca_BNtown_3_desc;There is a small town supporting the castle.;;;;;;x
ca_BNtown_4;Castle Town;;;;;;x
ca_BNtown_4_desc;The community near the castle is large enough to be a town.;;;;;;x
ca_BNtown_5;Large Castle Town;;;;;;x
ca_BNtown_5_desc;The community near the castle is the size of a large town.;;;;;;x
ca_BNtown_6;Castle City;;;;;;x
ca_BNtown_5_desc;The castle community is a substantial city, generating much wealth.;;;;;;x
##Black Numenoreans and Adunaic##;;;;;x
ca_Bnumen_traditions;Hall of the Lore of Anadûnê;;;;;;x
ca_Bnumen_traditions_desc;Here, the true history and lore of Anadûnê is kept, for Lords to contemplate.;;;;;;x
# Numenorean Barracks, heavy infantry and archers
ca_Bnumen_barracks_1;Soldier's Quarters;;;;;;x
ca_Bnumen_barracks_1_desc;The Adûnâim are respected for the strength of their foot soldiers;;;;;;x
ca_Bnumen_barracks_2;Basic Barracks;;;;;;x
ca_Bnumen_barracks_3;Small Barracks;;;;;;x
ca_Bnumen_barracks_4;Adûnâim Barracks;;;;;;x
ca_Bnumen_barracks_5;Large Adûnâim Barracks;;;;;;x
ca_Bnumen_barracks_6;Mighty Adûnâim Barracks;;;;;;x
#Black Hand Quartery;;;;;x
ca_blackhand_1;Black Hand Quarters;;;;;;x
ca_blackhand_1_desc;The Black Hand are the elite Heavy Infantry of Anadûnê (Black Númenor).;;;;;;x
ca_blackhand_2;Basic Black Hand Barracks;;;;;;x
ca_blackhand_3;Small Black Hand Barracks;;;;;;x
ca_blackhand_4;Black Hand Barracks;;;;;;x
ca_blackhand_5;Large Black Hand Barracks;;;;;;x
ca_blackhand_6;Mighty Black Hand Barracks;;;;;;x
#Stable, gives light cavalry, and some knights;;;;;x
ca_Bnumen_stable_1;Cavalry Stalls;;;;;;x
ca_Bnumen_stable_1_desc;The Adûnâim have cavalry, and this building supports them.;;;;;;x
ca_Bnumen_stable_2;Basic Stable;;;;;;x
ca_Bnumen_stable_3;Small Stables;;;;;;x
ca_Bnumen_stable_4;Stables;;;;;;x
ca_Bnumen_stable_5;Large Stables;;;;;;x
ca_Bnumen_stable_6;Mighty Stables;;;;;;x
#Corsairs of Umbar#;;;;;x
ca_corsairs_1;Basic Corsair Shipyards;;;;;;x
ca_corsairs_desc;The Corsairs of Umbar are a feared force of Pirates and raiders, and a notorious enemy of Gondor;;;;;;x
ca_corsairs_2;Small Corsair Shipyards;;;;;;x
ca_corsairs_3;Corsair Shipyards;;;;;;x
ca_corsairs_4;Large Corsair Shipyards;;;;;;x
ca_bnpalace;Residence of the Overlord;;;;;;x
ca_bnpalace_desc;Luxurious residences for the ruler of this castle.;;;;;;x
#--------------------------------------------------------------------;;;;;;;x
# City Buildings;;;;;;;x
# Wall Towers, garrison size
ct_BNwalltower_1;Wooden Observation Tower;;;;;;x
ct_BNwalltower_1_desc;A well fortified city includes towers, often as part of the walls.;;;;;;x
ct_BNwalltower_2;Basic Wall Towers;;;;;;x
ct_BNwalltower_3;Small Guard Towers;;;;;;x
ct_BNwalltower_4;Adûnâim Guard Towers;;;;;;x
ct_BNwalltower_5;Large Adûnâim Guard Towers;;;;;;x
ct_BNwalltower_6;Mighty Adûnâim Guard Towers;;;;;;x
#Walls, gives fortlevel, garrison size and income;;;;;;;x
ct_BNwall_1;Wooden Pallisade;;;;;;x
ct_BNwall_1_desc;Those of Anadûnê build the Best Walls, which protect so well from foreigners.;;;;;;x
ct_BNwall_2;Basic Stone Wall;;;;;;x
ct_BNwall_3;Small Stone Wall;;;;;;x
ct_BNwall_4;Adûnâim Stone Wall;;;;;;x
ct_BNwall_5;Large Adûnâim Wall;;;;;;x
ct_BNwall_6;Mighty Adûnâim Wall;;;;;;x
#Keeps, slight levy and garrison increase, but extra money and tech growth;;;;;;;x
ct_BNkeep_1;Village Garrison House;;;;;;x
ct_BNkeep_1_desc;Those of Anadûnê build Keeps within towns and cities, to control the populace and give wealth and skill.;;;;;;x
ct_BNkeep_2;Basic Adûnâim Town Keep;;;;;;x
ct_BNkeep_3;Small Adûnâim Town Keep;;;;;;x
ct_BNkeep_4;Adûnâim Urban Keep;;;;;;x
ct_BNkeep_5;Large Urban Adûnâim Keep;;;;;;x
ct_BNkeep_6;Mighty Urban Adûnâim Keeps;;;;;;x
#Training grounds, gives morale and reinforce rate;;;;;;;x
ct_BNtraining_grounds_1;Village Practice Area;;;;;;x
ct_BNtraining_grounds_1_desc;Even in Towns and Cities, Soldiers build their skills at the Training Grounds, giving morale and reinforcements.;;;;;;x
ct_BNtraining_grounds_2;Basic Town Training Ground;;;;;;x
ct_BNtraining_grounds_3;Small Town Training Grounds;;;;;;x
ct_BNtraining_grounds_4;Urban Training Grounds;;;;;;x
ct_BNtraining_grounds_5;Extensive Urban Training Grounds;;;;;;x
ct_BNtraining_grounds_6;Massive Urban Training Grounds;;;;;;x
# Castle Town (execpt this is a city) gives income;;;;;;;x
ct_BNtown_1;Merchant Stalls;;;;;;x
ct_BNtown_1_desc;There are some stalls to tax.;;;;;;x
ct_BNtown_2;Basic Marketplace;;;;;;x
ct_BNtown_2_desc;There are enough merchants to perhaps qualify as a market.;;;;;;x
