# New Localizations for the post 0.7 buildings, for Dwarves;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;x
# City starts on line 129 ;;;;;;;x
# Specials Start on Line 229 ;;;;;;;x
# Temple starts line 257 ;;;;;;;x
# Dwarven Castle;;;;;;;x
ca_dwarvenfortifications_1;Basic Stone Dike;;;;;;x
ca_dwarvenfortifications_1_desc;The Dwarves are master Masons, and given time, can build fortifications upon which armies break like water.;;;;;;x
ca_dwarvenfortifications_2;Rough Stone Wall;;;;;;x
ca_dwarvenfortifications_3;Small Dwarven Fortifications;;;;;;x
ca_dwarvenfortifications_4;Dwarven Fortifications;;;;;;x
ca_dwarvenfortifications_5;Large Dwarven Fortifications;;;;;;x
ca_dwarvenfortifications_6;Dwarven Runic Fortifications;;;;;;x
ca_dwarfkeep_1;Garrison House;;;;;;x
ca_dwarfkeep_1_desc;Keeps, gives levy and garrison size;;;;;;x
ca_dwarfkeep_2;Basic Dwarven Keep;;;;;;x
ca_dwarfkeep_3;Small Dwarven Keep;;;;;;x
ca_dwarfkeep_4;Dwarven Keep;;;;;;x	
ca_dwarfkeep_5;Large Dwarven Keep;;;;;;x
ca_dwarfkeep_6;Huge Dwarven Keep;;;;;;x
ca_Dtrainging_grounds_1;Training Room;;;;;;x
ca_Dtrainging_grounds_1_desc;A place to train, with axes or otherwise, is needed to supply skilled troops.;;;;;;x
ca_Dtrainging_grounds_2;Basic Training Galleries;;;;;;x
ca_Dtrainging_grounds_3;Small Training Galleries;;;;;;x
ca_Dtrainging_grounds_4;Training Galleries;;;;;;x
ca_Dtrainging_grounds_5;Large Training Galleries;;;;;;x
ca_Dtrainging_grounds_6;Huge Training Gallery Complex;;;;;;x
ca_Dtown_1;Basic Dwelling Galleries;;;;;;x
ca_Dtown_1_desc;The Small Dwelling Galleries of this fortress provide housing to some families of soldiers.;Les Petites galeries d'habitations de la forteresse apporte logement à certaines familles des soldats.;;;;;x
ca_Dtown_2;Large Dwelling Galleries;;;;;;x
ca_Dtown_2_desc;The Large Dwelling Galleries of the fortress provide housing to all the families of soldiers.;Les Grandes Galeries d'habitations de la forteresse apporte logement aux familles des soldats.;;;;;x
ca_Dtown_3;Small Dwarven Dwelling Halls;;;;;;x
ca_Dtown_3_desc;The Halls of the fortress provides housing to some merchants.;Les Salles de la forteresse apporte un espace pour quelques marchands.;;;;;x
ca_Dtown_4;Dwarven Dwelling Halls;;;;;;x
