# New Localizations for the post 0.7 buildings, for Elves;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;x
# City starts on line 184#;;;;;;;x
#;;;;;;;x
# Temple Stars on Page 356;;;;;;;x
# Castle Buildings;;;;;;;x
ca_Ewalltower_1;Wooden Observation Tower;;;;;;x
ca_Ewalltower_1_desc;A well fortified fortress includes towers, often as part of the walls.;;;;;;x
ca_Ewalltower_2;Basic Wall Towers;;;;;;x
ca_Ewalltower_3;Small Guard Towers;;;;;;x
ca_Ewalltower_4;Guard Towers;;;;;;x
ca_Ewalltower_5;Large Guard Towers;;;;;;x
ca_Ewalltower_6;Legendary Guard Towers;;;;;;x
#Walls, gives fortlevel, garrison size and income
ca_Ewall_1;Wooden Pallisade;;;;;;x
ca_Ewall_1_desc;Although Elven settlements are often hidden, Walls are still necessary for defense.;;;;;;x
ca_Ewall_2;Basic Stone Wall;;;;;;x
ca_Ewall_3;Small Stone Wall;;;;;;x
ca_Ewall_4;Stone Wall;;;;;;x
ca_Ewall_5;Large Stone Wall;;;;;;x
ca_Ewall_6;Legendary Wall;;;;;;x
#Keeps, slight levy and garrison increase, but extra money and tech growth;;;;;;;x
ca_Ekeep_1;Garrison House;;;;;;x
ca_Ekeep_1_desc;Keeps and Blockhouses are places where weapons are stored and organizsed.;;;;;;x
ca_Ekeep_2;Basic Elven Keep;;;;;;x
ca_Ekeep_3;Small Elven Keep;;;;;;x
ca_Ekeep_4;Elven Keep;;;;;;x	
ca_Ekeep_5;Large Elven Keep;;;;;;x
ca_Ekeep_6;Legendary Elven Keep;;;;;;x
# Flets;;;;;;;x
ca_telain1;Basic Tree Platform;;;;;;x
ca_telain_desc;Flets, or Telain, are plaforms built in Trees. They are a standard part of Wood-Elf architecture, and provide internal defenses.;;;;;;x
ca_telain2;Basic Flet;;;;;;x
ca_telain3;Small Flet;;;;;;x
ca_telain4;Flet;;;;;;x
ca_telain5;Large Flet;;;;;;x
ca_telain6;Legendary Flet;;;;;;x
#elven forges;;;;;;;x
ca_elven_forge1;Small Elven Forge;;;;;;x
ca_elven_forge_desc;While the Elves are not as renowned as the Dwarves for smith-craft, they can still be quite skilled.;;;;;;x
ca_elven_forge2;Elven Forges;;;;;;x
ca_elven_forge3;Large Elven Forges;;;;;;x
# Healing;;;;;;;x
ca_healing;Houses of Healing;;;;;;x
