#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
help_liege;Join the War;Rejoindre la guerre;;;x
help_liege_desc;Join your liege's war;Aider votre Suzerain dans sa guerre;;;x
help_liege_defend;Defend your Liege;Défendre votre Suzerain;;;x
help_liege_defend_desc;Give all your levies to your liege;Envoyer toutes vos troupes à votre Suzerain;;;x
pledge;Pledge;Engagement;;;x
pledge_building;Pledge;Point de rassemblement;;;x
stop_liege_defend;Withdraw Pledge;Stopper l'aide;;;x
stop_liege_defend_desc;Withdraw your troops;Ramener vos troupes;;;x
PLG102;My liege, we will fight along side you!;Mon Seigneur, nous nous battrons à vos côtés !;;;x
PLG104;My Liege, all of my troops are ready for your command. We will defend your name!;Mon Seigneur, toute mon armée est prête à agir sous vos ordres. Nous défendrons votre nom !;;;x
PLGT100;You will join your liege's wars.;Vous allez rejoindre votre Suzerain dans sa guerre.;;;x
PLGT104;You will support your liege by supplying troops.;Vous allez aider votre Suzerain en lui envoyant des troupes.;;;x
