#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
#One Ring and Ringbearer
onering;The One Ring;Anneau de Pouvoir;;;;;x
onering_desc;This character holds the One Ring, the greatest of the Rings of Power and the most powerful artifact in Middle-Earth.;L'Anneau de Pouvoir, forgé par Sauron dans les flammes de la Montagne du Destin, mais qu'il perdit lors de la Guerre de la Dernière Alliance. Perdu après la mort d'Isildur aux Champs-aux-Iris, il fut retrouvé par un être du nom de Gollum.;;;;;x
ringbearer1;Former Ring-bearer;Ancien Porteur de l'Anneau;;;;;x
ringbearer1_desc;The 'Ring-bearer' is a title given to those who, at some point in their lives, carried or wore the One Ring. The life of this Ring-bearer is now happier and less troubled since the destruction of the One Ring.;Les Porteurs de l'Anneau ont, à un moment de leurs vies, tenus l'Anneau Unique entre leurs mains. La vie du Porteur est maintenant plus joyeuse depuis que l'Anneau a été détruit.;;;;;x
ringbearer2;Ring-bearer;Porteur de l'Anneau;;;;;x
ringbearer2_desc;The 'Ring-bearer' is a title used for those individuals who, at some point in their lives, carried or wore the One Ring. The life of this Ring-bearer is still tormented and afflicted since the Ring has not been destroyed yet.;Les Porteurs de l'Anneau ont, à un moment de leurs vies, tenus l'Anneau Unique entre leurs mains. Le Porteur est encore tourmenté par l'Anneau, qui n'est pas détruit.;;;;;x
#Nine RIngs of Mortal Men
ring_murazor;Ring of Mûrazôr;;;;;;x
ring_murazor_desc;This is the Ring of Mûrazôr. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_khamul;Ring of Khamûl;;;;;;x
ring_khamul_desc;This is the Ring of Khamûl. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_akhorahil;Ring of Akhôrahil;;;;;;x
ring_akhorahil_desc;This is the Ring of Akhôrahil. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_adunaphazor;Ring of Adûnaphazôr;;;;;;x
ring_adunaphazor_desc;This is the Ring of Adûnaphazôr. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_dwar;Ring of Dwar;;;;;;x
ring_dwar_desc;This is the Ring of Dwar. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_jiundur;Ring of Indûr;;;;;;x
ring_jiundur_desc;This is the Ring of Indûr. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_ren;Ring of Ren;;;;;;x
ring_ren_desc;This is the Ring of Ren. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_uvatha;Ring of Ûvatha;;;;;;x
ring_uvatha_desc;This is the Ring of Ûvatha. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
ring_abrazir;Ring of Abrazîr;;;;;;x
ring_abrazir_desc;This is the Ring of Abrazîr. It's one of the Rings of Power intended by Sauron to seduce the mannish rulers and bend them to his will.;;;;;;x
#Other Rings
dwarf_ring;Dwarf-Ring;Anneau des Nains;;;;;;;x
dwarf_ring_desc;This character carries one of the Rings of the Dwarves, given by Sauron to the Dwarf-Lords during the Second Age.;Ce personnage porte l'un des Anneaux des Nains, donné par Sauron aux Seigneurs Nains, durant le Second Âge.;;;;;x
lesser_ring;Lesser Ring;Anneau Mineur;;;;;;;x
lesser_ring_desc;The Lesser Rings were forged by the elves as essays in the craft of ring making. These rings were made sometime between S.A. 1200, when Sauron came in disguise to Eregion, and 1500, when they began crafting the greater Rings of Power.;Les Anneaux Mineurs ont été forgés par les elfes, essayant de réaliser des Anneaux de Pouvoirs. Ces anneaux ont été faits autrefois entre SA 1200, quand Sauron est venu déguisé en Eregion, et 1500, quand ils ont commencé l'élaboration des Anneaux de Pouvoir.;;;;;x
ring_saruman;Ring of Saruman;Anneau de Saruman;;;;;;;x
ring_saruman_desc;Saruman, in his desire to imitate Sauron, attemped to forge for himself a Ring of Power. This he wore during the War of the Ring which he revealed when he called himself "Saruman the Ring-maker". He had great knowledge and lore of the magic rings created by Sauron and by the Elven-smiths, though at this time the full art of ring-making was lost and known only to Sauron and so Saruman's knowledge of the craft was incomplete. The Ring of Saruman is thus considered as a Lesser Ring.;"Saruman, dans son désir d'imiter Sauron, a tenté de forger lui-même un anneau de pouvoir. C'est uniquement lors de la Guerre de l'Anneau qu'il le révèle, s'appelant lui-même ""Saruman le Faiseur-d'Anneaux"". Il avait une grande connaissance des traditions des anneaux magiques créés par Sauron et les forgerons Elfes, mais l'art de cette époque a été perdu des elfes et est connu seulement de Sauron. Par conséquent, les connaissances de Saroumane était incomplète. L'Anneau de Saruman est considéré comme un Anneau Mineur.";;;;;x
#Numenorean Artefacts (excepting Palantiri)
annuminas;Scepter of Annúminas;Sceptre d'Annunimas;;;;;;;x
annuminas_desc;This character holds the scepter of Annuminas, the symbol of royalty for the Kings of Arnor. The Sceptre of Annúminas was a silver rod originally borne by the Lords of Andúnië in Númenor, and it was patterned after the sceptre of the Kings of Númenor.;Ce personnage brandis le Sceptre d'Annunimas, symbole du pouvoir des Rois d'Arnor.;;;;;x
#Gondorian Artefacts
horngondor;Horn of Gondor;Le Cor du Gondor;;;;;;;x
horngondor_desc;This character holds the Horn of Gondor. It is a large bone war-horn tipped with silver engraved in ancient characters.;Ce personnage possède le Cor du Gondor.;;;;;x
stewardscept;Scepter of the Steward;Le Sceptre de l'Intendant;;;;;;;x
stewardscept_desc;This character holds the Scepter of the Steward. The emblem of the power of Gondor's Stewards.;Ce personnage possède le Sceptre des Intendants du Gondor, une simple baguette blanche, symbole de leur pouvoir dans le Royaume du Sud.;;;;;x
# Haradrim and other Sourthern Stuff
seal_herumor;Seal of Herumor;;;;;;x
seal_herumor_desc;The seal of the ancient Haradrim king;;;;;;;x
crown_herumor;Crown of Herumor;;;;;;x
crown_herumor_desc;The black crown of the ancient Haradrim king;;;;;;x
#Palantiri
obsessed_by_palantir;Obsessed with Palantír;;;;;;;;;x
obsessed_by_palantir_desc;This character has become obsessed with looking into the palantír. They look into it regularly and forbid anyone else from using it..;;;;;;x
#Elvish Artefacts
elessar;Elessar;l'Elessar;;;;;;;x
elessar_desc;This character holds the Elessar, also named Elfstone,  it is an Elven green gem set on a silver eagle-shaped brooch. It had the light of the Sun within it and those who looked through it saw everything that was aged and withered as young once more.;L'Elessar, deuxième du nom, est un bijou en forme d'aigle, serti d'une grande pierre verte claire, fabriqué pour Galadriel. Elle le donna à sa fille Celebrian, qui le céda à sa propre fille Arwen. Cette dernière en fit don en gage d'amour à Aragorn.;;;;;x
elf_brooch;Elf Brooch;Broche Elfe;;;;;;;x
elf_brooch_desc;This Brooch was made with a beautiful gemstone by an elf artisan, with the ancient art of the Noldor.;Cette broche a été réalisée avec une sompteuse pierre précieuse par un artisan elfe, et avec tout l'art des Noldor.;;;;;x
elf_necklace;Elf Necklace;Collier Elfe;;;;;;;x
elf_necklace_desc;This Elf Necklace was made by an elf artisan, and was made with many gems. ;Ce colllier elfe a été réalisé par un artisan elfe, et est serti de nombreuses pierres précieuses.;;;;;x
#Dwarven Artefacts
arkenstone;Arkenstone;L'Arkenstone;;;;;;;x
arkenstone_desc;This character holds the Arkenstone, also known as the Heart of the Mountain. It is a wondrous gem found in the deeps of Erebor by Thorin's ancestor Thrain I and shaped by the Dwarves as a jewel. It's one of the most important treasures among Dwarves, and became a symbol of the royal line of Durin.;L'Arkenstone est une pierre d'une beauté incomparable, trouvée par Thrain I dans les profondeurs d'Erebor.;;;;;x
dwarf_jewel;Polished Jewel;Joyau Façonné;;;;;;;x
dwarf_jewel_desc;This Gemstone was polished by a dwarf artisan, in the heart of a moutain. The brilliance of this stone is reknowned in all Middle-Earth.;Cette pierre précieuse a été façonnée par un artisan nain, dans le cœur d'une montagne. Son éclat est réputé dans toute la Terre-du-Milieu.;;;;;x
dwarf_necklace;Dwarf Necklace;Collier Nain;;;;;;;x
dwarf_necklace_desc;This Dwarf Necklace was made by a dwarf artisan, in the heart of a mountain, with several gems. ;Ce Collier Nain a été réalisé par un artisan nain, dans le cœur d'une montagne, et est serti par de nombreuses pierres précieuses.;;;;;x
