#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
#Good/Evil
good_side;Guardian of Middle-Earth;Gardien de la Terre du Milieu;;;;;;;;;;;;x
good_side_desc;This character is part of and working to aid the free peoples of Middle-Earth.;Ce personnage fait tout son possible pour aider les Peuples Libres de la Terre du Milieu.;;;;;;;;;;;;x
evil_side;Corrupted by Darkness;Corrompu par les Ténèbres;;;;;;;;;;;;x
evil_side_desc;This character has been corrupted by the darkness of Morgoth.;Ce personnage a été corrompu par les mensonges de Sauron.;;;;;;;;;;;;x
#Pilgrimages/Journeys/Awayness
journey_to_valinor;Journey to Valinor;A Navigué vers Valinor;;;;;x
journey_to_valinor_desc;This character left Middle-Earth and sailed to Valinor, the realm of the Valar in Aman, also known as the Undying Lands.;Ce personnage a quitté la Terre du Milieu pour rejoindre Valinor, le royaume des Valar en Aman, connu également sous le nom de Terres Immortelles.;;;;;x
sailed_west;Sailed to Valinor;A Navigué vers Valinor;;;;;x
sailed_west_desc;This character left Middle-Earth and sailed to Valinor, the realm of the Valar in Aman, also known as the Undying Lands.;Ce personnage a quitté la Terre du Milieu pour rejoindre Valinor, le royaume des Valar en Aman, connu également sous le nom de Terres Immortelles.;;;;;x
#Numenorean/Gondorian Titles including -dacil
heir_of_isildur;Heir of Isildur;Héritier d'Isildur;;;;;x
heir_of_isildur_desc;This character is the true heir of Isildur, the last King of Arnor and Gondor, dead through the Gladden Fields in 3209 of the Second Age.;Ce personnage est le véritable héritier d'Isildur.;;;;;x
angmardacil;Angmardacil;Angmardacil;;;;;x
angmardacil_desc;Angmardacil means Victorious against Angmar. This character defeated the Witch King and his armies from Angmar in a decisive way, and conquered these lands.;Angmardacil signifie Victorieux contre Angmar. Ce personnage a vaincu le Roi Soricer et ses armées d'Angmar de façon décisive et a conquis ces terres.;;;;;x
hyarmendacil;Hyarmendacil;Hyarmendacil;;;;;x
hyarmendacil_desc;Hyarmendacil means South-Victor. His character won a war against the men of Harad, and has conquered a lot of new lands for Gondor at South.;Hyarmendacil signifie Victorieux du Sud. Ce personnage a remporté une guerre contre les Hommes de Harad, et a annexé de larges terres du Sud au Royaume du Gondor.;;;;;x
romendacil;Rómendacil;Rómendacil;;;;;x
romendacil_desc;Rómendacil means East-Victor. This character won a war against the peoples of Rhun, destroying this treath at East of Gondor.;Rómendacil signifie Victorieux de l'Est. Ce personnage a vaincu les légions de Rhûn, et a mis fin à la menace qu'ils faisaient peser sur l'Est du Royaume.;;;;;x
umbardacil;Umbardacil;Umbardacil;;;;;x
umbardacil_desc;Umbardacil means Umbar-Victor. This character won a war against the corsairs of Umbar, and conquered these lands for the glory of Gondor.;Umbardacil signifie Victorieux d'Umbar. Ce personnage a vaincu les corsaires d'Umbar, et a annexé ce territoire pour la gloire du Gondor.;;;;;x
ship_king;Ship-King;Roi-Navigateur;;;;;x
ship_king_desc;The Ship-kings did much to expand Gondor's naval and military might. Between them, they enormously extended the South-kingdom's control over the southern lands of Middle-earth, including the lands west of the Mouths of Anduin, and as far south as Umbar and the Harad. Their influence was such that, at the end of the reign of Hyarmendacil I, Gondor had reached a peak of strength and power that it would never again surpass.;Les Rois-Navigateurs ont fait beaucoup pour développer la puissance navale et militaire du Gondor. Ils ont étendu considérablement le contrôle du Royaume du Sud sur les terres du sud de la Terre du Milieu, y compris les terres à l'ouest des Bouches de l'Anduin, et aussi loin au sud que Umbar et le Harad. Leur influence était telle que, à la fin du règne de Hyarmendacil I, Gondor avait atteint un pic de force et de puissance qu'il ne serait plus jamais en mesure de dépasser.;;;;;x
#White Council
white_council;White Council Member;Membre du Conseil Blanc;;;;;x
white_council_desc;This character is a member of the White Council, regarded among the wisest people of Middle Earth.;Ce personnage est un membre du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;;;x
leader_whitecouncil;Head of the White Council;Chef du Conseil Blanc;;;;;x
leader_whitecouncil_desc;This character is the Head of the White Council, and protect the Middle-Earth from Evil.;Ce personnage est le Chef du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;;;x
#Melkor Titles/Groups/Cults
worship_balrog;Servant of the Flame;Serviteur du Feu;;;;;x
worship_balrog_desc;The Servants of the Flame are an Order of superstitious Orcish mages and shamans in Moria who believe they can appease the scorn of the Balrog by bringing him cruel sacrifices.;Les Serviteurs du Feu sont un Ordre de Mages et Shamans Orques vivant dans la Moria, et qui croient qu'ils peuvent apaiser la fureur du Balrog en lui offrant de cruels sacrifices.;;;;;x
#Other Quest/Vow/Etc
vow_of_cerin_amroth;The Vow of Cerin Amroth;Le Serment de Cerin Amroth;;;;;x
vow_of_cerin_amroth_desc;This character has promised to marry Aragorn/Arwen, and cannot marry other characters unless the oath is broken.;Ce personnage a promis de se marier avec Aragorn/Arwen, et ne peut pas épouser d'autres personnages, à moins de briser le serment.;;;;;x
