#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
squire;Squire;Ecuyer;;;;;;;;;;;x
squire_desc;This character is a squire of Rohan, and although not skilled in riding they can prepare the horses for war.;Ce personnage est un écuyer, pas un grand cavalier à proprement parler, mais il sait préparer les chevaux pour la guerre.;;;;;;;;;;;x
good_rider;Rider of Rohan;Bon Cavalier;;;;;;;;;;;x
good_rider_desc;This character is a good rider, able to fight from horseback on most battlefields, and skilled enough to command a small group of cavalry.;Ce personnage est un bon cavalier, capable de se battre à cheval sur la plupart des champs de bataille et de commander un petit régiment de cavalerie.;;;;;;;;;;;x
great_rider;Great Rider;Grand Cavalier;;;;;;;;;;;x
great_rider_desc;This character is a great rider, able to make war on any battlefield, and to command a large group of cavalry.;Ce personnage est un Grand Cavalier, capable de se battre sur tous les champs de bataille avec son cheval, et de commander un grand régiment de cavalerie;;;;;;;;;;;x
horse_master;Horse Master;Maitre des Chevaux;;;;;;;;;;;x
horse_master_desc;This character is a legendary horseman, and their horse is as famous as they are. They are able to command large armies, and are respected by all their people.;Ce personnage est un Cavalier Légendaire, et son cheval est au moins aussi connu que lui. Il peut commander de larges armées, et est respecté par son peuple.;;;;;;;;;;;x
amroth_squire;Squire of Dol Amroth;Ecuyer de Dol Amroth;;;;;;;;;;;x
amroth_squire_desc;This character has trained with the Knights of Dol Amroth, but is not skilled enough to be a Knight themselves.;Ce personnage s'est entraîné auprès des Chevaliers de Dol Amroth, mais n'est pas encore assez fort pour faire partie de cette cavalerie d'élite pour le moment.;;;;;;;;;;;x
amroth_knight;Knight of Dol Amroth;Chevalier de Dol Amroth;;;;;;;;;;;x
amroth_knight_desc;This character is a true Knight of Dol Amroth, part of the elite cavalry commanded by the Prince of Dol Amroth himself.;Ce personnage est un Chevalier de Dol Amroth, membre de cette cavalerie d'élite au service du Prince de Dol Amroth en personne.;;;;;;;;;;;x
weak_orc;Weak Orc;Orque Faible;;;;;;;;;;;x
weak_orc_desc;This character is a weak orc, and is ostracized by others. They need a lot of practice to achieve competence at war, and perhaps show themselves to be a true orc.;Ce personnage est faible, et est mis au ban de la société. Il a besoin de beaucoup d'entrainement pour atteindre un meilleur niveau et enfin pouvoir se revendiquer comme un orque véritable.;;;;;;;;;;;x
