#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;x
staff_of_gandalf;Staff of Gandalf;Baton de Gandalf;Staff of Gandalf;Staff of Gandalf;;;;;;;;;x
staff_of_gandalf_desc;This is he Staff of Gandalf. A wizard's staff is the primary weapon of an Istari and serves as a focus for much of their power.;Voici le baton de Gandalf, une aide précieuse pour un magicien.;C;C;;;;;;;;;x
staff_of_saruman;Staff of Saruman;Baton de Saroumane;Staff of Saruman;Staff of Saruman;;;;;;;;;x
staff_of_saruman_desc;This is he Staff of Saruman. A wizard's staff is the primary weapon of an Istari and serves as a focus for much of their power.;Voici le baton de Saroumane, une aide précieuse pour un magicien.;C;C;;;;;;;;;x
staff_of_radagast;Staff of Radagast;Baton de Radagast;Staff of Radagast;Staff of Radagast;;;;;;;;;x
staff_of_radagast_desc;This is he Staff of Radagast. A wizard's staff is the primary weapon of an Istari and serves as a focus for much of their power.;Voici le baton de Radagast, une aide précieuse pour un magicien.;C;C;;;;;;;;;x
staff_of_pallando;Staff of Pallando;Baton de Radagast;Staff of Radagast;Staff of Radagast;;;;;;;;;x
staff_of_pallando_desc;This is he Staff of Pallando. A wizard's staff is the primary weapon of an Istari and serves as a focus for much of their power.;Voici le baton de Radagast, une aide précieuse pour un magicien.;C;C;;;;;;;;;x
staff_of_alatar;Staff of Alatar;Baton de Radagast;Staff of Radagast;Staff of Radagast;;;;;;;;;x
staff_of_alatar_desc;This is he Staff of Alatar. A wizard's staff is the primary weapon of an Istari and serves as a focus for much of their power.;Voici le baton de Radagast, une aide précieuse pour un magicien.;C;C;;;;;;;;;x
mithril;Mithril Shirt;Chemise en Mithril;;;;;;;;;;;x
mithril_desc;This is a a shirt of chain mail made from Mithril, one of the most resistant materials in Middle-Earth.;Une chemise en Mithril, le plus résistant des métaux. Aussi souple que du tissu, plus résistant que de l'acier. Une aide précieuse lors d'un combat, et un objet d'une immense valeur.;C;C;;;;;;;;;x
numenorean_helmet;Numenorean Helmet;Casque Numénoréen;;;;;;;;;;;x
numenorean_helmet_desc;This helmet was made ??on the island of Numenor, and is stronger than all the ones you find in Middle-earth, except those of the Noldor.;Ce casque a été fabriqué sur l'île de Numenor, et est plus résistant que tout ceux que vous trouverez en Terre du Milieu, hormis ceux des Noldor. ;;;;;;;;;;;x
himling_armour;Maedhros Armour;Armure de Maedhros;;;;;;;;;;;x
himling_armour_desc;This armor was worn by Maedhros himself, and is bright as the stars.;Cette armure a été portée par Maedhros lui-même, et est brillante comme les étoiles.;;;;;;;;;;;x
isildur_throne;Isildur's Throne;Le Trône d'Isildur;;;;;;;;;;;x
isildur_throne_desc;Symbol of the Power of Isildur, the Throne of Annuminas was found into the ruins of the Hall of the King.;Symbole du Pouvoir d'Isildur, le Trône d'Annuminas a été retrouvé dans les ruines de la Salle des Rois.;;;;;;;;;;;x
erebor_armor;Ereborian Armor;Armure d'Erebor;;;;;;;;;;;x
erebor_armor_desc;This armor was forged by the dwarven craftsmen of Erebor. It's stronger than any other ones, except those forged by the Noldor or those forged with Mithril.;Cette armure a été forgée par les artisans nains d'Erebor. Elle est plus résistante que celles forgées ailleurs, hormis celles des Noldor ou celles forgées en Mithril.;;;;;;;;;;;x
arveleg_helmet;Arveleg's Helmet;Le Heaume d'Arveleg;;;;;;;;;;;x
arveleg_helmet_desc;Arveleg I was the eighth King of Arthedain, who was killed while protecting the Tower of Amon Sûl of the legions of the Witch-king of Angmar. His helmet was found in the ruins of the Tower, and is now one of the treasures of your home.;Arveleg I est le huitième Roi d'Arthedain, qui fut tué alors qu'il protégeait la Tour d'Amon Sûl des légions du Roi-Sorcier d'Angmar. Son casque a été retrouvé dans les ruines de la Tour, et est maintenant l'un des trésors de votre maison.;;;;;;;;;;;x
arvedui_armor;Arvedui's Armor;L'Armure d'Arvedui;;;;;;;;;;;x
arvedui_armor_desc;This ceremonial armor was found in one of the Rooms of Fornost Erain during its reconstruction. It certainly belonged to Arvedui, the last King of Arthedain, and had to be abandoned during the destruction of the fortress by the Witch-king of Angmar. It's now part of the Treasures of your house.;Cette armure de cérémonie a été retrouvée dans une des Salles d'Armes de Fornost Erain, lors de sa reconstruction. Elle appartenait certainement à Arvedui, le dernier Roi d'Arthedain, et a du être abandonnée lors de la destruction de la forteresse par le Roi-Sorcier d'Angmar. Elle fait partie maintenant des Trésors de votre Maison.;;;;;;;;;;;x
narsil;Narsil;Narsil;Narsil;Narsil;;;;;;;;;x
narsil_desc;This is Narsil, the broken sword of Elendil.;Narsil était l'épée du Roi Elendil. Elle fut brisée lors de la Guerre de la Dernière Alliance, Isildur se servant de la garde pour trancher le doigt de Sauron, lui faisant perdre ainsi l'Anneau Unique. Les fragments de l'épée sont conservés à Fondcombe, mais restent la propriété des héritiers d'Isildur.;V;V;;;;;;;;;x
mithril_armor;Mithril Armor;;;;;;x
mithril_armor_desc;A set of armor made of Mithril;;;;;;x

