#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
on_pilgrimage;Questing;En pèlerinage;Auf Pilgerfahrt;;De peregrinación;;;;;;;;;x
on_pilgrimage_desc;The character is currently away from home on a great quest.;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is on a Quest;§Y$NAME$§! est en Quête;§Y$NAME$§! ist auf Suche;;§Y$NAME$§! está búsqueda;;;;;;;;;x
title_shirrifs;Shiriff;Shiriff;Shiriff;;Shiriff;;;;;;;;;x
title_postmaster;Postmaster;;;;;;;;;;;;;x
is_not_wilderness;is NOT Wilderness;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MODIFIER_SEX_APPEAL_OPINION;Sex Appeal;Charme;Sexappeal;;Atractivo sexual;;;;;;;;;x
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;Je suis allé dans ses appartements et lui ai expliqué ma façon de penser !;Ich besuchte das Gemach von [From.GetFirstName] und trieb es ordentlich mit [From.GetHerHim]!;;Fui a la recámara de [From.GetFirstName] y le di a [From.GetHerHim] una buena caída!;;;;;;;;;x
DEATH_DUNGEON_NO_KILLER;died in a dungeon;mourut en prison;starb im Gefängnis;;murió en prisión;;;;;;;;;x
DEATH_DUEL_NO_KILLER;was slain in a duel;fut occis en combat singulier;unterlag im Duell;;cayó en bravo combate;;;;;;;;;x
EVTOPTB7504;Has he gone mod?;Est-il devenu fou ?;Ist er verrückt geworden?;;¿Te has vuelto loco?;;;;;;;;;x
EVTDESC7506;Though I am sure I shall curse your name until the Dagor Dagorath, I will agree to your demand in the interest of peace.\n\nSigned,\n[From.GetTitledName];Bien qu’étant certain de devoir maudire votre nom jusqu’à la fin des temps pour cela, j’accepte votre demande afin de garantir la paix.\n\nSigné,\n[From.GetTitledName];Ich bin zwar sicher, dass ich Euren Namen bis an's Ende aller Zeiten verfluchen werde, aber im Namen des Friedens beuge ich mich Euren Forderungen..\n\nGezeichnet,\n[From.GetTitledName];;Pese a que maldiciré tu nombre durante toda la eternidad, debo aceptar tus demandas de la paz.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC7507;I would no sooner surrender the [Root.PlotTargetTitle.GetFullName] than I would my right arm. If you and your little friends can muster the courage to face me, I shall gladly see you cut down to the last. Come then!\n\nSigned,\n[From.GetTitledName];A l'instar de ma main droite, jamais je ne renoncerais au [Root.PlotTargetTitle.GetFullName]. Si vos laquais et vous-même parvenez à trouver le courage de me faire face, c’est avec joie que je vous anéantirais jusqu’au dernier. Je vous attends !\n\nSigné,\n[From.GetTitledName];Eher würde ich meinen rechten Arm aufgeben als [Root.PlotTargetTitle.GetFullName]. Wenn Ihr und Eure kleinen Freunde den Mut aufbringen könnt, mich herauszufordern, werde ich euch allzu gerne bis zum letzten Mann zu Grabe tragen.\n\nGezeichnet,\n[From.GetTitledName] ;;Entregaré antes mi brazo derecho que mi [Root.PlotTargetTitle.GetFullName]. Si tus amiguitos y tí teneis el coraje de enfrentaros a mi, veré gustoso como cae hasta vuestro último hombre. ¡Venid aquí!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC7515;Through the machinations of a secret conspiracy of noblemen, [From.GetTitledName] has been forced to abdicate one of [From.GetHerHis] high lordships. After much deliberation, the lords of the realm have finally managed to agree on you as the least offensive candidate for the title. Congratulations, [From.GetTitle].;C’est par le biais de la secrète machination d’un gentilhomme que [From.GetTitledName] fut forcé d’abdiquer le titre de l’un de ses duchés. Après une longue délibération, les seigneurs du pays sont parvenus à la conclusion que vous êtes le candidat à la succession le moins menaçant pour eux. Félicitations, [From.GetTitle].;;;Debido a las maquinaciones de una conspiración nobiliaria secreta, [From.GetTitledName] ha sido forzado a abdicar uno de sus ducados. Tras muchas deliberaciones, los nobles han decidido acordar que eres el candidato menos ofensivo para obtener el título. Felicidades, [From.GetTitle].;;;;;;;;;x
THREAT_INFIDEL;Other Race;Infidèle;Ungläubiger;;Infiel;;;;;;;;;x
force_converting;Purging;Conversion forcée;Erzwungene Bekehrung;;Conversión Forzosa;;;;;;;;;x
